e_reg_scale_mm,jackknife_ok,jackknife_errors,c_delta_p95_abs_mm,c_delta_max_abs_mm,e_delta_rmse_p95_mm,e_delta_max_abs_p95_mm,e_delta_max_abs_max_mm,stable
20.0,28,0,25.573676918473627,28.183575201717318,10.124269384803194,18.72849800231184,22.020368025384627,False
50.0,28,0,28.30370269412382,36.75623571559207,56.215530095448,99.03977817947798,116.78868869702256,False
