version,label,sim3_scale_autopos_to_vicon,rigid_anchor_rmse_mm,rigid_anchor_median_mm,rigid_anchor_p95_mm,pair_residual_rms_mm,pair_residual_p95_abs_mm,e_reg_scale_mm,common_mode_mm,mean_e_mm,max_abs_e_mm,anchor,e_i_mm,d_anchor_mm
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,A,-12.350716004418773,99.63407516744715
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,B,1.7034670873895184,113.68825825925543
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,C,15.352958619571629,127.33774979143755
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,D,12.525953080012982,124.5107442518789
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,E,-2.35948622487604,109.62530494698989
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,F,-0.6229053219912155,111.36188584987471
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,G,-11.943100185972344,100.04169098589358
v5-commonmode-e20,V5 common-mode e20,1.0097822800764376,62.991902346555186,59.4524078278919,93.31651795465051,38.29106455940091,87.14352418875797,20.0,111.98479117186592,-1.8719785943588363e-07,15.352958619571629,H,-2.3061725472986354,109.67861862456729
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,A,-41.391633645748776,68.01458826146066
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,B,11.582664225639151,120.98888613284858
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,C,53.79049238449866,163.19671429170808
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,D,47.4237399484022,156.82996185561163
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,E,-10.910472174854899,98.49574973235453
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,F,6.1666432247454654,115.5728651319549
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,G,-49.8727479419383,59.53347396527113
v5-commonmode-e50,V5 common-mode e50,1.0077333610824988,71.24289953061124,66.36513582668229,99.17770941342035,35.456653238231254,81.90018656220975,50.0,109.40622190720943,-3.345353842831855e-07,53.79049238449866,H,-16.78868869702659,92.61753321018284
