layout_id,family,geometry,mask,grid_mm,grid_points,device,weighted,coord_rms_mm,full_points,full_gdop_median,full_gdop_p90,full_gdop_p95,full_gdop_max,full_hdop_median,full_hdop_p90,full_hdop_p95,full_hdop_max,full_vdop_median,full_vdop_p90,full_vdop_p95,full_vdop_max,full_cond_median,full_cond_p90,full_cond_p95,full_cond_max,full_vdop_gt2_ratio,full_vdop_gt3_ratio,full_gdop_gt4_ratio,full_cond_gt100_ratio,center3m_points,center3m_gdop_median,center3m_gdop_p90,center3m_gdop_p95,center3m_gdop_max,center3m_hdop_median,center3m_hdop_p90,center3m_hdop_p95,center3m_hdop_max,center3m_vdop_median,center3m_vdop_p90,center3m_vdop_p95,center3m_vdop_max,center3m_cond_median,center3m_cond_p90,center3m_cond_p95,center3m_cond_max,center3m_vdop_gt2_ratio,center3m_vdop_gt3_ratio,center3m_gdop_gt4_ratio,center3m_cond_gt100_ratio,edge_ring_points,edge_ring_gdop_median,edge_ring_gdop_p90,edge_ring_gdop_p95,edge_ring_gdop_max,edge_ring_hdop_median,edge_ring_hdop_p90,edge_ring_hdop_p95,edge_ring_hdop_max,edge_ring_vdop_median,edge_ring_vdop_p90,edge_ring_vdop_p95,edge_ring_vdop_max,edge_ring_cond_median,edge_ring_cond_p90,edge_ring_cond_p95,edge_ring_cond_max,edge_ring_vdop_gt2_ratio,edge_ring_vdop_gt3_ratio,edge_ring_gdop_gt4_ratio,edge_ring_cond_gt100_ratio
0,irregular,true,all8,500.0,605,cuda:0,False,0.0,605,1.4672704935073853,1.8482627868652344,1.9472808837890625,2.4212687015533447,0.8445319533348083,0.9994627237319946,1.0431185960769653,1.2128939628601074,1.1852961778640747,1.6236265897750854,1.7444552183151245,2.2603037357330322,7.351163387298584,13.385601043701172,16.368709564208984,30.442119598388672,0.011570247933884297,0.0,0.0,0.0,245,1.3534940481185913,1.6109338998794556,1.696700096130371,1.7947511672973633,0.8126252293586731,0.9096330404281616,0.9352210164070129,0.9968342185020447,1.0702054500579834,1.4145132303237915,1.5259417295455933,1.6326487064361572,5.483269214630127,9.51196002960205,11.244500160217285,13.429519653320312,0.0,0.0,0.0,0.0,360,1.5807316303253174,1.923531413078308,2.0529212951660156,2.4212687015533447,0.8766115307807922,1.0272653102874756,1.0663899183273315,1.2128939628601074,1.30918550491333,1.726265549659729,1.861182689666748,2.2603037357330322,9.170248031616211,16.03057861328125,18.914718627929688,30.442119598388672,0.019444444444444445,0.0,0.0,0.0
0,irregular,v1-old,all8,500.0,605,cuda:0,False,1.45508161239736,605,1.4674338102340698,1.8478869199752808,1.9452269077301025,2.41847562789917,0.8442057371139526,0.999077320098877,1.0429716110229492,1.212587594985962,1.1852041482925415,1.6226096153259277,1.743340253829956,2.257458209991455,7.3369622230529785,13.35647964477539,16.32575035095215,30.359973907470703,0.011570247933884297,0.0,0.0,0.0,245,1.3526723384857178,1.6099765300750732,1.6961241960525513,1.7931246757507324,0.8125663995742798,0.9094735980033875,0.935031533241272,0.9964243769645691,1.069234848022461,1.4139961004257202,1.5249803066253662,1.6308999061584473,5.483366966247559,9.498083114624023,11.221138000488281,13.423254013061523,0.0,0.0,0.0,0.0,360,1.5800303220748901,1.922451376914978,2.051469326019287,2.41847562789917,0.876618504524231,1.0272533893585205,1.0659492015838623,1.212587594985962,1.308833360671997,1.725481629371643,1.8597255945205688,2.257458209991455,9.14828872680664,15.9911527633667,18.8798885345459,30.359973907470703,0.019444444444444445,0.0,0.0,0.0
0,irregular,v2,all8,500.0,605,cuda:0,False,1.79780258329779,605,1.4682753086090088,1.8492239713668823,1.9471278190612793,2.420640230178833,0.8441640138626099,0.9993913173675537,1.0429754257202148,1.2127366065979004,1.1856893301010132,1.6245856285095215,1.744825005531311,2.2601444721221924,7.342957973480225,13.383402824401855,16.360715866088867,30.423439025878906,0.011570247933884297,0.0,0.0,0.0,245,1.3531538248062134,1.6103382110595703,1.6978546380996704,1.7949763536453247,0.81263267993927,0.909308671951294,0.9351747632026672,0.9963093400001526,1.0700170993804932,1.4150563478469849,1.5269858837127686,1.6329938173294067,5.490463733673096,9.513931274414062,11.251824378967285,13.459549903869629,0.0,0.0,0.0,0.0,360,1.5808449983596802,1.9242371320724487,2.0532617568969727,2.420640230178833,0.8767704963684082,1.0272865295410156,1.0658652782440186,1.2127366065979004,1.3097842931747437,1.7275317907333374,1.8618029356002808,2.2601444721221924,9.165157318115234,16.020631790161133,18.92001724243164,30.423439025878906,0.019444444444444445,0.0,0.0,0.0
0,irregular,v3-lite,all8,500.0,605,cuda:0,False,1.5308953049414735,605,1.4673641920089722,1.848244547843933,1.9465899467468262,2.4205541610717773,0.8444341421127319,0.9992919564247131,1.0428355932235718,1.2129063606262207,1.185078740119934,1.623206377029419,1.7442219257354736,2.260075807571411,7.342895030975342,13.372416496276855,16.364248275756836,30.421751022338867,0.011570247933884297,0.0,0.0,0.0,245,1.3531403541564941,1.6101969480514526,1.6965043544769287,1.794102430343628,0.8127197027206421,0.9094709753990173,0.9351076483726501,0.9965357780456543,1.0699392557144165,1.413883090019226,1.5254629850387573,1.6320133209228516,5.482370376586914,9.509583473205566,11.243329048156738,13.43387508392334,0.0,0.0,0.0,0.0,360,1.5804481506347656,1.9236921072006226,2.0531296730041504,2.4205541610717773,0.876772403717041,1.0273261070251465,1.0661218166351318,1.2129063606262207,1.3095542192459106,1.7266420125961304,1.8615467548370361,2.260075807571411,9.162803649902344,16.02541732788086,18.91872215270996,30.421751022338867,0.019444444444444445,0.0,0.0,0.0
0,irregular,v3-full,all8,500.0,605,cuda:0,False,1.4599719662377373,605,1.46719491481781,1.8476433753967285,1.9464203119277954,2.420602321624756,0.8443238735198975,0.9992910623550415,1.0428837537765503,1.2128241062164307,1.1849784851074219,1.6227725744247437,1.744033694267273,2.2596614360809326,7.340106010437012,13.373066902160645,16.365930557250977,30.422115325927734,0.011570247933884297,0.0,0.0,0.0,245,1.3532465696334839,1.6103178262710571,1.6962419748306274,1.7939120531082153,0.812695324420929,0.9095436930656433,0.9351572394371033,0.9965083599090576,1.0700103044509888,1.4137907028198242,1.52516770362854,1.631783127784729,5.482027053833008,9.50730037689209,11.238381385803223,13.42405891418457,0.0,0.0,0.0,0.0,360,1.580367088317871,1.9230080842971802,2.05249285697937,2.420602321624756,0.8766782283782959,1.0272228717803955,1.0661290884017944,1.2128241062164307,1.3091285228729248,1.7258291244506836,1.8608287572860718,2.2596614360809326,9.16092586517334,16.01542091369629,18.90453338623047,30.422115325927734,0.019444444444444445,0.0,0.0,0.0
0,irregular,v4-io,all8,500.0,605,cuda:0,False,4.311387511755611,605,1.4676649570465088,1.8497545719146729,1.9505417346954346,2.4211864471435547,0.8450148701667786,0.999873161315918,1.0431575775146484,1.2140781879425049,1.18641996383667,1.6274540424346924,1.7464486360549927,2.2619311809539795,7.371328830718994,13.416711807250977,16.37898063659668,30.444568634033203,0.013223140495867768,0.0,0.0,0.0,245,1.3525497913360596,1.6096949577331543,1.6993701457977295,1.7976648807525635,0.8131900429725647,0.9088655710220337,0.9353825449943542,0.9959631562232971,1.0698038339614868,1.4158375263214111,1.5290151834487915,1.6360350847244263,5.503140449523926,9.528830528259277,11.28396987915039,13.461380958557129,0.0,0.0,0.0,0.0,360,1.582627773284912,1.9261366128921509,2.054865598678589,2.4211864471435547,0.8771065473556519,1.0271658897399902,1.0660054683685303,1.2140781879425049,1.3116248846054077,1.729432225227356,1.8637869358062744,2.2619311809539795,9.219295501708984,16.05192756652832,18.958852767944336,30.444568634033203,0.022222222222222223,0.0,0.0,0.0
1,irregular,true,all8,500.0,726,cuda:0,False,0.0,726,1.502375841140747,1.9501172304153442,2.087571144104004,2.3245785236358643,1.0774842500686646,1.3833365440368652,1.471629023551941,1.660834550857544,1.0435254573822021,1.390616536140442,1.4680238962173462,1.6616960763931274,7.422184944152832,14.60429573059082,17.2094783782959,22.613201141357422,0.0,0.0,0.0,0.0,294,1.1913058757781982,1.4366039037704468,1.473968267440796,1.6493935585021973,0.9071045517921448,1.100372314453125,1.1634161472320557,1.2665464878082275,0.7640889883041382,0.9253655672073364,0.9571049213409424,1.0676034688949585,3.197176933288574,6.4506611824035645,7.190970420837402,9.979557991027832,0.0,0.0,0.0,0.0,432,1.687180519104004,2.040508508682251,2.149588108062744,2.3245785236358643,1.188138484954834,1.4509660005569458,1.5015538930892944,1.660834550857544,1.2004446983337402,1.4550029039382935,1.5615147352218628,1.6616960763931274,10.44691276550293,16.103796005249023,18.312602996826172,22.613201141357422,0.0,0.0,0.0,0.0
1,irregular,v1-old,all8,500.0,726,cuda:0,False,0.9525355250997,726,1.502168893814087,1.9497790336608887,2.0868401527404785,2.323974609375,1.0774930715560913,1.3831238746643066,1.4714176654815674,1.6605466604232788,1.0432727336883545,1.3898124694824219,1.4677563905715942,1.661257266998291,7.419227123260498,14.593362808227539,17.199100494384766,22.599754333496094,0.0,0.0,0.0,0.0,252,1.1709046363830566,1.3867342472076416,1.461655616760254,1.6489988565444946,0.892680287361145,1.087063193321228,1.120772361755371,1.257033109664917,0.7379059195518494,0.9222023487091064,0.9439945816993713,1.0672699213027954,2.857011318206787,6.278409957885742,6.9730682373046875,9.971952438354492,0.0,0.0,0.0,0.0,474,1.644641399383545,2.0131897926330566,2.1339263916015625,2.323974609375,1.1769529581069946,1.4434843063354492,1.4994674921035767,1.6605466604232788,1.1748051643371582,1.4476895332336426,1.5357215404510498,1.661257266998291,9.856592178344727,15.888587951660156,18.183671951293945,22.599754333496094,0.0,0.0,0.0,0.0
1,irregular,v2,all8,500.0,726,cuda:0,False,1.0949655843307715,726,1.5025148391723633,1.9504642486572266,2.087204694747925,2.324798345565796,1.0773040056228638,1.3829574584960938,1.4712519645690918,1.6605304479599,1.043842077255249,1.3906371593475342,1.468695044517517,1.6622997522354126,7.429755687713623,14.615228652954102,17.221948623657227,22.625232696533203,0.0,0.0,0.0,0.0,294,1.1915497779846191,1.4366780519485474,1.4734090566635132,1.6490532159805298,0.9069295525550842,1.100041151046753,1.1628576517105103,1.2667756080627441,0.764398992061615,0.9251984357833862,0.957606315612793,1.0676482915878296,3.197753667831421,6.457434177398682,7.190197467803955,9.976433753967285,0.0,0.0,0.0,0.0,432,1.686851978302002,2.0406205654144287,2.149787664413452,2.324798345565796,1.1875884532928467,1.4510475397109985,1.501177430152893,1.6605304479599,1.2009644508361816,1.4555082321166992,1.5619330406188965,1.6622997522354126,10.451082229614258,16.123008728027344,18.3245849609375,22.625232696533203,0.0,0.0,0.0,0.0
1,irregular,v3-lite,all8,500.0,726,cuda:0,False,0.6337688777065685,726,1.5023664236068726,1.9499294757843018,2.0872955322265625,2.3242430686950684,1.0773967504501343,1.383514404296875,1.4717128276824951,1.6606919765472412,1.0433423519134521,1.3901021480560303,1.4676601886749268,1.6617534160614014,7.420634746551514,14.599127769470215,17.203815460205078,22.61699104309082,0.0,0.0,0.0,0.0,252,1.1710317134857178,1.3867640495300293,1.461700677871704,1.6495651006698608,0.892487645149231,1.0874053239822388,1.1212260723114014,1.2574743032455444,0.7378376722335815,0.9224281907081604,0.9441487789154053,1.0676251649856567,2.857811450958252,6.277146816253662,6.98024320602417,9.982246398925781,0.0,0.0,0.0,0.0,474,1.6450071334838867,2.0135977268218994,2.134465217590332,2.3242430686950684,1.1771681308746338,1.443911075592041,1.4998611211776733,1.6606919765472412,1.1747652292251587,1.447918176651001,1.5361394882202148,1.6617534160614014,9.865659713745117,15.891587257385254,18.181556701660156,22.61699104309082,0.0,0.0,0.0,0.0
