host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
70.622,1777925777.048717,15235394,26838,B,1,0xa101,0xb102,0xe1,16624,7,1766,118,6385,20
70.750,1777925777.176857,15235522,26839,E,4,0xa104,0xb102,0xe1,18224,7,1969,119,6705,20
70.822,1777925777.248830,15235594,26840,B,1,0xa101,0xb102,0xe1,16890,7,1764,117,6465,20
70.925,1777925777.351919,15235697,26841,E,4,0xa104,0xb102,0xe1,20191,7,2145,118,7321,20
71.023,1777925777.449800,15235795,26842,C,2,0xa102,0xb102,0xe1,18958,7,2224,124,2346,20
71.422,1777925777.848481,15236194,26843,B,1,0xa101,0xb102,0xe1,16558,7,1759,118,6945,20
71.525,1777925777.951558,15236297,26844,E,4,0xa104,0xb102,0xe1,17534,7,2057,124,6341,20
71.623,1777925778.049479,15236395,26845,C,2,0xa102,0xb102,0xe1,18942,7,2151,122,4298,20
71.825,1777925778.251815,15236597,26846,E,4,0xa104,0xb102,0xe1,17543,7,2058,124,6673,20
71.923,1777925778.349761,15236695,26847,C,2,0xa102,0xb102,0xe1,18095,7,1955,119,1313,20
72.221,1777925778.648028,15236993,26848,B,1,0xa101,0xb102,0xe1,18236,7,2105,123,7771,20
72.324,1777925778.751218,15237097,26849,E,4,0xa104,0xb102,0xe1,18240,7,2004,120,7071,20
72.523,1777925778.949862,15237295,26850,D,3,0xa103,0xb102,0xe1,17771,7,1856,117,6657,20
72.724,1777925779.150604,15237496,26851,D,3,0xa103,0xb102,0xe1,17454,7,2216,129,7572,20
73.021,1777925779.448035,15237793,26852,B,1,0xa101,0xb102,0xe1,17022,7,1933,122,7139,20
73.124,1777925779.551093,15237897,26853,E,4,0xa104,0xb102,0xe1,18914,7,2078,120,7275,20
73.222,1777925779.648485,15237994,26854,H,7,0xa107,0xb101,0xe1,15032,7,929,90,5254,20
73.325,1777925779.751446,15238097,26855,E,4,0xa104,0xb102,0xe1,17740,7,1949,120,6655,20
73.423,1777925779.849456,15238195,26856,C,2,0xa102,0xb102,0xe1,17857,7,1897,118,1600,20
74.825,1777925781.251550,15239597,26857,E,4,0xa104,0xb102,0xe1,17967,7,1974,120,7138,20
74.923,1777925781.349520,15239695,26858,C,2,0xa102,0xb102,0xe1,17773,7,2085,124,2002,20
75.521,1777925781.947855,15240294,26859,B,1,0xa101,0xb102,0xe1,15770,7,1647,117,6345,20
75.624,1777925782.050821,15240397,26860,E,4,0xa104,0xb102,0xe1,17491,7,2019,123,6939,20
75.722,1777925782.148796,15240494,26861,C,2,0xa102,0xb102,0xe1,18371,7,2190,125,4515,20
75.824,1777925782.251109,15240597,26862,E,4,0xa104,0xb102,0xe1,18872,7,2039,119,7195,20
75.922,1777925782.349017,15240695,26863,C,2,0xa102,0xb102,0xe1,19788,7,2174,120,4104,20
76.423,1777925782.850012,15241196,26864,D,3,0xa103,0xb102,0xe1,19848,7,2291,123,7151,20
76.521,1777925782.947908,15241294,26865,B,1,0xa101,0xb102,0xe1,19364,7,2163,121,7454,20
76.624,1777925783.051013,15241397,26866,E,4,0xa104,0xb102,0xe1,18446,7,2164,124,6946,20
76.722,1777925783.148943,15241495,26867,C,2,0xa102,0xb102,0xe1,18683,7,2087,121,4023,20
76.824,1777925783.251264,15241597,26868,E,4,0xa104,0xb102,0xe1,18158,7,1929,118,6461,20
76.922,1777925783.349138,15241695,26869,C,2,0xa102,0xb102,0xe1,18460,7,1928,117,1335,20
77.521,1777925783.947732,15242293,26870,B,1,0xa101,0xb102,0xe1,16882,7,1824,119,7306,20
77.624,1777925784.050692,15242397,26871,E,4,0xa104,0xb102,0xe1,19059,7,2200,123,7266,20
77.822,1777925784.248659,15242595,26872,C,2,0xa102,0xb102,0xe1,19810,7,2324,124,4507,20
