version,solver,solver_family,eval_set,ID,center_distance_mm,radial_signed_error_mm,tangential_error_mm,radially_outward
v1-old,T1+F0,external_position_filter,all8,ID01,904.8581057484208,131.9776319926348,143.79333257645737,True
v1-old,T1+F0,external_position_filter,all8,ID02,414.80151183802343,-28.471407907463238,33.971221163289044,False
v1-old,T1+F0,external_position_filter,all8,ID03,762.7501078007356,369.6906600125512,203.82940737858388,True
v1-old,T1+F0,external_position_filter,all8,ID04,1065.811558067375,232.5306504668289,217.66158247146166,True
v1-old,T1+F0,external_position_filter,all8,ID05,692.4979819346567,87.19493173827641,103.32854471495476,True
v1-old,T1+F0,external_position_filter,all8,ID06,983.0246745750289,178.26110013992528,189.51329690549312,True
v1-old,T1+F0,external_position_filter,all8,ID07,954.6549679640887,195.0325031683199,133.94209562848772,True
v1-old,T1+F0,external_position_filter,all8,ID08,580.6086421076762,69.50518974945265,54.8049076283924,True
v1-old,T1+F0,external_position_filter,all8,ID09,825.5734294328124,83.98165267508004,43.936704992280355,True
v1-old,T1+F0,external_position_filter,all8,ID10,1063.4564290726642,159.51565146328974,65.09797045454059,True
v1-old,T1+F0,external_position_filter,all8,ID11,770.8923252279794,82.82698548597253,146.92093398253772,True
v1-old,T1+F0,external_position_filter,all8,ID12,972.8722083943702,171.11498220373912,117.41686889573462,True
v1-old,T1+F0,external_position_filter,all8,ID13,164.33330797041327,-57.79654468464249,33.417206134104894,False
v1-old,T1+F0,external_position_filter,all8,ID14,160.68776077464324,26.91972954134193,21.023263561415238,True
v1-old,T1+F0,external_position_filter,all8,ID15,161.88022524167178,-82.49944867537302,49.668565332883816,False
v1-old,T1+F0,external_position_filter,all8,ID16,147.9126953292345,99.28554980683496,7.771495725169492,True
v1-old,T1+F0,external_position_filter,all8,ID17,780.0403542483501,101.87470308489905,24.431545371534202,True
v1-old,T1+F0,external_position_filter,all8,ID18,785.9969931308584,68.15894330946938,43.34296524934881,True
v1-old,T1+F0,external_position_filter,all8,ID19,779.8893538325998,209.562619236495,49.227712995931874,True
v1-old,T1+F0,external_position_filter,all8,ID20,780.296291419316,226.8120161287533,10.421091207305897,True
v1-old,T1+F0,external_position_filter,all8,ID21,622.457440757399,162.81020418507325,39.176211578876,True
v1-old,T1+F0,external_position_filter,all8,ID22,625.807129330668,118.84709287675159,33.68536628360373,True
v1-old,T1+F0,external_position_filter,all8,ID23,625.4677339212478,287.36875409720506,101.94543107644739,True
v1-old,T1+F0,external_position_filter,all8,ID24,623.9880940820714,213.99425412404395,50.399588168681326,True
v1-old,T1+F0,external_position_filter,noG,ID01,904.8581057484208,156.02747587887686,141.2869899420015,True
v1-old,T1+F0,external_position_filter,noG,ID02,414.80151183802343,-52.957155035661046,32.8544691053211,False
v1-old,T1+F0,external_position_filter,noG,ID03,762.7501078007356,374.5165170498486,214.57460582496208,True
v1-old,T1+F0,external_position_filter,noG,ID04,1065.811558067375,289.06310845987633,266.14333148083335,True
v1-old,T1+F0,external_position_filter,noG,ID05,692.4979819346567,131.37238019199594,119.04604535665473,True
v1-old,T1+F0,external_position_filter,noG,ID06,983.0246745750289,159.94396743198536,114.38023030817256,True
v1-old,T1+F0,external_position_filter,noG,ID07,954.6549679640887,147.93173655359752,68.22266856378576,True
v1-old,T1+F0,external_position_filter,noG,ID08,580.6086421076762,115.7906812842579,16.419741762349393,True
v1-old,T1+F0,external_position_filter,noG,ID09,825.5734294328124,102.67969425682331,9.165672531644514,True
v1-old,T1+F0,external_position_filter,noG,ID10,1063.4564290726642,200.36595152437332,80.59625469038303,True
v1-old,T1+F0,external_position_filter,noG,ID11,770.8923252279794,46.8915407461219,149.0365611044955,True
v1-old,T1+F0,external_position_filter,noG,ID12,972.8722083943702,162.65343621723707,131.0976540304049,True
v1-old,T1+F0,external_position_filter,noG,ID13,164.33330797041327,-38.61624691296417,77.22351702924564,False
v1-old,T1+F0,external_position_filter,noG,ID14,160.68776077464324,26.181023185987783,59.87819274611315,True
v1-old,T1+F0,external_position_filter,noG,ID15,161.88022524167178,-80.49508320270463,48.28129636269554,False
v1-old,T1+F0,external_position_filter,noG,ID16,147.9126953292345,100.96843716989468,49.27932954820586,True
v1-old,T1+F0,external_position_filter,noG,ID17,780.0403542483501,61.568890477726555,33.01432771967788,True
v1-old,T1+F0,external_position_filter,noG,ID18,785.9969931308584,110.89943226435182,56.09614739913792,True
v1-old,T1+F0,external_position_filter,noG,ID19,779.8893538325998,159.64416722719562,62.48666015962811,True
v1-old,T1+F0,external_position_filter,noG,ID20,780.296291419316,322.93906043932424,21.02204521725254,True
v1-old,T1+F0,external_position_filter,noG,ID21,622.457440757399,131.57912647056884,97.78872389056409,True
v1-old,T1+F0,external_position_filter,noG,ID22,625.807129330668,112.98686567933318,100.96066184169463,True
v1-old,T1+F0,external_position_filter,noG,ID23,625.4677339212478,252.7669734063948,154.96164857445797,True
v1-old,T1+F0,external_position_filter,noG,ID24,623.9880940820714,143.7558843345985,58.65267759272967,True
v1-old,T1+F1,external_position_filter,all8,ID01,904.8581057484208,134.23960190357224,144.58356186877708,True
v1-old,T1+F1,external_position_filter,all8,ID02,414.80151183802343,-22.812212755405202,27.74969126435483,False
v1-old,T1+F1,external_position_filter,all8,ID03,762.7501078007356,365.0171160390092,199.64512149112142,True
v1-old,T1+F1,external_position_filter,all8,ID04,1065.811558067375,231.24113679609755,215.2983167476575,True
v1-old,T1+F1,external_position_filter,all8,ID05,692.4979819346567,88.85036388016354,103.18792688849021,True
v1-old,T1+F1,external_position_filter,all8,ID06,983.0246745750289,177.50072923388612,187.00723110873878,True
v1-old,T1+F1,external_position_filter,all8,ID07,954.6549679640887,197.3931518656588,131.75631792032803,True
v1-old,T1+F1,external_position_filter,all8,ID08,580.6086421076762,73.64769164751311,54.564320015492775,True
v1-old,T1+F1,external_position_filter,all8,ID09,825.5734294328124,86.91423864632559,40.31870305930572,True
v1-old,T1+F1,external_position_filter,all8,ID10,1063.4564290726642,158.43788345243658,66.01724225461005,True
v1-old,T1+F1,external_position_filter,all8,ID11,770.8923252279794,82.49869073223925,145.26719227430507,True
v1-old,T1+F1,external_position_filter,all8,ID12,972.8722083943702,168.85608265496427,117.75767408321067,True
v1-old,T1+F1,external_position_filter,all8,ID13,164.33330797041327,-38.20238696269777,25.137485522662253,False
v1-old,T1+F1,external_position_filter,all8,ID14,160.68776077464324,24.492556638794376,22.067313215367236,True
v1-old,T1+F1,external_position_filter,all8,ID15,161.88022524167178,-70.05857845172842,46.245219425498654,False
v1-old,T1+F1,external_position_filter,all8,ID16,147.9126953292345,98.28104656407805,8.35367458806737,True
v1-old,T1+F1,external_position_filter,all8,ID17,780.0403542483501,105.43646564168256,26.478248027875864,True
v1-old,T1+F1,external_position_filter,all8,ID18,785.9969931308584,64.98690783980476,42.61149774665543,True
v1-old,T1+F1,external_position_filter,all8,ID19,779.8893538325998,214.20564432450345,47.9927336129311,True
v1-old,T1+F1,external_position_filter,all8,ID20,780.296291419316,220.5377961214409,9.694549553541142,True
v1-old,T1+F1,external_position_filter,all8,ID21,622.457440757399,168.9967350197607,34.98280331425423,True
v1-old,T1+F1,external_position_filter,all8,ID22,625.807129330668,121.56134716862726,36.787247800143625,True
v1-old,T1+F1,external_position_filter,all8,ID23,625.4677339212478,270.6191791086801,91.73833658137575,True
v1-old,T1+F1,external_position_filter,all8,ID24,623.9880940820714,219.0021829806108,49.9453205085097,True
v1-old,T1+F1,external_position_filter,noG,ID01,904.8581057484208,160.14032773418668,142.35366206051003,True
v1-old,T1+F1,external_position_filter,noG,ID02,414.80151183802343,-48.26179608292858,32.612380645416714,False
v1-old,T1+F1,external_position_filter,noG,ID03,762.7501078007356,366.83245772127987,210.49244161045922,True
v1-old,T1+F1,external_position_filter,noG,ID04,1065.811558067375,286.03360510069496,261.7090571352078,True
v1-old,T1+F1,external_position_filter,noG,ID05,692.4979819346567,133.4509612353644,121.26465335192027,True
