version,solver,solver_family,eval_set,n_positions,threshold_mm,within_count,within_fraction,outside_count,outside_fraction
v1-old,T1+F0,external_position_filter,all8,24,50,2,0.08333333333333333,22,0.9166666666666666
v1-old,T1+F0,external_position_filter,all8,24,80,3,0.125,21,0.875
v1-old,T1+F0,external_position_filter,all8,24,100,8,0.3333333333333333,16,0.6666666666666666
v1-old,T1+F0,external_position_filter,all8,24,200,15,0.625,9,0.375
v1-old,T1+F0,external_position_filter,all8,24,300,21,0.875,3,0.125
v1-old,T1+F0,external_position_filter,noG,24,50,0,0.0,24,1.0
v1-old,T1+F0,external_position_filter,noG,24,80,3,0.125,21,0.875
v1-old,T1+F0,external_position_filter,noG,24,100,5,0.20833333333333334,19,0.7916666666666666
v1-old,T1+F0,external_position_filter,noG,24,200,17,0.7083333333333334,7,0.2916666666666667
v1-old,T1+F0,external_position_filter,noG,24,300,21,0.875,3,0.125
v1-old,T1+F1,external_position_filter,all8,24,50,3,0.125,21,0.875
v1-old,T1+F1,external_position_filter,all8,24,80,4,0.16666666666666666,20,0.8333333333333334
v1-old,T1+F1,external_position_filter,all8,24,100,8,0.3333333333333333,16,0.6666666666666666
v1-old,T1+F1,external_position_filter,all8,24,200,15,0.625,9,0.375
v1-old,T1+F1,external_position_filter,all8,24,300,22,0.9166666666666666,2,0.08333333333333333
v1-old,T1+F1,external_position_filter,noG,24,50,0,0.0,24,1.0
v1-old,T1+F1,external_position_filter,noG,24,80,3,0.125,21,0.875
v1-old,T1+F1,external_position_filter,noG,24,100,5,0.20833333333333334,19,0.7916666666666666
v1-old,T1+F1,external_position_filter,noG,24,200,17,0.7083333333333334,7,0.2916666666666667
v1-old,T1+F1,external_position_filter,noG,24,300,21,0.875,3,0.125
v1-old,T1+F2,external_position_filter,all8,24,50,3,0.125,21,0.875
v1-old,T1+F2,external_position_filter,all8,24,80,4,0.16666666666666666,20,0.8333333333333334
v1-old,T1+F2,external_position_filter,all8,24,100,8,0.3333333333333333,16,0.6666666666666666
v1-old,T1+F2,external_position_filter,all8,24,200,15,0.625,9,0.375
v1-old,T1+F2,external_position_filter,all8,24,300,22,0.9166666666666666,2,0.08333333333333333
v1-old,T1+F2,external_position_filter,noG,24,50,0,0.0,24,1.0
v1-old,T1+F2,external_position_filter,noG,24,80,3,0.125,21,0.875
v1-old,T1+F2,external_position_filter,noG,24,100,5,0.20833333333333334,19,0.7916666666666666
v1-old,T1+F2,external_position_filter,noG,24,200,17,0.7083333333333334,7,0.2916666666666667
v1-old,T1+F2,external_position_filter,noG,24,300,21,0.875,3,0.125
v1-old,T1+F3,external_position_filter,all8,24,50,3,0.125,21,0.875
