version,solver,solver_family,eval_set,n_positions,component,role,signed_mean_bias_mm,signed_std_mm,p95_abs_error_mm,axis_convention,horizontal_2d_rmse_mm,horizontal_2d_p50_mm,horizontal_2d_p95_mm
v1-old,T1+F0,external_position_filter,all8,24,X,OptiTrack horizontal X,17.75918530381924,38.80815723379581,77.07608714286822,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,20.303452988865235,187.98813261666285,306.28572767828206,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-10.78183089947639,40.00089414690634,68.6108655088414,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,58.38114806125797,53.85169063519905,87.13946242598291
v1-old,T1+F0,external_position_filter,noG,24,X,OptiTrack horizontal X,42.36059911614422,44.75712420757781,108.3670222890218,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,noG,24,Y_vertical,OptiTrack vertical Y,10.443059779273947,189.1055438149082,379.5792465701353,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,noG,24,Z,OptiTrack horizontal Z,19.449333727644404,46.92028552811934,92.8279655559719,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,noG,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,78.75413583579949,72.74197344934144,137.38564806463188
v1-old,T1+F1,external_position_filter,all8,24,X,OptiTrack horizontal X,16.84768973430009,37.66652362943684,75.8968192020267,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,21.535650042407593,186.05383217172133,301.5032223025837,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-9.009669134338987,39.490938162046476,69.98921385482383,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,56.73820673265157,54.068931213774206,89.54833279471993
v1-old,T1+F1,external_position_filter,noG,24,X,OptiTrack horizontal X,41.27318782482883,43.505806501677704,109.71622694292712,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,noG,24,Y_vertical,OptiTrack vertical Y,12.225001561683134,187.59279396357113,374.62311957079794,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,noG,24,Z,OptiTrack horizontal Z,21.365861082540757,46.53471560835408,90.0493245976955,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,noG,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,77.77607528001472,72.48466436607536,132.49090454446954
v1-old,T1+F2,external_position_filter,all8,24,X,OptiTrack horizontal X,16.848327439496412,37.666747047937356,75.8968192020267,OptiTrack frame; Y is vertical,,,
