version,solver,solver_family,eval_set,n_positions,height,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,high,8,213.68760812787895,381.12342579171815,245.6035768696127
v1-old,T1+F0,external_position_filter,all8,24,low,8,205.22268706599496,289.8388823285675,206.3354657653412
v1-old,T1+F0,external_position_filter,all8,24,mid,8,92.40502900937308,156.9496702697028,100.83400377069871
v1-old,T1+F0,external_position_filter,noG,24,high,8,180.28602500502632,384.3301021527686,234.80965470049412
v1-old,T1+F0,external_position_filter,noG,24,low,8,190.9644377930771,368.6688971305924,230.84769985194262
v1-old,T1+F0,external_position_filter,noG,24,mid,8,103.10847895417783,169.92026709949957,115.41311245174124
v1-old,T1+F1,external_position_filter,all8,24,high,8,215.24371322128775,370.4420202226763,242.16578036684123
v1-old,T1+F1,external_position_filter,all8,24,low,8,208.4047873666857,288.4331800264977,205.9461023884299
v1-old,T1+F1,external_position_filter,all8,24,mid,8,87.80184344753613,156.24744819836775,97.52971110086362
v1-old,T1+F1,external_position_filter,noG,24,high,8,182.99460033581386,373.35823998095395,231.64034478652852
v1-old,T1+F1,external_position_filter,noG,24,low,8,192.504568349437,363.71196070805394,230.271564657936
v1-old,T1+F1,external_position_filter,noG,24,mid,8,97.97432156150036,171.38485499624448,114.4017037565236
v1-old,T1+F2,external_position_filter,all8,24,high,8,215.24371322128775,370.4420202226763,242.16578036684123
v1-old,T1+F2,external_position_filter,all8,24,low,8,208.4047873666857,288.4331800264977,205.94700648706194
v1-old,T1+F2,external_position_filter,all8,24,mid,8,87.80184344753613,156.24744819836775,97.52971110086362
v1-old,T1+F2,external_position_filter,noG,24,high,8,182.99460033581386,373.35823998095395,231.64034478652852
v1-old,T1+F2,external_position_filter,noG,24,low,8,192.504568349437,363.81227114159174,230.32274511491457
v1-old,T1+F2,external_position_filter,noG,24,mid,8,97.97432156150036,171.38485499624448,114.40066314916561
v1-old,T1+F3,external_position_filter,all8,24,high,8,215.2927278833941,371.9889384880398,242.650317439635
v1-old,T1+F3,external_position_filter,all8,24,low,8,208.69016756517715,289.9099611572475,206.5027292821605
v1-old,T1+F3,external_position_filter,all8,24,mid,8,88.61983841702605,156.412597643366,98.03402003020645
v1-old,T1+F3,external_position_filter,noG,24,high,8,182.82463061171663,374.39553447467904,231.87782557065023
v1-old,T1+F3,external_position_filter,noG,24,low,8,192.57563387333755,364.3847529320926,230.48407661289585
v1-old,T1+F3,external_position_filter,noG,24,mid,8,97.95486165956235,171.3549215766285,114.71581472191276
v1-old,T1+F4,external_position_filter,all8,24,high,8,215.28551674075112,369.6599297798707,241.9109521321692
v1-old,T1+F4,external_position_filter,all8,24,low,8,207.23342455633895,286.8740473702538,205.1055097108258
v1-old,T1+F4,external_position_filter,all8,24,mid,8,87.39201020651063,155.99887574967678,97.24422085215981
v1-old,T1+F4,external_position_filter,noG,24,high,8,182.4952800005192,372.78183903632845,231.33955501319085
v1-old,T1+F4,external_position_filter,noG,24,low,8,192.20485400571818,365.1260009247592,230.78006241988055
v1-old,T1+F4,external_position_filter,noG,24,mid,8,97.41362871253416,171.19061084836278,114.15366016392585
v1-old,T1+F5,external_position_filter,all8,24,high,8,215.67934815104047,367.79546788999585,241.32640608524358
v1-old,T1+F5,external_position_filter,all8,24,low,8,207.79890151122305,286.04904066423285,204.90935204835267
v1-old,T1+F5,external_position_filter,all8,24,mid,8,86.5972487699932,155.76479986770352,96.60459682385087
v1-old,T1+F5,external_position_filter,noG,24,high,8,182.39418391526675,371.77519620018313,230.9907393263796
v1-old,T1+F5,external_position_filter,noG,24,low,8,193.11766152601425,363.838765062678,230.3988692859961
v1-old,T1+F5,external_position_filter,noG,24,mid,8,96.75742172153872,171.22856033234638,113.86643943834837
v1-old,T2+F0,external_position_filter,all8,24,high,8,213.01265973121448,381.5253017248429,245.50030120627252
v1-old,T2+F0,external_position_filter,all8,24,low,8,205.30460717515268,288.9008681022411,205.94152012139358
v1-old,T2+F0,external_position_filter,all8,24,mid,8,92.66824206934862,157.44375458276133,101.25515792180725
v1-old,T2+F0,external_position_filter,noG,24,high,8,180.33735268269146,384.51848534885767,234.8786297462022
v1-old,T2+F0,external_position_filter,noG,24,low,8,192.44877304414285,368.3734412374985,231.10904115636674
v1-old,T2+F0,external_position_filter,noG,24,mid,8,103.2780503322197,169.89084951003122,115.46365458379286
v1-old,T2+F1,external_position_filter,all8,24,high,8,214.00130907220034,371.0028463948478,242.05094949391417
v1-old,T2+F1,external_position_filter,all8,24,low,8,208.288199040447,287.2278086451761,205.48402654329283
v1-old,T2+F1,external_position_filter,all8,24,mid,8,87.88374072936654,156.88666831158218,97.91650424636623
v1-old,T2+F1,external_position_filter,noG,24,high,8,182.9425324504398,373.9177134182805,231.79088991624556
v1-old,T2+F1,external_position_filter,noG,24,low,8,193.15156614981757,363.78831463232495,230.49174962996617
v1-old,T2+F1,external_position_filter,noG,24,mid,8,98.2203329249155,171.4661377693243,114.52682021239119
