version,solver,solver_family,eval_set,metric,point_mm,ci_low_mm,ci_high_mm,n_positions,n_boot,seed,source
v1-old,T1+F1,external_position_filter,all8,horizontal_median,54.06893121377421,29.514588475996213,70.25317886993356,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F1,external_position_filter,noG,median_3d,163.0505921373092,120.7025076311395,199.27191791564317,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F1,external_position_filter,noG,p95_3d,377.4161424890648,213.8024930638968,422.933942848014,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F1,external_position_filter,noG,rms_3d,199.80823527008022,155.32472792900512,244.00683285026275,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F1,external_position_filter,noG,repeat_d3_std_median,32.02206245247934,27.188427165759784,38.40442991529985,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F1,external_position_filter,noG,vertical_abs_p95,374.623119570798,199.83656391457367,422.5717900896734,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F1,external_position_filter,noG,horizontal_median,72.48466436607536,51.21479327892337,82.569228173123,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,all8,median_3d,169.35012337212635,98.63542970380269,219.51619653255077,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,all8,p95_3d,311.4212883058839,224.6252238529117,416.0476769994517,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,all8,rms_3d,191.98131784896938,151.68737260530887,230.98797624743617,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,all8,repeat_d3_std_median,32.2950231418025,28.428143690931506,36.02260454746022,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,all8,vertical_abs_p95,301.50322230258377,218.7734505389297,414.9408414767113,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,all8,horizontal_median,54.06893121377421,29.53066684666949,70.25317886993356,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,noG,median_3d,163.0505921373092,120.7025076311395,199.27191791564317,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,noG,p95_3d,377.4591326748667,213.8024930638968,422.933942848014,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,noG,rms_3d,199.8276990968808,156.07510304064144,243.5229776022678,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,noG,repeat_d3_std_median,31.00643656469819,27.188427165759784,38.897485006836256,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,noG,vertical_abs_p95,374.6654888175402,197.4902222463612,422.5717900896734,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F2,external_position_filter,noG,horizontal_median,72.48466436607536,51.21479327892337,81.96881861207352,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,all8,median_3d,169.2789233476667,98.53148601633065,220.2287823898939,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,all8,p95_3d,312.2296953587139,224.11325385357668,416.6512732339029,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,all8,rms_3d,192.46923809431627,152.04722850217996,232.24166359394192,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,all8,repeat_d3_std_median,37.08145824215319,34.97299060393965,42.7339363717386,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,all8,vertical_abs_p95,302.2768470528111,218.2726902426259,415.5618434432941,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,all8,horizontal_median,54.12391318729571,30.11042612524109,71.8867096241201,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,noG,median_3d,162.06881986146942,119.52394503932668,199.24178804816572,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
