version,solver,solver_family,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_mean_mm,err_3d_median_mm,err_3d_p75_mm,err_3d_p90_mm,err_3d_p95_mm,err_3d_p99_mm,err_3d_max_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,d3_std_median_mm,radial_p95_median_mm,residual_rms_median_mm,filter_rejections_total
v1-old,T1+F0,external_position_filter,all8,24,28818,28818,170.18010386175396,168.05845066119994,221.64970379333647,291.49432792922136,316.4688053772768,398.31861337580295,422.15827767890613,194.1330623740474,53.85169063519905,144.98732426490727,63.037464879098266,117.50529380764591,88.65564042376843,0
v1-old,T1+F1,external_position_filter,all8,24,28818,28818,167.77087635454623,169.35012337212635,221.71938576257787,277.3721683155873,311.4212883058839,393.0257303405157,416.0476769994517,191.98099456029908,54.068931213774206,144.7960340148282,32.2950231418025,58.54035627094741,88.65564042376843,0
v1-old,T1+F2,external_position_filter,all8,24,28818,28818,167.77115750592475,169.35012337212635,221.72444648739148,277.3721683155873,311.4212883058839,393.0257303405157,416.0476769994517,191.98131784896938,54.068931213774206,144.7960340148282,32.2950231418025,58.54035627094741,88.65564042376843,2
v1-old,T1+F3,external_position_filter,all8,24,28818,28818,168.27909249087608,169.27892334766673,221.30062290490872,279.7853719589805,312.2296953587139,393.5753523255989,416.6512732339029,192.46923809431627,54.12391318729571,144.8418128488476,37.08145824215319,67.85184041589969,88.65564042376843,3
v1-old,T1+F4,external_position_filter,all8,24,28818,28818,167.3314051134721,169.36169243200885,222.97873685250465,276.52165566355393,311.039445475736,392.5570284427703,415.5081836116619,191.5251222549964,54.47352271820616,145.1571526187406,23.80437600997446,43.52193305057317,88.65564042376843,2
v1-old,T1+F5,external_position_filter,all8,24,28818,28818,166.87298072840943,169.1924942441966,222.89872000013187,275.3603057738934,310.52012288711757,390.83103892300977,413.37696950054595,191.10095495871147,54.379877840394045,145.06926676478346,21.013875327040996,38.11369609294966,88.65564042376843,0
v1-old,T2+F0,external_position_filter,all8,24,28818,28818,170.18517730350246,167.6754767581387,219.89160378959207,291.5220289731145,316.3487611324706,398.6836846210935,422.68367321319494,194.02312113770617,53.06639973143113,145.9015699978814,62.85817666612623,118.4857736049253,88.67017000425598,0
v1-old,T2+F1,external_position_filter,all8,24,28818,28818,167.7049378567818,169.5141917458156,221.23930384481355,277.7264958777187,311.573832118692,393.5047069758441,416.6423659657303,191.83325147914158,53.57070840505277,145.37801892695154,33.633892151715415,60.71684650003843,88.67017000425598,0
v1-old,T2+F2,external_position_filter,all8,24,28818,28818,167.71336737277142,169.5141917458156,221.39103513262657,277.7264958777187,311.573832118692,393.5047069758441,416.6423659657303,191.84296957440642,53.57070840505277,145.37801892695154,33.633892151715415,60.71684650003843,88.67017000425598,2
v1-old,T2+F3,external_position_filter,all8,24,28818,28818,168.19080504588183,168.91027972724578,220.98935460641908,279.77239935425405,312.062098756925,393.7821144421107,416.98026136067244,192.22874861081175,53.48566085811277,145.46068513503764,38.51561991188911,69.09110548151938,88.67017000425598,3
