experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,kind,seed_id,experiment_uid,U,P,R
X_A0_L16_I0_T11,imu_only_diagnostic_screening,Phase4 L16 single-I T11.,34,17,40661,3131.608920541094,13014.068643313845,16717.1934281001,7545.493390686644,40661,1946.2679846493786,9349.650851190467,13122.740088729286,5860.697241584765,40661,1146.5961983056316,8436.133539472692,10891.856632345902,4752.546512279133,3306.920778006349,12860.600302527688,6272.426125684991,8421.572365754011,8085.061646684323,6051.356056099904,5203.363887205785,2103.272883017311,4205.143190738316,532.8090236626044,964.513342872971,14644.940319278145,9362.70885053877,130.8622030432158,nan,nan,nan,nan,nan,17,21343.92310877666,10674.475315160664,47548.63399364677,A0,L16,I0,T11,imu_only,S04,X_A0_L16_I0_T11__S04,,,
X_A0_L16_I0_T12,imu_only_diagnostic_screening,Phase4 L16 single-I T12.,34,17,40661,3132.098429410256,13013.789934342038,16713.998462994186,7545.4890033075235,40661,1946.0739937618685,9348.801135675334,13122.230380110208,5860.694080611658,40661,1147.1911933350862,8436.698906500456,10887.475005913533,4752.543444569259,3307.202462354893,12860.007663841998,6272.423309215481,8422.211474789034,8083.519863100262,6058.255107658335,5212.297377546969,2102.6420389006926,4215.704478331703,530.3453724433526,961.1763651330821,14644.940319278145,9362.70885053877,130.8622030432158,nan,nan,nan,nan,nan,17,21413.532306945297,10737.704667826385,47801.66027399847,A0,L16,I0,T12,imu_only,S04,X_A0_L16_I0_T12__S04,,,
X_A0_L16_I1_T11,imu_only_diagnostic_screening,Phase4 L16 single-I T11.,34,17,40661,2146.977134726457,8126.376134283507,9925.532447095171,4674.251558092905,40661,1615.5253657635144,7136.317250098587,8787.58408366893,4028.674906087553,40661,419.48257482373106,4377.04153116592,5576.6672802674575,2370.3177275197518,2450.1092253454717,8396.864058367915,4205.318702001987,7846.811618067979,4715.533340658498,5165.321250747773,5071.1865404250875,926.3167210757463,4453.137506388151,512.589261178013,972.1637305226604,9438.188319507113,8851.097572563802,78.69789914340333,nan,nan,nan,nan,nan,17,10075.695119093658,3276.464829401314,22548.527264721677,A0,L16,I1,T11,imu_only,S04,X_A0_L16_I1_T11__S04,,,
X_A0_L16_I1_T12,imu_only_diagnostic_screening,Phase4 L16 single-I T12.,34,17,40661,2147.4947469888007,8125.789534871919,9922.297134574164,4674.248967031456,40661,1615.1245214365956,7137.201203487966,8786.319131640972,4028.6726618619246,40661,418.6739959248504,4376.850721768039,5576.893658538256,2370.316432327336,2449.0322108051255,8395.652148220262,4205.314857362967,7847.042050275762,4716.929682630611,5174.9582519505475,5080.436332633386,925.3980097389214,4465.355594123002,510.64025330617505,968.5801526042076,9438.188319507113,8851.097572563802,78.69789914340333,nan,nan,nan,nan,nan,17,10079.288273945516,3290.816720235778,22533.789527671648,A0,L16,I1,T12,imu_only,S04,X_A0_L16_I1_T12__S04,,,
X_A0_L16_I2_T11,imu_only_diagnostic_screening,Phase4 L16 single-I T11.,34,17,40661,1805.19548277731,6893.388877745908,8515.369183605788,3932.385012288592,40661,1480.0580751554774,6081.177119839454,7407.2367082258825,3459.7404246683595,40661,480.17068937967963,3141.8324456815376,4305.952669965017,1869.1838001618644,2002.0703115112685,7712.616835409036,3544.2912396636348,6639.474786365028,2576.662026904536,4392.7537369246675,4377.806346869222,706.8646340128155,3230.685692540653,565.464492099874,1088.5630432519142,8712.631061779386,7222.288257236602,72.67042309342727,nan,nan,nan,nan,nan,17,5090.033529432302,1718.4632035828558,12877.859501302133,A0,L16,I2,T11,imu_only,S04,X_A0_L16_I2_T11__S04,,,
X_A0_L16_I2_T12,imu_only_diagnostic_screening,Phase4 L16 single-I T12.,34,17,40661,1805.491615291455,6892.712021377008,8515.288698737744,3932.383533031911,40661,1480.0385193440977,6081.250270679571,7406.080973696351,3459.7391331169565,40661,480.73104215331557,3142.939572772443,4306.293986265813,1869.183078684287,2001.1817478281985,7712.626324266075,3544.290379810035,6639.225924471422,2576.1984924000762,4401.841626842894,4386.974467313189,708.1721704413212,3234.173839659974,564.501296376053,1086.5913555906386,8712.631061779386,7222.288257236602,72.67042309342727,nan,nan,nan,nan,nan,17,5105.701464457071,1719.011455475581,12914.977146587446,A0,L16,I2,T12,imu_only,S04,X_A0_L16_I2_T12__S04,,,
X_A0_L16_I3_T11,imu_only_diagnostic_screening,Phase4 L16 single-I T11.,34,17,40661,1115.328100068214,4866.831597464424,6455.9044861299535,2889.2497895216184,40661,765.8967694723685,3825.1720051812413,5465.087450608551,2374.071833733654,40661,400.10588879123884,2667.223813227176,3669.650230853507,1646.6776474232122,1184.3486708447763,4685.108632371201,2281.0814899349434,3434.8534793663193,2606.971916294002,1880.1236769666439,1754.6205324579691,598.3759554132605,1215.994470480954,435.8680622136183,833.2138951337467,5380.229314922881,3861.5996269934117,44.855954642805315,nan,nan,nan,nan,nan,17,2076.084935491515,1171.9100292895432,4450.342214336667,A0,L16,I3,T11,imu_only,S04,X_A0_L16_I3_T11__S04,,,
X_A0_L16_I3_T12,imu_only_diagnostic_screening,Phase4 L16 single-I T12.,34,17,40661,1115.3828608034464,4866.415209456007,6457.843757611337,2889.249345855528,40661,766.0637682875818,3825.488745756897,5466.232409337053,2374.071574393492,40661,400.1217224619934,2667.454606876975,3670.493193550442,1646.6772428692288,1183.7887257296607,4687.639295999223,2281.0849768706967,3435.661253819978,2607.619912063836,1879.5498972224168,1756.2339863412528,599.5503543829244,1216.5028623758606,434.5426469008763,832.8624233002961,5380.229314922881,3861.5996269934117,44.855954642805315,nan,nan,nan,nan,nan,17,2083.395652385613,1172.3399614817572,4465.9092522595165,A0,L16,I3,T12,imu_only,S04,X_A0_L16_I3_T12__S04,,,
X_A0_L16_I4_T11,imu_only_diagnostic_screening,Phase4 L16 single-I T11.,34,17,40661,1423.2082218204155,5866.458538786799,7622.5978116348515,3373.389246759618,40661,1049.1068968682446,4472.03523512827,6003.03484820645,2702.965913069404,40661,577.1998173612782,3307.564200376176,4610.82290803177,2018.3484047454003,1342.77816172516,5689.700248057319,2854.05297143848,4429.61243954515,3106.2614795171085,2959.1019194668406,2707.3010099975654,728.1653128774481,1871.349270902765,553.448172259375,1032.4776002741974,6459.821925019054,4892.138449817599,53.87756218237338,nan,nan,nan,nan,nan,17,2320.3726523938285,1172.3380086113145,4895.259689112793,A0,L16,I4,T11,imu_only,S04,X_A0_L16_I4_T11__S04,,,
X_A0_L16_I4_T12,imu_only_diagnostic_screening,Phase4 L16 single-I T12.,34,17,40661,1423.7133471158577,5868.1771501960375,7621.082674347432,3373.3884429316745,40661,1049.0137554896205,4472.164822161722,6000.858450827567,2702.965916356473,40661,576.9363801521822,3307.744222733618,4611.829143014382,2018.3470568562286,1343.272659647209,5688.752561061479,2854.053461680006,4428.739628063806,3105.9422529477793,2962.56932075006,2710.528979027644,728.1043860221672,1872.2131200845329,553.2760946546379,1031.87197322209,6459.821925019054,4892.138449817599,53.87756218237338,nan,nan,nan,nan,nan,17,2327.4098173511843,1173.6787398880797,4911.172566381048,A0,L16,I4,T12,imu_only,S04,X_A0_L16_I4_T12__S04,,,
