host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.002293,1409,,BSF66F,,cal_static,4,A,ok,ok,3255,3255,0,0,100,100
0.002386,1409,,BSF66F,,cal_static,4,B,ok,ok,2695,2695,0,0,100,100
0.027054,1409,,BSF66F,,cal_static,4,C,ok,ok,2442,2442,0,0,100,100
0.029689,1409,,BSF66F,,cal_static,4,D,ok,ok,3131,3131,0,0,100,100
0.18045,1410,,BSF66F,,cal_static,4,E,ok,ok,3300,3300,0,0,100,100
0.180682,1410,,BSF66F,,cal_static,4,F,ok,ok,2416,2416,0,0,100,100
0.182287,1410,,BSF66F,,cal_static,4,G,ok,ok,2481,2481,0,0,100,100
0.207144,1410,,BSF66F,,cal_static,4,H,ok,ok,3225,3225,0,0,100,100
0.412388,1411,,BSF66F,,cal_static,4,A,ok,ok,3313,3313,0,0,100,100
0.412959,1411,,BSF66F,,cal_static,4,B,ok,ok,2671,2671,0,0,100,100
0.414306,1411,,BSF66F,,cal_static,4,C,ok,ok,2433,2433,0,0,100,100
0.462261,1411,,BSF66F,,cal_static,4,D,ok,ok,3145,3145,0,0,100,100
0.571484,1412,,BSF66F,,cal_static,4,E,ok,ok,3332,3332,0,0,100,100
0.573034,1412,,BSF66F,,cal_static,4,F,ok,ok,2448,2448,0,0,100,100
0.589633,1412,,BSF66F,,cal_static,4,G,ok,ok,2456,2456,0,0,100,100
0.591934,1412,,BSF66F,,cal_static,4,H,ok,ok,3221,3221,0,0,100,100
0.80264,1413,,BSF66F,,cal_static,4,A,ok,ok,3225,3225,0,0,100,100
0.80272,1413,,BSF66F,,cal_static,4,B,ok,ok,2664,2664,0,0,100,100
0.804521,1413,,BSF66F,,cal_static,4,C,ok,ok,2443,2443,0,0,100,100
0.822208,1413,,BSF66F,,cal_static,4,D,ok,ok,3151,3151,0,0,100,100
0.982815,1414,,BSF66F,,cal_static,4,E,ok,ok,3305,3305,0,0,100,100
0.982915,1414,,BSF66F,,cal_static,4,F,ok,ok,2434,2434,0,0,100,100
0.984873,1414,,BSF66F,,cal_static,4,G,ok,ok,2480,2480,0,0,100,100
1.002506,1414,,BSF66F,,cal_static,4,H,ok,ok,3226,3226,0,0,100,100
1.209925,1415,,BSF66F,,cal_static,4,A,ok,ok,3236,3236,0,0,100,100
1.209986,1415,,BSF66F,,cal_static,4,B,ok,ok,2683,2683,0,0,100,100
1.25708,1415,,BSF66F,,cal_static,4,C,ok,ok,2411,2411,0,0,100,100
1.259455,1415,,BSF66F,,cal_static,4,D,ok,ok,3143,3143,0,0,100,100
1.365503,1416,,BSF66F,,cal_static,4,E,ok,ok,3311,3311,0,0,100,100
1.365805,1416,,BSF66F,,cal_static,4,F,ok,ok,2464,2464,0,0,100,100
1.366922,1416,,BSF66F,,cal_static,4,G,ok,ok,2449,2449,0,0,100,100
1.384805,1416,,BSF66F,,cal_static,4,H,ok,ok,3205,3205,0,0,100,100
1.62038,1417,,BSF66F,,cal_static,4,A,ok,ok,3265,3265,0,0,100,100
1.62046,1417,,BSF66F,,cal_static,4,B,ok,ok,2689,2689,0,0,100,100
1.62203,1417,,BSF66F,,cal_static,4,C,ok,ok,2453,2453,0,0,100,100
1.647175,1417,,BSF66F,,cal_static,4,D,ok,ok,3158,3158,0,0,100,100
1.77986,1418,,BSF66F,,cal_static,4,E,ok,ok,3226,3226,0,0,100,100
1.779893,1418,,BSF66F,,cal_static,4,F,ok,ok,2398,2398,0,0,100,100
1.797162,1418,,BSF66F,,cal_static,4,G,ok,ok,2449,2449,0,0,100,100
1.799838,1418,,BSF66F,,cal_static,4,H,ok,ok,3162,3162,0,0,100,100
