pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4939.738887852018,4940.06444906445,-0.32556121243214875,0.32556121243214875
A-C,6964.927346131945,6964.463902580458,0.4634435514872166,0.4634435514872166
A-D,4911.090919537398,4911.59900990099,-0.5080903635916911,0.5080903635916911
A-E,1379.176802642369,1379.3600000000001,-0.18319735763111566,0.18319735763111566
A-F,5146.308987742083,5146.0,0.3089877420834455,0.3089877420834455
A-G,7079.402326283288,7079.84705882353,-0.4447325402416027,0.4447325402416027
A-H,5107.021366877502,5106.471451876019,0.5499150014829866,0.5499150014829866
B-C,4921.465558194775,4921.465558194775,0.0,0.0
B-D,6988.55902047116,6989.472992700729,-0.913972229569481,0.913972229569481
B-E,5118.883508083824,5118.467775467776,0.41573261604844447,0.41573261604844447
B-F,1380.8239996959012,1381.1421319796953,-0.318132283794057,0.318132283794057
B-G,5096.747646898327,5096.60975609756,0.13789080076639948,0.13789080076639948
B-H,7139.28632590482,7138.534770725782,0.7515551790374957,0.7515551790374957
C-D,4960.433628318584,4960.433628318584,0.0,0.0
C-E,7113.483508781118,7114.500000000001,-1.0164912188829476,1.0164912188829476
C-F,5092.606153433081,5092.260633484163,0.34551994891808135,0.34551994891808135
C-G,1394.1012508844847,1394.1049723756905,-0.0037214912058516347,0.0037214912058516347
C-H,5158.900502735734,5158.5,0.40050273573433515,0.40050273573433515
D-E,5131.222001601199,5130.538404726736,0.6835968744626371,0.6835968744626371
D-F,7124.297423954975,7123.602352941177,0.6950710137980423,0.6950710137980423
D-G,5140.994880057223,5140.795294117646,0.19958593957653648,0.19958593957653648
D-H,1366.1701033593724,1366.4999999999998,-0.32989664062733937,0.32989664062733937
E-F,4946.997840146534,4946.999999999999,-0.002159853464945627,0.002159853464945627
E-G,6954.095935090108,6953.913207547169,0.18272754293866456,0.18272754293866456
E-H,4952.158537455257,4952.36,-0.20146254474275338,0.20146254474275338
F-G,4882.590163934427,4882.590163934427,0.0,0.0
F-H,7008.021477367037,7009.150442477876,-1.12896511083909,1.12896511083909
G-H,4963.0,4963.0,0.0,0.0
