layout,tag_method,capture_id,tag,status,n_overlap,uwb_duration_s,overlap_duration_s,beta_s,layout_anchor_fit_det,layout_anchor_rms_3d_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge7_anchors_input,pct_frames_ge8_anchors_input,err3d_mean_mm,err3d_rmse_mm,err3d_p50_mm,err3d_p90_mm,err3d_p95_mm,err3d_max_mm,err_horizontal_xz_mean_mm,err_horizontal_xz_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p90_mm,err_horizontal_xz_p95_mm,err_horizontal_xz_max_mm,err_vertical_y_mean_mm,err_vertical_y_rmse_mm,err_vertical_y_p50_mm,err_vertical_y_p90_mm,err_vertical_y_p95_mm,err_vertical_y_max_mm,signed_bias_x_mm,signed_bias_y_vertical_mm,signed_bias_z_mm,signed_std_x_mm,signed_std_y_vertical_mm,signed_std_z_mm,turn_center_abs_error_3d_mm,turn_center_abs_error_horizontal_xz_mm,turn_center_abs_error_vertical_y_mm,radius_uwb_mm,radius_opti_mm,radius_error_mm,axis_angle_abs_deg,uwb_circle_thickness_rms_mm,opti_circle_thickness_rms_mm,experiment,layout_solver,layout_variant,delay_mode,scale_mode,scale_factor,scale_source,alignment_frame,layout_key,opti_marker,time_offset_source
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T1,R01,BS2DCE,ok,1201,119.96293800000001,119.96293800000001,37.70795600000014,-1.0000000000000013,101.27420364979389,146.8650050627882,283.78683832353056,8.0,8.0,99.91673605328893,95.42048293089093,175.02839581435003,199.90264306142024,153.61632268236303,300.87335078587245,377.8624174732941,759.7504825578027,113.10318773262306,124.07002641929397,107.29072588562077,183.43211799414226,204.22322901527158,346.55563297491136,120.19835260503108,156.7408537914008,94.21199882395354,260.1121046918207,342.1033627059992,721.092783333912,11.586932817591592,61.837515673061255,3.216388020917853,87.9218270902715,144.08713827655376,86.78265333875932,62.76953041971822,11.479383248977,61.71092050306038,528.5667757418099,426.4858284884082,102.08094725340175,8.677830121052244,145.4670746196379,0.8740596195392576,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandBantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T1,R01,BSDC91,ok,1200,119.927195,119.927195,37.70795600000014,-1.0000000000000013,101.27420364979389,109.28858262994558,270.8464754802743,8.0,8.0,99.66666666666667,94.16666666666667,133.31231955372647,165.06163315717828,103.70129216124775,268.796297474525,368.79428499211497,642.6726962710819,92.64554502349672,110.80717431843937,76.29220171774156,173.96637929182182,222.23750057519035,446.20422436185805,84.56921389998408,122.34015228075322,56.358848454045074,218.58143618462526,278.42730512871054,603.0521280108148,-7.871995827058245,-32.56139375906235,0.40628529358705257,87.26329798334119,117.97655368431421,67.907303659874,33.321907046541774,5.35544297291881,32.888732413733806,632.0461065635797,553.5374362567889,78.5086703067908,2.893089158377292,129.8226355637338,0.8546924007303187,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandCantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T2,R01,BS2DCE,ok,1201,119.96293800000001,119.96293800000001,37.70795600000014,-1.0000000000000013,101.27420364979389,146.8693170098921,283.78683832353056,8.0,8.0,99.91673605328893,95.42048293089093,174.82176230939842,199.5826182550911,153.80945413920853,300.8480450811814,377.86378898169596,761.060528774478,113.09614882110985,124.05483316224105,106.97012936538107,183.66861317812425,204.3609466087733,346.80716193709833,119.93124967135624,156.3445550015924,93.84650791496301,259.93296454395,342.1033627059994,722.1369573073216,11.637998775845558,62.00829118633204,3.2509538770119653,87.87220028797982,143.58188324396178,86.80304903883747,62.94473817971713,11.546500663227185,61.876638458688376,528.6148533703597,426.4858284884082,102.12902488195152,8.640497771104439,145.02402199879901,0.8740596195392576,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandBantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T2,R01,BSDC91,ok,1200,119.927195,119.927195,37.70795600000014,-1.0000000000000013,101.27420364979389,109.23049838584768,270.84647545716336,8.0,8.0,99.66666666666667,94.16666666666667,133.22219865027338,164.95311167158042,103.16810037442698,267.44659826525043,363.6403370103442,642.6726962710819,92.59892066305463,110.78281341859666,76.29969658412588,174.78193268296408,222.2035056919183,448.5843250515349,84.49924563762073,122.21578171904511,56.24375953995161,218.52117723368303,278.6822451102267,603.0521280108148,-8.106888386506329,-31.907830098001746,0.6171112624293562,87.15778509583107,118.02625206473365,67.9737488952545,32.66509977687545,5.234574121126845,32.24295236487592,632.0004712899604,553.5374362567889,78.46303503317154,2.9223532821388307,129.85489791949263,0.8546924007303187,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandCantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T3,R01,BS2DCE,ok,1201,119.96293800000001,119.96293800000001,37.70795600000014,-1.0000000000000013,101.27420364979389,155.6962689001785,299.09486917774,8.0,8.0,99.91673605328893,95.42048293089093,217.61663011479578,251.7681008053568,186.4990862636803,371.98821564073234,460.0697067475029,892.1844933261746,131.76524805914482,142.33317613408312,127.74117008687915,200.09851273929738,222.5723695490113,327.73811348737036,157.1012820826093,207.67388751289937,119.99850298230945,341.2182903415206,425.85227406226977,831.040766851395,51.893508868665165,-33.724810978431826,-8.56227284901039,96.52214248608449,205.0026176574877,90.5015874417494,42.543244784423045,36.682148339113695,21.548727805014323,527.4813553925767,426.4858284884082,100.99552690416851,16.818483441349528,194.8767147164293,0.8740596195392576,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandBantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T3,R01,BSDC91,ok,1200,119.927195,119.927195,37.70795600000014,-1.0000000000000013,101.27420364979389,111.40739699064979,275.99159992065273,8.0,8.0,99.66666666666667,94.16666666666667,137.08437255263686,171.9859237379863,104.03902826005631,281.84954987805077,391.78637485009176,645.1480046911499,95.96886633499982,115.52587506250839,79.36184021519902,178.97471660850417,239.84870658417486,498.33133586442665,86.52472894496377,127.40851680735533,57.332332831483996,222.05700558387494,302.4538193182311,529.8134916179437,-16.62658814421708,-33.89820292851289,0.8099804397387778,88.84115505530352,122.86749914123693,72.02275681600054,36.08202085508627,7.9589679269056015,35.19328144014662,633.9132109726766,553.5374362567889,80.3757747158877,6.032212321467067,130.64061195176103,0.8546924007303187,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandCantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T4,R01,BS2DCE,ok,1201,119.96293800000001,119.96293800000001,37.70795600000014,-1.0000000000000013,101.27420364979389,148.21786575868109,298.87099816078626,8.0,8.0,99.91673605328893,95.42048293089093,211.16173697582968,274.2956816818296,152.51958338899115,439.52567902161053,662.2562682636689,919.0602326824121,115.19998150891848,133.74721864021328,100.12369620589502,199.62675519493303,251.71260697262065,454.7615011985382,162.9963338839478,239.4781879322344,100.22001564733841,406.29211791236855,610.7955763225539,834.5678654315625,26.376509102609276,-19.919364090346683,-5.997449642341499,105.39615441090668,238.74773774998175,77.86254995470541,27.50431502411194,24.88760237661663,11.70874002141204,494.99046090718883,426.4858284884082,68.50463241878066,15.165407321778845,242.39603871173838,0.8740596195392576,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandBantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T4,R01,BSDC91,ok,1200,119.927195,119.927195,37.70795600000014,-1.0000000000000013,101.27420364979389,110.6684355543131,257.7649844765735,8.0,8.0,99.66666666666667,94.16666666666667,134.62044779204697,170.00003723318488,105.92774971917049,258.1015465208472,335.66435428906,773.1618956636861,86.72662761965255,102.8263731785811,73.88625204920112,162.96461769728523,197.90459255125313,438.31697990932156,90.768497738376,135.37632598879105,60.05356504402721,213.01904945957935,280.9767708037561,714.7991510956266,0.6481866470512893,-28.89763182942239,-3.0179408779554593,82.10809630325171,132.31124316208792,61.89350437576814,30.864477984703598,10.451447835419287,29.041061265245844,618.3396744372378,553.5374362567889,64.80223818044897,1.9339982086047272,143.5186408044572,0.8546924007303187,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandCantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T1,R02,BS2DCE,ok,1201,119.991077,119.991077,46.52235800000014,-1.0000000000000013,101.27420364979389,157.45192903015007,357.21829491551443,8.0,8.0,99.83347210657784,91.59034138218152,195.5261196792471,225.0624599623148,169.16861661031402,360.6102479332655,414.08813063614986,618.5766714632391,130.13828276160797,148.83701839453468,115.66181114576781,244.82619229718065,274.4205063375008,403.99244069234254,130.0892739453176,168.82136369462688,98.32586594884458,290.5669950391724,344.47503202797816,516.9806486547518,-40.391167458648724,21.382338832110236,13.678594481252375,91.42849018974292,167.531543197504,109.50654680711142,62.22971141577116,60.04202017315951,16.3552070123269,551.320664468353,426.58726724533,124.73339722302302,10.802498203771146,167.46641861612144,1.3048243547134348,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandBantenna,fixed FULL v4-io/T4 capture-level offset
scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,T1,R02,BSDC91,ok,1200,119.90881399999999,119.90881399999999,46.52235800000014,-1.0000000000000013,101.27420364979389,112.7205633992838,245.49702992258824,8.0,8.0,100.0,95.0,138.14432633986732,159.02246425018055,119.76475792797496,225.97079133883258,315.7626072482497,454.2955450331657,92.76261138785475,103.0762447358016,89.9888230196306,156.68513269896354,173.72676762752218,251.950922781359,90.42329835882111,121.09265835452241,69.54281858214728,190.82302616138784,274.62060215855604,410.5031442151994,-5.798162903814529,-27.95943973002281,5.521931627786754,63.55487381725336,117.86975596036828,80.80957655080422,41.498297057197206,21.167489329701056,35.69378172909637,634.4794458144588,553.7579522299014,80.72149358455738,2.3902810241545933,125.27032292960295,1.5638709714184331,scale_to_vicon,v1-old,original_rigid_no_scale,solver_delay,rigid_no_scale,1.0,rigid_no_scale,OptiTrack,scale_to_vicon/v1-old/original_rigid_no_scale/solver_delay,WandCantenna,fixed FULL v4-io/T4 capture-level offset
