node,t_number,direction,adapter,window_start_s,window_end_s,geometry_manifest_status,measurement_domain,input_adapter_executed,spatial_algorithm_updates,status,velocity_rms_mps,position_drift_m,uwb_residual_rms_mm,note
BSF3C79,T2,IMU_CORRECTS_UWB,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,solved_UWB_XYZ,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSF3C79,T3,BIDIRECTIONAL_CORRECTION,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,solved_UWB_XYZ,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSF3C79,T5,UWB_CORRECTS_IMU,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,solved_UWB_XYZ,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSF3C79,T6,RAW_UWB_CORRECTS_IMU_POSITION_PRIOR,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,raw_ranges+bound_anchor_XYZ/delay,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSF3C79,T8,ROBUST_RAW_UWB_CORRECTS_IMU_POSITION_PRIOR,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,raw_ranges+bound_anchor_XYZ/delay,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSF3C79,T11_REAL_CONTROL,IMU_ONLY_CONTROL,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,real_JY61P_IMU,1,0,EXECUTED,25.7237900253,10158.6971117,,truth initialization removed; real timestamp control
BSFC2CC,T2,IMU_CORRECTS_UWB,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,solved_UWB_XYZ,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSFC2CC,T3,BIDIRECTIONAL_CORRECTION,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,solved_UWB_XYZ,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSFC2CC,T5,UWB_CORRECTS_IMU,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,solved_UWB_XYZ,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSFC2CC,T6,RAW_UWB_CORRECTS_IMU_POSITION_PRIOR,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,raw_ranges+bound_anchor_XYZ/delay,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
BSFC2CC,T8,ROBUST_RAW_UWB_CORRECTS_IMU_POSITION_PRIOR,v47_real_data_adapter.load_capture,1,484,BLOCKED_GEOMETRY_BINDING,raw_ranges+bound_anchor_XYZ/delay,1,0,BLOCKED_GEOMETRY_BINDING,,,,equal fail-closed gate; Erlangen geometry not substituted
