node,baseline_start_s,baseline_end_s,m1_velocity_rms_mps,m2_velocity_rms_mps,m2_over_m1_velocity_rms,significantly_lower,m3_position_divergence_m,m4_position_divergence_m,m4_no_worse_than_m3,geometry_limited
BSF3C79,1,484,25.7237900253,0.00501142021698,0.000194816557438,1,10158.6971117,0.952300698719,1,1
BSFC2CC,1,484,40.5596635325,0.00974904507874,0.000240363065905,1,16717.8232043,1.54126516045,1,1
BSF44AD,1,484,13.652293907,0.00303043678104,0.000221972717676,1,5319.80440884,0.498154261695,1,1
BSF6C53,1,484,16.7804039774,0.00344476019415,0.000205284699867,1,6587.63775666,0.547814889272,1,1
BSF8BC4,1,484,25.0303450183,0.00597452209066,0.000238691160121,1,10334.9716951,1.00526975672,1,1
BSF1120,1,484,17.9625905395,0.00184031142595,0.000102452450937,1,7334.64901208,0.737370993298,1,1
BSF31CC,1,484,8.82400406708,0.000692140559562,7.84383772152e-05,1,2732.32964887,0.0366223889189,1,1
BSFAA61,1,484,22.5798452431,0.00224898474388,9.9601424176e-05,1,7619.62622737,0.364738490064,1,1
BSFB165,1,484,22.2128432142,0.00402414109035,0.000181162809801,1,8467.19089279,0.781513982041,1,1
BSFEC35,1,484,46.5658790477,0.00250456185579,5.37853446989e-05,1,15631.550772,0.438771777926,1,1
