node,stationary_candidate_samples,zupt_updates,zupt_nis_median,zupt_nis_p95,direct_velocity_assignment,move_window_updates
BSF3C79,339599,33960,0.0247088100836,0.0366997632678,0,
BSFC2CC,342419,34242,0.0656941563726,0.0751425916052,0,0
BSF44AD,322195,32220,0.00705850913373,0.014536219469,0,
BSF6C53,303783,30379,0.0082023238654,0.0111396302131,0,
BSF8BC4,325389,32539,0.0273373222297,0.0341025028678,0,
BSF1120,345192,34520,0.0134056315811,0.0202506083036,0,
BSF31CC,341805,34180,0.000246880112247,0.00862548800673,0,
BSFAA61,340576,34058,0.00456686952289,0.0108558312133,0,0
BSFB165,326998,32700,0.0172225747116,0.0263456178878,0,
BSFEC35,338581,33858,0.00560327184345,0.0162223357673,0,
