node,mechanism,velocity_rms_mps,endpoint_position_m,delta_endpoint_vs_nominal_m,zupt_updates
BSF3C79,M2_fixed_dt,0.00501141973,0.952137130022,0.000163769538905,9660
BSF3C79,M2_no_gyro_bias,0.00552565560905,0.969757324589,0.194049980217,9660
BSF3C79,M2_vibration_included,0.00501142021698,0.952300698719,0.0,34920
BSF3C79,UWB_uniform_gate_off,,,,
BSF3C79,UWB_uniform_gate_on,,,,
BSF3C79,UWB_per_link_gate_off,,,,
BSF3C79,UWB_per_link_gate_on,,,,
BSFC2CC,M2_fixed_dt,0.00974904507874,1.54126516045,0.0,9681
BSFC2CC,M2_no_gyro_bias,0.0101228492882,1.54999280644,0.192504762285,9681
BSFC2CC,M2_vibration_included,0.00974904507874,1.54126516045,0.0,35202
BSFC2CC,UWB_uniform_gate_off,,,,
BSFC2CC,UWB_uniform_gate_on,,,,
BSFC2CC,UWB_per_link_gate_off,,,,
BSFC2CC,UWB_per_link_gate_on,,,,
BSF44AD,M2_fixed_dt,0.00302816922171,0.498051807348,0.00010267945867,9680
BSF44AD,M2_no_gyro_bias,0.00325756953211,0.504541345764,0.0855851347339,9680
BSF44AD,M2_vibration_included,0.00303043678104,0.498154261695,0.0,33180
BSF44AD,UWB_uniform_gate_off,,,,
BSF44AD,UWB_uniform_gate_on,,,,
BSF44AD,UWB_per_link_gate_off,,,,
BSF44AD,UWB_per_link_gate_on,,,,
BSF6C53,M2_fixed_dt,0.00344476019415,0.547814889272,0.0,9680
BSF6C53,M2_no_gyro_bias,0.00506588287104,0.616336774111,0.297327960008,9680
BSF6C53,M2_vibration_included,0.00344476019415,0.547814889272,0.0,30379
BSF6C53,UWB_uniform_gate_off,,,,
BSF6C53,UWB_uniform_gate_on,,,,
BSF6C53,UWB_per_link_gate_off,,,,
BSF6C53,UWB_per_link_gate_on,,,,
BSF8BC4,M2_fixed_dt,0.00597452118279,1.00505306942,0.000216949596304,9679
BSF8BC4,M2_no_gyro_bias,0.00621771239682,1.01313728348,0.138751603483,9679
BSF8BC4,M2_vibration_included,0.00597452209066,1.00526975672,0.0,33499
BSF8BC4,UWB_uniform_gate_off,,,,
BSF8BC4,UWB_uniform_gate_on,,,,
BSF8BC4,UWB_per_link_gate_off,,,,
BSF8BC4,UWB_per_link_gate_on,,,,
BSF1120,M2_fixed_dt,0.00184031142595,0.737370993298,0.0,9681
BSF1120,M2_no_gyro_bias,0.00211337344419,0.777018932809,0.24597140183,9681
BSF1120,M2_vibration_included,0.00184031142595,0.737370993298,0.0,35480
BSF1120,UWB_uniform_gate_off,,,,
BSF1120,UWB_uniform_gate_on,,,,
BSF1120,UWB_per_link_gate_off,,,,
BSF1120,UWB_per_link_gate_on,,,,
BSF31CC,M2_fixed_dt,0.000692140559562,0.0366223889189,0.0,9680
BSF31CC,M2_no_gyro_bias,0.00151742520828,0.118652981402,0.118593898224,9680
BSF31CC,M2_vibration_included,0.000692140559562,0.0366223889189,0.0,35140
BSF31CC,UWB_uniform_gate_off,,,,
BSF31CC,UWB_uniform_gate_on,,,,
BSF31CC,UWB_per_link_gate_off,,,,
BSF31CC,UWB_per_link_gate_on,,,,
BSFAA61,M2_fixed_dt,0.00224898234063,0.364574725055,0.000164781703329,9679
BSFAA61,M2_no_gyro_bias,0.00337747788602,0.40379348226,0.190997841169,9679
BSFAA61,M2_vibration_included,0.00224898474388,0.364738490064,0.0,35017
BSFAA61,UWB_uniform_gate_off,,,,
BSFAA61,UWB_uniform_gate_on,,,,
BSFAA61,UWB_per_link_gate_off,,,,
BSFAA61,UWB_per_link_gate_on,,,,
BSFB165,M2_fixed_dt,0.00402412802507,0.781339031382,0.000175445331106,9660
BSFB165,M2_no_gyro_bias,0.0043895848271,0.791007455646,0.133835075941,9660
BSFB165,M2_vibration_included,0.00402414109035,0.781513982041,0.0,33660
BSFB165,UWB_uniform_gate_off,,,,
BSFB165,UWB_uniform_gate_on,,,,
BSFB165,UWB_per_link_gate_off,,,,
BSFB165,UWB_per_link_gate_on,,,,
BSFEC35,M2_fixed_dt,0.0025045603651,0.438681000227,9.15342028764e-05,9679
BSFEC35,M2_no_gyro_bias,0.00357851139275,0.495495144669,0.259574797029,9679
BSFEC35,M2_vibration_included,0.00250456185579,0.438771777926,0.0,34817
BSFEC35,UWB_uniform_gate_off,,,,
BSFEC35,UWB_uniform_gate_on,,,,
BSFEC35,UWB_per_link_gate_off,,,,
BSFEC35,UWB_per_link_gate_on,,,,
