event_id,onset_s,end_s,nodes,max_m2_velocity_delta_mps,max_post_event_velocity_delta_mps,max_post_event_excess_position_m,zupt_updates_during_event,uwb_nis_rejections,filter_reinitializations,permanent_step_claimed,verdict
E001,485.0,487.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.302022359558,0.631350690551,2.22999725939,0,46,0,0,MEASURED_NO_REINITIALIZATION
E005,518.0,519.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.137062593389,0.00451518447117,0.0352029598318,0,108,0,0,MEASURED_NO_REINITIALIZATION
E008,599.0,600.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.161841666345,0.0843485341749,0.641841643432,0,87,0,0,MEASURED_NO_REINITIALIZATION
E009,614.0,616.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.275307166775,0.249378337924,2.3967004464,0,198,0,0,MEASURED_NO_REINITIALIZATION
E010,671.0,673.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.27722077182,0.00643442066791,0.0238884626923,0,171,0,0,MEASURED_NO_REINITIALIZATION
E011,676.0,677.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.136780297862,0.219423953543,0.323577900518,0,80,0,0,MEASURED_NO_REINITIALIZATION
E012,703.0,704.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.137907002584,0.00120253359219,0.0191001461587,0,82,0,0,MEASURED_NO_REINITIALIZATION
E013,707.0,708.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.138242741412,0.0144133090332,0.0544609506659,0,78,0,0,MEASURED_NO_REINITIALIZATION
E014,710.0,711.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.137822187174,0.00187409477641,0.0228473666282,0,81,0,0,MEASURED_NO_REINITIALIZATION
E015,759.0,760.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.137378503294,0.00147494629681,0.0260954080267,0,64,0,0,MEASURED_NO_REINITIALIZATION
E016,775.0,776.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.138371706086,0.0037441640493,0.0274231253344,0,73,0,0,MEASURED_NO_REINITIALIZATION
E017,831.0,832.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.140280760281,0.0045928119576,0.0411297945131,0,92,0,0,MEASURED_NO_REINITIALIZATION
E019,881.0,882.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.138467287393,0.0377840042096,0.278620882905,0,68,0,0,MEASURED_NO_REINITIALIZATION
E020,893.0,894.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.155948883407,0.413385707031,0.6024520171,0,75,0,0,MEASURED_NO_REINITIALIZATION
E021,907.0,908.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.13759273512,0.00130662954729,0.033463713675,0,77,0,0,MEASURED_NO_REINITIALIZATION
E025,964.0,966.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.28232852073,0.00278216696669,0.0443684814926,0,179,0,0,MEASURED_NO_REINITIALIZATION
E026,967.0,968.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.279127358539,0.282171917647,2.3844785967,0,78,0,0,MEASURED_NO_REINITIALIZATION
E028,1050.0,1051.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.0879777731925,0.00411119454117,0.0274248633713,0,112,0,0,MEASURED_NO_REINITIALIZATION
E031,1118.0,1119.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.137236818274,0.0914101359954,0.0852446244406,0,109,0,0,MEASURED_NO_REINITIALIZATION
E033,1183.0,1186.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.413133430677,0.790816499695,3.55724104976,0,272,0,0,MEASURED_NO_REINITIALIZATION
E034,1195.0,1196.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.177560337444,1.23525360819,17.3301453863,0,73,0,0,MEASURED_NO_REINITIALIZATION
E035,1210.0,1211.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.13761472314,0.417108714997,1.01791421933,0,93,0,0,MEASURED_NO_REINITIALIZATION
E036,1214.0,1216.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.416914663736,0.337857022483,1.35328679443,0,167,0,0,MEASURED_NO_REINITIALIZATION
E037,1233.0,1234.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.174796121403,0.631609895218,2.15541807892,0,64,0,0,MEASURED_NO_REINITIALIZATION
