node,mode,geometry_bound,uwb_spatial_update_applied,status,velocity_rms_mps,velocity_p95_mps,velocity_p99_mps,position_scatter_m,position_endpoint_drift_m,roll_std_deg,pitch_std_deg,yaw_drift_deg,gyro_bias_x_dps,gyro_bias_y_dps,gyro_bias_z_dps,cov_min_eigenvalue,cov_max_eigenvalue,finite,uwb_valid,uwb_accepted,uwb_rejected,uwb_residual_rms_mm,uwb_nis_p95,uwb_accounting_closed
BSF3C79,M0,0,0,RANGE_SPACE_ONLY,,,,,,,,,,,,,,,119974,116643,3331,76.5722605761,5.72071246216,1
BSF3C79,M1,0,0,OK,25.7237900253,46.6443454975,50.2651211257,2995.2911946,10158.6971117,0.0542068513388,0.414912253901,-0.0717521001153,-0.213004988984,-0.311583929593,0.0,7.4044155688e-08,96074505658500.0,1,,,,,,
BSF3C79,M2,0,0,OK,0.00501142021698,0.00420092603877,0.0042839580832,0.288919583242,0.952300698719,0.00603839106858,0.00590078335238,-0.068638764843,-0.216763197488,-0.318507545899,-0.0133330135996,7.34061753949e-08,11.7833738433,1,,,,,,
BSF3C79,M3,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,25.7237900253,46.6443454975,50.2651211257,2995.2911946,10158.6971117,0.0542068513388,0.414912253901,-0.0717521001153,-0.213004988984,-0.311583929593,0.0,7.4044155688e-08,96074505658500.0,1,119974,116643,3331,76.5722605761,5.72071246216,1
BSF3C79,M4,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,0.00501142021698,0.00420092603877,0.0042839580832,0.288919583242,0.952300698719,0.00603839106858,0.00590078335238,-0.068638764843,-0.216763197488,-0.318507545899,-0.0133330135996,7.34061753949e-08,11.7833738433,1,119974,116643,3331,76.5722605761,5.72071246216,1
BSFC2CC,M0,0,0,RANGE_SPACE_ONLY,,,,,,,,,,,,,,,120004,61356,58648,465.362369176,229.421577394,1
BSFC2CC,M1,0,0,OK,40.5596635325,67.4291173858,70.3210814487,4989.63863567,16717.8232043,0.0216786252846,0.171590421586,-0.0257832856849,0.0735773352099,-0.366221281565,0.0,7.40419567843e-08,98719696205100.0,1,,,,,,
BSFC2CC,M2,0,0,OK,0.00974904507874,0.00890848101968,0.00900047111406,0.475261359006,1.54126516045,0.00524640896771,0.0182208814516,-0.0118050490594,0.0766609008024,-0.364714494929,0.0221694359641,7.34036701884e-08,5.24472879333,1,,,,,,
BSFC2CC,M3,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,40.5596635325,67.4291173858,70.3210814487,4989.63863567,16717.8232043,0.0216786252846,0.171590421586,-0.0257832856849,0.0735773352099,-0.366221281565,0.0,7.40419567843e-08,98719696205100.0,1,120004,61356,58648,465.362369176,229.421577394,1
BSFC2CC,M4,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,0.00974904507874,0.00890848101968,0.00900047111406,0.475261359006,1.54126516045,0.00524640896771,0.0182208814516,-0.0118050490594,0.0766609008024,-0.364714494929,0.0221694359641,7.34036701884e-08,5.24472879333,1,120004,61356,58648,465.362369176,229.421577394,1
BSF44AD,M0,0,0,RANGE_SPACE_ONLY,,,,,,,,,,,,,,,119992,117675,2317,52.2396893428,5.21945199699,1
BSF44AD,M1,0,0,OK,13.652293907,24.7080111969,26.4346599055,1575.0016561,5319.80440884,0.217903008821,0.0324221570078,0.18055923678,0.00563751549127,-0.178869574083,-0.351491332832,7.40457775355e-08,98515016156000.0,1,,,,,,
BSF44AD,M2,0,0,OK,0.00303043678104,0.00295168244307,0.00307811790797,0.150651426418,0.498154261695,0.0206492368602,0.00663484541487,0.148653965786,0.00775597445023,-0.183147392569,-0.347918994826,7.34086082549e-08,202770.803938,1,,,,,,
BSF44AD,M3,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,13.652293907,24.7080111969,26.4346599055,1575.0016561,5319.80440884,0.217903008821,0.0324221570078,0.18055923678,0.00563751549127,-0.178869574083,-0.351491332832,7.40457775355e-08,98515016156000.0,1,119992,117675,2317,52.2396893428,5.21945199699,1
BSF44AD,M4,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,0.00303043678104,0.00295168244307,0.00307811790797,0.150651426418,0.498154261695,0.0206492368602,0.00663484541487,0.148653965786,0.00775597445023,-0.183147392569,-0.347918994826,7.34086082549e-08,202770.803938,1,119992,117675,2317,52.2396893428,5.21945199699,1
BSF6C53,M0,0,0,RANGE_SPACE_ONLY,,,,,,,,,,,,,,,119990,119572,418,119.172799719,3.92329589668,1
BSF6C53,M1,0,0,OK,16.7804039774,30.1091220346,31.9759518766,1942.95571895,6587.63775666,0.0278458979763,0.176240692513,1.5580002007,-0.165644686825,-0.589275529815,0.00454104458838,7.40494055825e-08,96723714089700.0,1,,,,,,
BSF6C53,M2,0,0,OK,0.00344476019415,0.00298539962941,0.00317061436335,0.166597641805,0.547814889272,0.00523203007945,0.0115007975476,1.52137438673,-0.188167160829,-0.616655723893,-0.00311065656184,7.34136760631e-08,112057204.382,1,,,,,,
BSF6C53,M3,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,16.7804039774,30.1091220346,31.9759518766,1942.95571895,6587.63775666,0.0278458979763,0.176240692513,1.5580002007,-0.165644686825,-0.589275529815,0.00454104458838,7.40494055825e-08,96723714089700.0,1,119990,119572,418,119.172799719,3.92329589668,1
BSF6C53,M4,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,0.00344476019415,0.00298539962941,0.00317061436335,0.166597641805,0.547814889272,0.00523203007945,0.0115007975476,1.52137438673,-0.188167160829,-0.616655723893,-0.00311065656184,7.34136760631e-08,112057204.382,1,119990,119572,418,119.172799719,3.92329589668,1
BSF8BC4,M0,0,0,RANGE_SPACE_ONLY,,,,,,,,,,,,,,,119988,119336,652,50.5108229566,4.01017590936,1
BSF8BC4,M1,0,0,OK,25.0303450183,41.9145255383,43.8968220826,3080.61225818,10334.9716951,0.141299980779,0.037050971516,0.907194072164,-0.146027167322,-0.261668643349,-0.44168640866,7.40439466901e-08,99556181665200.0,1,,,,,,
BSF8BC4,M2,0,0,OK,0.00597452209066,0.00580703509574,0.0058928937658,0.305211809076,1.00526975672,0.00640575013676,0.00486661461104,0.926293890484,-0.145371864437,-0.260789389042,-0.424591970477,7.34061753191e-08,70740.8420728,1,,,,,,
BSF8BC4,M3,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,25.0303450183,41.9145255383,43.8968220826,3080.61225818,10334.9716951,0.141299980779,0.037050971516,0.907194072164,-0.146027167322,-0.261668643349,-0.44168640866,7.40439466901e-08,99556181665200.0,1,119988,119336,652,50.5108229566,4.01017590936,1
BSF8BC4,M4,0,0,SPATIAL_UPDATE_BLOCKED_GEOMETRY,0.00597452209066,0.00580703509574,0.0058928937658,0.305211809076,1.00526975672,0.00640575013676,0.00486661461104,0.926293890484,-0.145371864437,-0.260789389042,-0.424591970477,7.34061753191e-08,70740.8420728,1,119988,119336,652,50.5108229566,4.01017590936,1
BSF1120,M0,0,0,RANGE_SPACE_ONLY,,,,,,,,,,,,,,,119950,109561,10389,100.328119978,44.5421420537,1
