node,window_start_s,window_end_s,anchor_slot,before_median_mm,after_median_mm,platform_delta_mm,after_robust_sigma_mm,m1_relative_displacement_480_520_m,m2_relative_displacement_480_520_m,zupt_exited_during_move,post_move_static_reestablished,interpretation
BSFC2CC,492.0,498.0,0,4002.0,3654.0,-348.0,17.7912,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFC2CC,492.0,498.0,1,1874.0,996.0,-878.0,25.2042,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFC2CC,492.0,498.0,2,2535.0,2990.0,455.0,97.8516,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFC2CC,492.0,498.0,3,3798.0,4409.0,611.0,34.0998,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFC2CC,492.0,498.0,4,3413.0,3662.0,249.0,32.6172,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFC2CC,492.0,498.0,5,1529.0,1086.0,-443.0,28.9107,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFC2CC,492.0,498.0,6,2548.0,2969.0,421.0,114.1602,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFC2CC,492.0,498.0,7,3303.0,4000.0,697.0,63.7518,2924.19681623,0.703481219849,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,0,3951.5,3884.0,-67.5,542.6316,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,1,1428.0,1231.0,-197.0,31.1346,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,2,3252.5,3069.0,-183.5,100.8168,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,3,4213.0,4043.0,-170.0,32.6172,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,4,3401.0,3496.0,95.0,26.6868,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,5,1424.0,1281.0,-143.0,45.9606,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,6,2827.0,3086.0,259.0,157.1556,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
BSFAA61,494.0,500.0,7,3717.5,3781.0,63.5,53.3736,2347.82253825,0.304287422164,1,1,stable_new_range_platform; translation_vs_rotation_or_antenna_orientation_unresolved
