anchor,c_mm,e_i_mm,d_i_c_plus_e_i_mm,oracle_d_i_mm,phase1_item2_delta_i_mm
A,111.98479117186592,-12.350716004418773,99.63407516744715,148.21526428758088,145.6064541713352
B,111.98479117186592,1.7034670873895184,113.68825825925543,96.3449208622132,52.391936707055194
C,111.98479117186592,15.352958619571629,127.33774979143755,127.4154448056099,43.99269000098205
D,111.98479117186592,12.525953080012982,124.5107442518789,114.66452375873664,72.08018196359585
E,111.98479117186592,-2.35948622487604,109.62530494698989,48.94449784696004,26.440884793780526
F,111.98479117186592,-0.6229053219912155,111.36188584987471,50.015220756761835,25.727022031680924
G,111.98479117186592,-11.943100185972344,100.04169098589358,86.13006197923634,69.63413061812885
H,111.98479117186592,-2.3061725472986354,109.67861862456729,85.24679541836295,46.24683807383531
