anchor,oracle_d_i_mm,phase1_item2_delta_i_mm,difference_oracle_minus_phase1_delta_mm,oracle_d_i_dtu_one_way_equiv
A,148.21526428758088,145.6064541713352,2.608810116245678,31.602401767074813
B,96.3449208622132,52.391936707055194,43.952984155158006,20.542627049512408
C,127.4154448056099,43.99269000098205,83.42275480462784,27.16747224000211
D,114.66452375873664,72.08018196359585,42.58434179514079,24.448725748131476
E,48.94449784696004,26.440884793780526,22.503613053179514,10.435927046260135
F,50.015220756761835,25.727022031680924,24.28819872508091,10.664226174149643
G,86.13006197923634,69.63413061812885,16.495931361107495,18.364618758899006
H,85.24679541836295,46.24683807383531,38.99995734452764,18.176289001783143
