trial,c_init_mm,c_fit_mm,cost,cost_delta_vs_free,pair_rmse_mm,mean_e_mm,max_abs_e_mm,success,sim3_scale_autopos_to_vicon,rigid_anchor_median_mm,rigid_anchor_rmse_mm,rigid_anchor_p95_mm
0,-39.91767197614356,111.98513387588582,81.61917026713614,2.2824053758085938e-10,38.291028652993226,6.620907790910735e-07,15.352895276941728,True,1.0097825014421808,59.45223868866144,62.99214684953901,93.31723619825542
1,-24.238225347998586,111.98471481327644,81.61917026819108,1.2831833373638801e-09,38.29107210788709,1.1047364223415457e-07,15.353015504323265,True,1.0097822326921018,59.45222792606659,62.99174875825222,93.31625666932379
2,71.04533929972425,111.9849780945919,81.61917026546772,-1.4401848602574319e-09,38.291075312094776,1.1231836776204318e-06,15.352773435593088,True,1.0097823928213525,59.452136048632994,62.99189328309038,93.31679960802278
3,34.07930577830406,111.98500274852147,81.61917026557397,-1.3339302995518665e-09,38.29106376669525,-4.639225266167557e-07,15.35290557412488,True,1.0097824115581742,59.45212223445875,62.991933149447036,93.31685579835725
4,4.4025507427774215,111.98498563328269,81.61917026551122,-1.3966854339741985e-09,38.291077767193585,4.392080898973916e-07,15.35283290743892,True,1.009782397579872,59.45214130847926,62.9919161740368,93.31687087059437
