set,pose,decision,duration_s,samples,accel_norm_std_g,gyro_centered_rms_dps,gyro_axis_std_max_dps,gravity_direction_p95_deg,stable,sequence_gaps
CALIBRATION,1,FINAL_ACCEPTED_WINDOW,20.200154471000133,4040,0.0007313309216103602,0.07581807910362318,0.04901626303827871,0.08784398548908023,True,0
CALIBRATION,2,FINAL_ACCEPTED_WINDOW,20.20040506299847,4040,0.0010265662429174572,0.07072765341584472,0.051012099342755336,0.08461525965543144,True,0
CALIBRATION,3,FINAL_ACCEPTED_WINDOW,20.100578271001723,4030,0.0010981251844427258,0.06275268853581803,0.03567206170563071,0.08715904120401281,True,0
CALIBRATION,4,FINAL_ACCEPTED_WINDOW,20.202705101000902,4040,0.0012255966996521676,0.061411687620624586,0.03604911546052874,0.08721350710523211,True,0
CALIBRATION,5,FINAL_ACCEPTED_WINDOW,20.19713253199734,4040,0.0008130492937035507,0.059404399385816035,0.03593947806972774,0.08940540116857827,True,0
CALIBRATION,6,FINAL_ACCEPTED_WINDOW,20.09964177599977,4010,0.0008284432746093989,0.058652257208159406,0.03519013707479881,0.08780196069215151,True,0
CALIBRATION,7,FINAL_ACCEPTED_WINDOW,20.19891506500062,4030,0.0009217792799914296,0.0628630715385173,0.03575673644651483,0.08112654557123267,True,0
CALIBRATION,8,FINAL_ACCEPTED_WINDOW,20.100131896000676,4010,0.0008964608925729663,0.05665417246023098,0.03552187464647003,0.0766791385182352,True,0
CALIBRATION,9,FINAL_ACCEPTED_WINDOW,20.049998847000097,4010,0.0017933127115211545,0.05985168574902286,0.03544412980042258,0.08863444249479482,True,0
CALIBRATION,10,FINAL_ACCEPTED_WINDOW,20.002210958999058,4000,0.0015028972267570042,0.05514316100949906,0.03518545408022267,0.08210398198347835,True,0
CALIBRATION,11,FINAL_ACCEPTED_WINDOW,20.05009047400017,4010,0.000960966042753049,0.057054502546255145,0.03593988337074925,0.08319317753454897,True,0
CALIBRATION,12,FINAL_ACCEPTED_WINDOW,20.200721009998233,4040,0.0007484258790502904,0.05962905006455555,0.03538518667560064,0.07479726656382088,True,0
CALIBRATION,13,FINAL_ACCEPTED_WINDOW,20.249639427998773,4050,0.000915785306734214,0.061230758139625176,0.035279244746272746,0.08321245741378211,True,0
CALIBRATION,14,FINAL_ACCEPTED_WINDOW,20.149682395000127,4030,0.0008853858460790934,0.06089110686356146,0.035526507422397866,0.08127422530353352,True,0
CALIBRATION,15,FINAL_ACCEPTED_WINDOW,20.20012761199905,4040,0.0022147718782786633,0.062283876395252784,0.036279854612898614,0.10158956361222547,True,0
CALIBRATION,16,FINAL_ACCEPTED_WINDOW,20.2489698520003,4050,0.0007689810756845588,0.05809334783757068,0.036540098411257105,0.0879017826104344,True,0
CALIBRATION,17,FINAL_ACCEPTED_WINDOW,20.149872231999325,4030,0.0007771900274556134,0.062346278859295834,0.03544850791908092,0.08000444181910739,True,0
CALIBRATION,18,FINAL_ACCEPTED_WINDOW,20.1021058059996,4020,0.0007746954029718043,0.05755791549448248,0.03506809901247034,0.08370347818658007,True,0
HELDOUT,1,FINAL_ACCEPTED_WINDOW,20.20244558400009,4040,0.0010948089400782462,0.06122371139875093,0.03694062333274658,0.1381743938729524,True,0
HELDOUT,2,FINAL_ACCEPTED_WINDOW,20.04996056299933,4010,0.0006964703283851239,0.058668094188928155,0.03517275259771399,0.0793308054477365,True,0
HELDOUT,3,FINAL_ACCEPTED_WINDOW,20.20153565900182,4040,0.0010974398482247434,0.06037439409904433,0.03590980777832877,0.08492121349301414,True,0
HELDOUT,4,FINAL_ACCEPTED_WINDOW,20.2011876630022,4030,0.002540613431714022,0.05967201136517922,0.03583200702981111,0.08671428653178326,True,0
