omitted_pose,samples,raw_rmse_g,corrected_rmse_g,raw_median_abs_g,corrected_median_abs_g,corrected_max_abs_g,bias_delta_norm_g,matrix_delta_fro
1,4040,0.015197289293370348,0.0012309028926921679,0.015098317838794673,0.0010737580299648997,0.006998755389444611,0.00010986337829908198,0.00026649713176112554
2,4040,0.00890855987435229,0.0010455534004843888,0.008799405457287746,0.0006560537362564345,0.019642140119052187,3.877354336852633e-05,7.477544144047412e-05
3,4030,0.004539919059710628,0.0019236267088632384,0.0045590782847992894,0.0017357229677621433,0.013977007177945255,0.00030515490740448204,0.0006077175061885519
4,4040,0.002483350054753619,0.0016002440457634026,0.0021303849201095293,0.001001162201779593,0.009269099001779635,0.0001850993422835331,0.0003859049854281076
5,4040,0.0008274322343063063,0.001391127313984022,0.0006806782862205374,0.0012328596011654813,0.004168689139245618,0.00021719713089983042,0.0003733789665733703
6,4010,0.004974243543240551,0.0010948254331691518,0.005015432134922948,0.0008262514529560061,0.003998465262727513,0.00013755502515424968,0.00023711969583759573
7,4030,0.014109841193654334,0.0014826226793338525,0.014021267485400335,0.0013256846814384549,0.008185032879404641,0.0001903232226903549,0.00018915368249754316
8,4010,0.010899044687157989,0.0020083104927730963,0.010878283787206788,0.001779381065422636,0.008735963166745409,0.00026540719615249795,0.00024661958520716485
9,4010,0.009326069761478574,0.0022034594090769477,0.009087044945143896,0.0012255704162109637,0.025974489665003597,0.00021766923477915757,0.00022374386172408975
10,4000,0.011537277866465275,0.001806098332411511,0.011445940271125998,0.0010294420491833156,0.031754782889529154,0.00016593216663133615,0.00019972250718468818
11,4010,0.014990961177280392,0.00154415238797077,0.014912634223060106,0.0012674006874895394,0.013962457654178584,0.00019722523258785038,0.00011292208774734852
12,4040,0.01160924990057064,0.0007554697392413665,0.011551184014966243,0.000475846263519486,0.002825495487275509,1.951107870684243e-05,1.5183005331928728e-05
13,4050,0.0078917947395009,0.0025792163135650776,0.007842056834804656,0.0024117240763217307,0.012334037095521055,0.0003963359878191142,0.0002863396323123224
14,4030,0.004589351753736581,0.000917969010177802,0.004479606936971914,0.0005089830874641654,0.008457741031575483,4.109217169931244e-05,3.0021276910190876e-05
15,4040,0.0035343749821459386,0.0026308922874282836,0.0028132432864480528,0.0014831064172153852,0.03836837169896756,0.0002681650673824659,0.00019523862460556928
16,4050,0.005940902185645605,0.00250124441388662,0.005835872545737808,0.0024355955188393175,0.009818951417508881,0.0004253008427643606,0.0002775787253698253
17,4030,0.0047804245276308254,0.0030648157629511816,0.004743860903300923,0.0029903483359609018,0.006356920690866685,0.0004924749254896898,0.0005226462833096449
18,4020,0.001891988402661945,0.002000412653871463,0.0016823854022764984,0.001800520309248821,0.005013128236228459,0.000307779012765328,0.0003214007693131445
