accepted,reason,nearest_angle_deg,start,end,duration_s,samples,set,pose
True,STABLE_AND_DISTINCT,,"{'name': 'CALIBRATION_POSE_1_FIXED', 'wall': '2026-08-12T20:25:26.290+02:00', 'monotonic': 22803.278155765, 'raw_byte_offset': 2160147, 'decoded_record_index': 14018, 'consumed_record_index': 14018}","{'name': 'CALIBRATION_POSE_1_ACCEPT', 'wall': '2026-08-12T20:25:46.300+02:00', 'monotonic': 22823.28753838, 'raw_byte_offset': 2285593, 'decoded_record_index': 14833, 'consumed_record_index': 14833}",20.200154471000133,4040,CALIBRATION,1
True,STABLE_AND_DISTINCT,178.15460578227993,"{'name': 'CALIBRATION_POSE_2_FIXED', 'wall': '2026-08-12T20:27:23.845+02:00', 'monotonic': 22920.832464311, 'raw_byte_offset': 2898326, 'decoded_record_index': 18814, 'consumed_record_index': 18814}","{'name': 'CALIBRATION_POSE_2_ACCEPT', 'wall': '2026-08-12T20:27:43.855+02:00', 'monotonic': 22940.843351369, 'raw_byte_offset': 3023313, 'decoded_record_index': 19620, 'consumed_record_index': 19620}",20.20040506299847,4040,CALIBRATION,2
True,STABLE_AND_DISTINCT,90.15853351548051,"{'name': 'CALIBRATION_POSE_3_FIXED', 'wall': '2026-08-12T20:28:49.896+02:00', 'monotonic': 23006.8837104, 'raw_byte_offset': 3438757, 'decoded_record_index': 22316, 'consumed_record_index': 22316}","{'name': 'CALIBRATION_POSE_3_ACCEPT', 'wall': '2026-08-12T20:29:09.808+02:00', 'monotonic': 23026.796109089, 'raw_byte_offset': 3563639, 'decoded_record_index': 23128, 'consumed_record_index': 23127}",20.100578271001723,4030,CALIBRATION,3
True,STABLE_AND_DISTINCT,88.13772899343462,"{'name': 'CALIBRATION_POSE_4_FIXED', 'wall': '2026-08-12T20:30:20.051+02:00', 'monotonic': 23097.038959072, 'raw_byte_offset': 4005810, 'decoded_record_index': 25995, 'consumed_record_index': 25995}","{'name': 'CALIBRATION_POSE_4_ACCEPT', 'wall': '2026-08-12T20:30:40.065+02:00', 'monotonic': 23117.052687521, 'raw_byte_offset': 4131434, 'decoded_record_index': 26811, 'consumed_record_index': 26811}",20.202705101000902,4040,CALIBRATION,4
True,STABLE_AND_DISTINCT,89.18121983470256,"{'name': 'CALIBRATION_POSE_5_FIXED', 'wall': '2026-08-12T20:31:40.302+02:00', 'monotonic': 23177.289527895, 'raw_byte_offset': 4510339, 'decoded_record_index': 29268, 'consumed_record_index': 29268}","{'name': 'CALIBRATION_POSE_5_ACCEPT', 'wall': '2026-08-12T20:32:00.316+02:00', 'monotonic': 23197.304246293, 'raw_byte_offset': 4636499, 'decoded_record_index': 30087, 'consumed_record_index': 30087}",20.19713253199734,4040,CALIBRATION,5
True,STABLE_AND_DISTINCT,89.15672462204495,"{'name': 'CALIBRATION_POSE_6_FIXED', 'wall': '2026-08-12T20:33:02.553+02:00', 'monotonic': 23259.540686111, 'raw_byte_offset': 5009838, 'decoded_record_index': 32538, 'consumed_record_index': 32538}","{'name': 'CALIBRATION_POSE_6_ACCEPT', 'wall': '2026-08-12T20:33:22.420+02:00', 'monotonic': 23279.407644718, 'raw_byte_offset': 5134542, 'decoded_record_index': 33349, 'consumed_record_index': 33349}",20.09964177599977,4010,CALIBRATION,6
True,STABLE_AND_DISTINCT,41.43791635011547,"{'name': 'CALIBRATION_POSE_7_FIXED', 'wall': '2026-08-12T20:34:46.256+02:00', 'monotonic': 23363.243595214, 'raw_byte_offset': 5644436, 'decoded_record_index': 36687, 'consumed_record_index': 36687}","{'name': 'CALIBRATION_POSE_7_ACCEPT', 'wall': '2026-08-12T20:35:06.223+02:00', 'monotonic': 23383.211418395, 'raw_byte_offset': 5771023, 'decoded_record_index': 37507, 'consumed_record_index': 37507}",20.19891506500062,4030,CALIBRATION,7
True,STABLE_AND_DISTINCT,38.65978166844641,"{'name': 'CALIBRATION_POSE_8_FIXED', 'wall': '2026-08-12T20:36:59.261+02:00', 'monotonic': 23496.248445324, 'raw_byte_offset': 6480205, 'decoded_record_index': 42113, 'consumed_record_index': 42113}","{'name': 'CALIBRATION_POSE_8_ACCEPT', 'wall': '2026-08-12T20:37:19.179+02:00', 'monotonic': 23516.166669993, 'raw_byte_offset': 6604563, 'decoded_record_index': 42916, 'consumed_record_index': 42916}",20.100131896000676,4010,CALIBRATION,8
True,STABLE_AND_DISTINCT,37.53222173296947,"{'name': 'CALIBRATION_POSE_9_FIXED', 'wall': '2026-08-12T20:37:58.411+02:00', 'monotonic': 23555.399022707, 'raw_byte_offset': 6853072, 'decoded_record_index': 44531, 'consumed_record_index': 44531}","{'name': 'CALIBRATION_POSE_9_ACCEPT', 'wall': '2026-08-12T20:38:18.331+02:00', 'monotonic': 23575.318524933, 'raw_byte_offset': 6977213, 'decoded_record_index': 45332, 'consumed_record_index': 45331}",20.049998847000097,4010,CALIBRATION,9
True,STABLE_AND_DISTINCT,37.94181745317295,"{'name': 'CALIBRATION_POSE_10_FIXED', 'wall': '2026-08-12T20:38:55.112+02:00', 'monotonic': 23612.100161076, 'raw_byte_offset': 7209023, 'decoded_record_index': 46837, 'consumed_record_index': 46837}","{'name': 'CALIBRATION_POSE_10_ACCEPT', 'wall': '2026-08-12T20:39:15.031+02:00', 'monotonic': 23632.01871024, 'raw_byte_offset': 7334113, 'decoded_record_index': 47650, 'consumed_record_index': 47650}",20.002210958999058,4000,CALIBRATION,10
True,STABLE_AND_DISTINCT,28.653310490412096,"{'name': 'CALIBRATION_POSE_11_FIXED', 'wall': '2026-08-12T20:40:51.465+02:00', 'monotonic': 23728.453200416, 'raw_byte_offset': 7939878, 'decoded_record_index': 51580, 'consumed_record_index': 51580}","{'name': 'CALIBRATION_POSE_11_ACCEPT', 'wall': '2026-08-12T20:41:11.387+02:00', 'monotonic': 23748.37474664, 'raw_byte_offset': 8064760, 'decoded_record_index': 52392, 'consumed_record_index': 52391}",20.05009047400017,4010,CALIBRATION,11
