capture,tag,sweep,x,y,z,n_anchor
ID28,BS2DCE,5,2720.6076863777485,1554.1470807746687,1028.361526596649,8
ID28,BS2DCE,6,2878.33689507852,1323.1934084437617,1493.9958274704318,8
ID28,BS2DCE,7,2918.296958313635,1217.1838236925364,1495.9320255114988,8
ID28,BS2DCE,8,2967.602489667799,1049.7537206778236,1631.0792202799619,8
ID28,BS2DCE,9,2662.9918479410067,1506.2996102490758,848.1311619863783,8
ID28,BS2DCE,10,2506.6236787700664,1384.0341736045737,1053.1917202283335,8
ID28,BS2DCE,11,2310.182142214304,1614.4518722444107,1224.5514552145435,8
ID28,BS2DCE,12,2451.8101177772555,1246.0980263684482,1184.5856038997288,8
ID28,BS2DCE,13,2357.5372460532017,1369.6714250522095,1157.0816433792531,8
ID28,BS2DCE,14,2348.0973921946843,1289.723813143265,1004.1258314794575,8
ID28,BS2DCE,15,2325.1981435789976,1253.8412965270409,1003.5800453720702,8
ID28,BS2DCE,16,2301.215098622683,1234.0026962610543,1046.4230984981548,8
ID28,BS2DCE,17,2255.5799139735022,1106.9617290429758,1067.2513474790176,8
ID28,BS2DCE,18,2224.0484074298706,1195.681303653236,1016.4676671856337,8
ID28,BS2DCE,19,2269.203769731947,1102.50468862051,843.7481970133625,8
ID28,BS2DCE,20,2245.3189292136663,1177.9960375940084,769.029306316643,8
ID28,BS2DCE,21,2180.813959128726,1095.47464479113,870.5794082668343,8
ID28,BS2DCE,22,2108.575221551603,1157.5750432829004,890.9612277146924,8
ID28,BS2DCE,23,2047.2519934352706,1228.623720509654,868.2516727765327,8
ID28,BS2DCE,24,1982.520255977806,1197.3672152902318,886.620437853987,8
ID28,BS2DCE,25,1949.962895971071,1188.7922481279136,849.832463021228,8
ID28,BS2DCE,26,1922.3513283765524,1241.0682835719404,804.3690639404015,8
ID28,BS2DCE,27,1939.3085900911865,1117.7810958737311,792.0057137118023,7
ID28,BS2DCE,28,1745.37228476854,1454.8493318869987,893.6878252984283,8
ID28,BS2DCE,29,1737.6059080010823,1431.0822075717906,1094.123711722373,8
ID28,BS2DCE,30,1821.6068489393738,1436.0877645082962,1295.2985985613036,7
ID28,BS2DCE,31,1815.5051377764,1447.9423794875972,1100.289026158195,8
ID28,BS2DCE,32,1814.458041089207,1436.8205018004298,1082.7199199243698,8
ID28,BS2DCE,33,1765.8523541459497,1418.2211649482995,1014.9729172827296,8
ID28,BS2DCE,34,1757.0215197004627,1497.5302135278307,944.6299538748303,8
ID28,BS2DCE,35,1748.6905832912896,1521.997901456874,916.3205669877646,8
ID28,BS2DCE,36,1719.4136775468396,1647.4651630750006,853.1307680511711,8
ID28,BS2DCE,37,1726.0005466884768,1582.0779393170399,1023.57629198505,8
ID28,BS2DCE,38,1729.1335950914563,1630.6753768324415,961.5400576229886,8
ID28,BS2DCE,39,1758.989045238493,1709.5157339048358,879.5404854563961,8
ID28,BS2DCE,40,1700.905776554983,1746.2802538514904,920.5718705822267,8
ID28,BS2DCE,41,1699.345115905626,1811.2295754234815,993.5099337795896,8
ID28,BS2DCE,42,1712.0804675703466,1985.5364849483349,754.0282020635296,8
ID28,BS2DCE,43,1843.6132811705832,1911.3740932688988,820.8570489079357,8
ID28,BS2DCE,44,1856.1663059669604,1996.3148357103137,1178.6342124624225,8
ID28,BS2DCE,45,1920.6856596738762,1978.4971629620682,1156.339549554092,8
ID28,BS2DCE,46,1985.122864864609,2016.1004205893994,976.2576852807239,8
ID28,BS2DCE,47,2015.5945865043063,2024.6628352606933,987.10593600531,7
ID28,BS2DCE,48,2069.5289420945446,2046.7798451798064,984.3251602219253,8
ID28,BS2DCE,49,1952.4861454433826,2096.6790363974374,1520.1237259516593,8
ID28,BS2DCE,50,2026.3933015040739,2195.097016880018,1321.1289039387689,8
ID28,BS2DCE,51,2210.976919550185,2033.0330338842323,1276.5336518088702,8
ID28,BS2DCE,52,2363.252646454033,1932.4473701317115,1210.6539255953662,8
ID28,BS2DCE,53,2321.275670458085,1975.6338252056191,1058.0657486045625,7
ID28,BS2DCE,54,2340.132037513301,1966.5836362195755,995.2761250385622,8
ID28,BS2DCE,55,2330.9425115194094,2020.4552320306898,810.5155838065095,8
ID28,BS2DCE,56,2424.0337039198635,1876.2495095549282,1013.3818725150571,7
ID28,BS2DCE,57,2473.5975510889857,1860.1361615865503,1029.1732105116214,8
ID28,BS2DCE,58,2567.26982752327,1885.785804592834,1149.170219690179,8
ID28,BS2DCE,59,2577.6267733442533,1878.2728688881148,1041.5027026157197,7
ID28,BS2DCE,60,2694.74327405937,1844.506945277504,1116.6978083272384,8
ID28,BS2DCE,61,2707.271249907797,1780.433010192743,1127.472696952727,8
ID28,BS2DCE,62,2731.246187317401,1665.6320343957482,1126.07288918719,7
ID28,BS2DCE,63,2701.874962787194,1609.9611412991158,1062.17262677364,8
ID28,BS2DCE,64,2724.741574474144,1568.4674553456164,1056.3812333023254,8
ID28,BS2DCE,65,2693.2974193102095,1578.3947416088142,867.2748384342442,7
ID28,BS2DCE,66,2830.58888055681,1330.799111274468,1401.6953061911895,8
ID28,BS2DCE,67,2897.773424256547,1169.040139670182,1582.6884089517498,8
ID28,BS2DCE,68,2931.4900040354405,1113.0798128293454,1556.881644760133,7
ID28,BS2DCE,69,2686.3997337772703,1084.2591150356766,1446.2430212141992,8
ID28,BS2DCE,70,2612.489745510294,1411.430038606731,940.272484332775,8
ID28,BS2DCE,71,2486.8857488456647,1415.2758358178103,1068.6837359418985,7
ID28,BS2DCE,72,2373.1106579632487,1422.8374431256418,1198.8952363842343,8
ID28,BS2DCE,73,2359.740835669917,1507.8102898463746,1091.8381102111946,8
ID28,BS2DCE,74,2356.3450152496603,1407.9008779782375,1005.1332402032435,7
ID28,BS2DCE,75,2402.7263754607848,1257.4416423065836,1133.9216966071563,8
ID28,BS2DCE,76,2304.8073920271677,1214.0465577803814,1013.5401242744899,8
ID28,BS2DCE,77,2242.3515064616026,1121.743788623961,1086.9568948135457,7
ID28,BS2DCE,78,2197.0597196984268,1185.5627878556936,1048.9793270427492,8
ID28,BS2DCE,79,2263.6944647539312,1155.9093808670539,882.1012739914795,8
ID28,BS2DCE,80,2217.076224279485,1150.9964324487714,691.7055495376528,8
ID28,BS2DCE,81,2119.523548921629,1217.8266525880595,655.9287714995132,6
ID28,BS2DCE,82,2125.3143685786963,1124.5350387048754,864.7668958882138,8
ID28,BS2DCE,83,2052.7482213423646,1202.6148368162585,774.6330717884218,8
ID28,BS2DCE,84,2037.7693967634596,1178.472501741006,848.07953899159,8
ID28,BS2DCE,85,1935.7055161877088,1183.1265193039592,831.5538358995415,8
ID28,BS2DCE,86,1954.811921043248,1182.1509674750284,814.3599684534704,7
ID28,BS2DCE,87,1938.2228267558708,1207.715796475128,839.203174173908,8
ID28,BS2DCE,88,1784.5338994973831,1374.3535879426045,898.1078390276001,8
ID28,BS2DCE,89,1675.3849103399443,1530.3716553756065,1044.1733607076872,7
ID28,BS2DCE,90,1842.7657140168726,1388.0842178771873,1334.2074589512215,8
ID28,BS2DCE,91,1787.7687591738702,1392.5139770651158,1252.9569562578783,8
ID28,BS2DCE,92,1754.4968726506897,1378.3642232165764,977.4407289044905,7
ID28,BS2DCE,93,1752.8972876272007,1424.822765665727,960.8875515086232,8
ID28,BS2DCE,94,1753.3146462129546,1462.2667441957965,1072.8702048243647,8
ID28,BS2DCE,95,1759.649612957054,1478.8043499481792,915.9562816762766,7
ID28,BS2DCE,96,1660.3506014015968,1295.404714592928,1293.3804987508054,8
ID28,BS2DCE,97,1703.6407746505406,1473.1194821940946,1196.0216475379257,8
ID28,BS2DCE,98,1758.1199831594624,1629.8212518599178,1042.9377511227385,8
ID28,BS2DCE,99,1754.8964545954723,1683.8611344550554,1043.2426497712215,8
ID28,BS2DCE,100,1750.462467763661,1721.308523809585,958.6473278225263,8
ID28,BS2DCE,101,1621.1834146732058,1906.063699342367,835.6765342917115,7
