tilt,peer,n,rms_median,rms_p75,rms_p95,rms_max
high,BS2DCE,36,99.45861042964961,124.52911503091399,146.94807433943447,147.65225686393177
high,BSDC91,36,86.90710245015903,109.15336238054424,119.33493053223526,125.21317339423399
high-extra,BS2DCE,9,104.03450516994776,104.1363315934456,107.51692269749967,109.30926392083505
high-extra,BSDC91,9,105.9445589641142,108.14587605195676,113.5411447637366,117.13799057158982
mid,BS2DCE,36,102.53426441861944,122.87293000249069,181.85327813247633,182.79417375552788
mid,BSDC91,36,104.13994995067142,112.75766095917021,137.15733403079648,138.6100089299576
planar,BS2DCE,9,156.25020603839505,156.60612081843777,158.3486076160286,158.3486076160286
planar,BSDC91,9,144.3004132228468,145.04666753704728,146.4015360388697,146.5056671922604
small,BS2DCE,27,142.7167819200097,158.2790323944624,163.63827313036225,163.94728689694324
small,BSDC91,27,144.62519967081772,152.5043384580543,161.93324017904374,162.31215749644232
vertical,BS2DCE,36,86.35782406628958,93.03350212460732,99.7668345755313,107.23759807400538
vertical,BSDC91,36,89.30766372045377,93.22677517403999,98.67660166462618,107.84881410384725
