version,eval_set,rms,p50_abs,p75_abs,p95_abs,max_abs
v1-old,all1000,62.54138687380042,26.438099586053795,53.14907913130298,143.8865126295292,172.03324755412518
v1-old,holdout_last500,61.98401470358091,25.365349586053526,54.20407913130293,144.0287876295291,168.97774755412524
v1-old,solve,63.27256626474512,29.436157527152773,52.094079131302806,143.74423762952904,175.08874755412535
v2,all1000,40.505745462932325,29.756345745120598,44.31428178766828,79.81776769576074,89.21234620014366
v2,holdout_last500,40.56562981140106,33.5215194649395,44.68238859510234,78.6548188692994,90.4600911088537
v2,solve,40.563665443063236,27.119004263221996,44.04960435124963,80.45472766006027,88.99617975989531
v3-full,all1000,61.87940564108332,5.591003130874469,18.85694341939768,178.3313425889769,194.4024073630262
v3-full,holdout_last500,62.165316286564774,6.385241031660598,19.519882267174353,178.48340307370415,196.6413017361756
v3-full,solve,61.84475727081699,7.22077830056719,13.112715743304307,178.31452735546685,192.16454497941777
v3-lite,all1000,40.9224055758632,29.38685984042013,44.89439554112255,79.49210074608975,91.25931967923862
v3-lite,holdout_last500,41.196143484803024,34.039021912681164,46.12589995239318,79.64275442234582,92.46775131976665
v3-lite,solve,41.02863088309075,27.15412360908772,44.63697931764159,81.78643758810509,90.12849543838547
v4-io,all1000,44.61293956940725,15.739822078097177,25.739890721503798,89.28537483531882,166.88852749453963
v4-io,holdout_last500,44.920825976541025,15.302947001058556,25.254456202945903,90.10723609624993,168.09695913506766
v4-io,solve,44.69119926176642,15.295003006425532,26.45536642528259,89.16659043550465,165.73287982380498
v4-io-roto,all1000,57.64257593352415,23.39359466483006,59.934957258836675,133.4290768319488,143.41472850601895
v4-io-roto,holdout_last500,58.50576626531795,24.014397161861552,61.66068395536831,133.55229769604125,146.447809618694
v4-io-roto,solve,56.88911954020855,22.66079868352449,58.246576445571236,131.80143813238485,140.8096967857573
v4-io-td,all1000,44.61293956940725,15.739822078097177,25.739890721503798,89.28537483531882,166.88852749453963
v4-io-td,holdout_last500,44.920825976541025,15.302947001058556,25.254456202945903,90.10723609624993,168.09695913506766
v4-io-td,solve,44.69119926176642,15.295003006425532,26.45536642528259,89.16659043550465,165.73287982380498
v4-io-wand,all1000,44.38130059352342,17.30450164474837,29.086577336400296,84.9527817247467,164.1740524124789
v4-io-wand,holdout_last500,44.789511109357214,20.886833176487016,28.15776953974523,83.43560587687789,165.38248405300692
v4-io-wand,solve,44.34804859543872,16.251141352546938,29.563901962883847,87.3762883844513,163.01840474174423
v5,all1000,44.61293956940725,15.739822078097177,25.739890721503798,89.28537483531882,166.88852749453963
v5,holdout_last500,44.920825976541025,15.302947001058556,25.254456202945903,90.10723609624993,168.09695913506766
v5,solve,44.69119926176642,15.295003006425532,26.45536642528259,89.16659043550465,165.73287982380498
