version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v1-old,ID25,461.48242204048086,593.0465564716206,131.5641344311398,11.564134431139792
v1-old,ID26,471.8954680634138,588.5519396820317,116.65647161861796,-3.3435283813820433
v1-old,ID27,460.0779308328192,569.2635832312303,109.1856523984111,-10.814347601588906
v1-old,ID28,467.21043959743577,592.2293656289454,125.01892603150964,5.018926031509636
v1-old,ID29,461.11818376232054,582.8327581358043,121.71457437348374,1.7145743734837424
v1-old,ID30,496.8098620395009,572.3813014223687,75.57143938286777,-44.428560617132234
v1-old,ID31,426.1501991755646,549.6084690429917,123.45826986742713,3.458269867427134
v1-old,ID32,500.9032429638222,566.9138347989492,66.010591835127,-53.989408164873
v1-old,ID33,457.9854729933113,553.4208591459418,95.43538615263049,-24.564613847369515
v1-old,ID34,484.5650914811239,543.9586664609135,59.393574979789605,-60.606425020210395
v1-old,ID35,459.7517760407365,545.3358999224986,85.58412388176208,-34.41587611823792
v1-old,ID36,470.6412204140418,538.6127385949641,67.97151818092226,-52.02848181907774
v1-old,ID37,456.3034212838669,540.419000880476,84.11557959660911,-35.88442040339089
v1-old,ID38,449.7902194233105,525.6774996457816,75.88728022247113,-44.112719777528866
v1-old,ID39,445.6733376838293,547.6502848942771,101.9769472104478,-18.023052789552196
v1-old,ID40,453.29710143293204,531.2356725589008,77.93857112596874,-42.061428874031265
v1-old,ID41,428.14160152961887,526.9483782039869,98.806776674368,-21.193223325632005
v2,ID25,464.3821518909857,593.3154786831001,128.93332679211437,8.933326792114372
v2,ID26,460.81705054607824,585.9077107480128,125.09066020193461,5.090660201934611
v2,ID27,465.6426912511919,569.1728049612509,103.53011371005903,-16.469886289940973
v2,ID28,473.82885041427005,594.3161412228355,120.48729080856549,0.4872908085654899
v2,ID29,456.7236930180699,577.3905961326967,120.66690311462679,0.6669031146267912
v2,ID30,489.3116530145769,560.7956378776208,71.48398486304393,-48.51601513695607
v2,ID31,431.837144735805,547.3504322928902,115.51328755708522,-4.486712442914779
