alpha,d_tag_min_median_mm,min_median_3d_mm
0.0,50.0,57.95050891604628
0.05,50.0,57.231998698839604
0.1,50.0,56.92675452440449
0.15,52.0,56.365467753849146
0.2,54.0,56.59977077294376
0.25,56.0,57.07949760209178
0.3,60.0,57.229680401668105
0.35,62.0,57.40208880242392
0.4,64.0,57.6728882930657
0.45,68.0,57.803842283703055
0.5,68.0,57.90597873728433
0.55,70.0,58.145073778162505
0.6,72.0,58.90567243307595
0.65,66.0,59.158328147230336
0.7,66.0,59.257004547071915
0.75,68.0,59.186526697701765
0.8,70.0,59.15089776485353
0.85,62.0,58.65585039853147
0.9,64.0,58.582513808883526
0.95,74.0,57.84739895681354
1.0,76.0,56.61920830126448
