config,design,n_cal,n_eval,d_tag_mm,eval_median_3d_mm,eval_rmse_3d_mm,eval_p95_3d_mm,notes
V4_CV4,center_only,12,12,32.11004976580654,72.71780341884738,94.25089676663805,161.4200447963353,
V4_CV4,edge_only,12,12,38.71544586622904,59.96893180878584,64.2045463139634,96.77806139909454,
V4_CV4,low_only,8,16,28.613879221600996,62.724401410621724,65.80346927400913,100.11002287251468,
V4_CV4,mid_only,8,16,33.08137482630481,66.1282689816919,88.89980871602573,144.4029340161941,
V4_CV4,high_only,8,16,40.383823450703034,58.9771961016462,80.66467062113051,135.41069375767967,
V4_CV4,stratified_LMH,9,15,39.04749366274133,58.87993294942979,57.40641023586717,85.41987133463007,
V4_CV4,one_per_facing,4,20,42.787968772861795,57.75811283960485,61.99429335761747,91.88238181795994,
V5_CV5,center_only,12,12,45.31337640122739,84.70451063314579,102.88727223005617,162.69831414079647,
V5_CV5,edge_only,12,12,52.233897739845574,65.67633798627647,62.858825460563565,88.24057536446175,
V5_CV5,low_only,8,16,46.415723263206274,67.23751285617448,71.95903386065307,108.97069385135036,
V5_CV5,mid_only,8,16,53.860134217841704,70.45822710845361,87.41020833740066,150.41665011408296,
V5_CV5,high_only,8,16,51.03527382442376,66.15953092981519,84.63693698374708,154.65313860835025,
V5_CV5,stratified_LMH,9,15,52.967174600123855,40.808385722024326,57.52200049170557,87.70631483064483,
V5_CV5,one_per_facing,4,20,60.81942366281634,61.62167320241193,63.33917240622218,103.73940124301652,
Vicon_Ccm,center_only,12,12,46.932788733385415,82.7195993347625,100.36452514057719,171.38694279392138,
Vicon_Ccm,edge_only,12,12,54.66878136330523,58.6880745058499,61.90587969114711,92.46776616796407,
Vicon_Ccm,low_only,8,16,43.109094886434626,62.69728432751235,68.69443625776397,106.11413597260427,
Vicon_Ccm,mid_only,8,16,49.74539408298298,68.62927558229234,91.00871143889684,166.4548103323115,
Vicon_Ccm,high_only,8,16,57.207246209841344,58.625487594183184,83.07927282402937,160.05672125723387,
Vicon_Ccm,stratified_LMH,9,15,58.58817586584526,55.67492477406204,55.124792768607946,86.60941607592517,
Vicon_Ccm,one_per_facing,4,20,62.63242366355564,56.80300069669681,60.348461080445105,89.98110799785307,
V4_CV4,all_24_LOO,23,1,49.621,57.92095709409735,74.37189349158585,110.58455035871611,reference from transfer matrix
V5_CV5,all_24_LOO,23,1,49.621,67.84873089032392,82.79872650778267,153.63462763650298,reference from transfer matrix
Vicon_Ccm,all_24_LOO,23,1,49.621,63.39153174722954,82.00394066723503,159.81769435321524,reference from transfer matrix
