config,weighting,n_anchors_effective,median_3d_mm,p95_3d_mm,rmse_3d_mm,fail_rate
V4_CV4,uniform,8,57.920957094097346,110.58455035871611,74.37189349158585,0.0
V4_CV4,inverse_rms,8,50.94753622586487,178.28788862099955,82.8663621742392,0.0
V4_CV4,remove_gt100,4,71.15316349970058,426.4039914170733,205.50637177634934,0.0
V4_CV4,remove_gt120,7,74.69489971703753,178.41840385705353,115.62078264182334,0.0
V4_CV4,remove_gt140,8,57.920957094097346,110.58455035871611,74.37189349158585,0.0
V5_CV5,uniform,8,67.84873089032392,153.63462763650298,82.79872650778267,0.0
V5_CV5,inverse_rms,8,60.436202036641276,129.99852907382527,79.75380667441405,0.0
V5_CV5,remove_gt100,2,nan,nan,nan,1.0
V5_CV5,remove_gt120,6,76.35605446217569,340.54989409901646,174.76514289685224,0.0
V5_CV5,remove_gt140,8,67.84873089032392,153.63462763650298,82.79872650778267,0.0
Vicon_Ccm,uniform,8,63.39153174722954,159.81769435321524,82.00394066723503,0.0
Vicon_Ccm,inverse_rms,8,55.31355510617114,160.08016786115274,85.58047754275509,0.0
Vicon_Ccm,remove_gt100,1,nan,nan,nan,1.0
Vicon_Ccm,remove_gt120,6,75.40485464643726,299.93596584408294,169.76489560983813,0.0
Vicon_Ccm,remove_gt140,8,63.39153174722954,159.81769435321524,82.00394066723503,0.0
