model,c_lower_mm,c_upper_mm,c_diff_mm,median_3d_mm,rmse_3d_mm,notes
single_c,111.985,111.985,0.0,67.84873089032392,82.79872650778267,existing V5 C_V5 transfer-matrix row
dual_c_existing_tail,116.29270686750476,107.67687510183137,-8.615831765673391,67.84873089032392,82.79872650778267,"same per-anchor delays as V5, reparameterized by layer means"
dual_layer_common_only,116.29270686750476,107.67687510183137,-8.615831765673391,72.30335541177092,82.07085941086865,"diagnostic: layer common modes only, V5 e_i removed"
