tag,capture_id,d_tag_optimal_mm,radius_with_optimal_dtag_mm,radius_with_static_dtag_mm,radius_delta_opt_minus_static_mm,reference_delta_radius_mm,notes
BS2DCE,R01,78.67999474867398,451.89112439398946,461.0733351835013,-9.182210789511828,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R01,48.61567821128735,594.086756740268,593.8245464660802,0.2622102741878507,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R02,81.77689424771043,445.2061895797037,459.139132533609,-13.932942953905297,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R02,58.59266802733011,571.7576192148163,574.5091664281932,-2.7515472133769663,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R03,75.36263092272773,469.54318886204584,490.9408919480194,-21.397703085973546,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R03,53.27886477843267,579.5568503302449,581.719011870036,-2.1621615397911,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R04,70.78877953672102,467.59445503065774,482.2353897021155,-14.640934671457785,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R04,48.32327239530118,585.7507356775707,585.0835067424931,0.66722893507756,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R05,80.82836601865111,475.3877856371102,489.2156240351893,-13.827838398079109,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R05,55.319655985111034,599.5202939944967,601.1623017436665,-1.6420077491698066,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R06,72.87706280011562,462.6554429767109,482.8640115841221,-20.208568607411223,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R06,54.67275533385034,576.5274459055947,579.476979441504,-2.949533535909268,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R07,73.0389874455092,456.62557570712625,479.9049533152229,-23.279377608096638,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R07,51.78156271218918,574.6273983779777,576.2245075511516,-1.5971091731739762,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R08,64.54773162540633,466.2427764355096,479.8191881371269,-13.576411701617303,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R08,38.14029516513428,584.1170317952229,576.0286141335756,8.088417661647327,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R09,79.31739572614904,471.7836528381023,496.9898771575307,-25.20622431942843,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R09,54.28823555558588,594.3996282700598,597.526134022212,-3.126505752152184,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R10,72.58630108263563,461.57444282198225,479.7337713436584,-18.159328521676173,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R10,42.72794823468498,576.3344066591116,571.9457872523672,4.388619406744397,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R11,74.64586456160626,435.12391213586375,457.96143992697387,-22.83752779111012,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R11,43.1236048468194,562.7858418779088,557.6417184580812,5.144123419827565,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R12,63.953202252038544,466.07776413942105,472.58854254753766,-6.510778408116607,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R12,34.300472670408816,594.5846393204552,585.431633692114,9.153005628341134,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R13,73.56737452415862,445.7635212150051,468.79079787453054,-23.027276659525455,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R13,47.64769625267129,573.243673046314,571.6721835172272,1.5714895290868753,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BS2DCE,R14,64.46535181954064,458.4748033365944,466.9861780531036,-8.51137471650918,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
BSDC91,R14,36.918721785671686,582.6437185263163,574.8002791798608,7.843439346455511,120.0,best-fit-aligned/shape-only; d_tag optimum estimated by dynamic median rho zeroing
