anchor_label,differential_rms_mm,absolute_rho_rms_mm,ratio
A,173.07198725878365,121.59440253394548,1.423354888482364
B,155.28096920591224,107.52513401220128,1.4441364861567336
C,175.56724869647513,124.71470339230959,1.4077510022551305
D,149.47067726478753,117.76488578395345,1.2692295863047005
E,139.15864821609046,105.2844958987913,1.321739226921521
F,122.82137558632945,114.8451490770309,1.0694520105846927
G,138.4656459793015,96.43271813204976,1.4358782855181385
H,79.74731183807164,55.20790091741151,1.4444909245394055
