config,facing,height_tier,n_positions,d_tag_range_residual_mm,d_tag_facing_global_range_residual_mm,d_tag_position_optimal_mm,position_optimal_median_3d_mm
V4_CV4,ABEF,LOW,2,-6.764257611477785,26.537435831166395,46.0,62.1294280469761
V4_CV4,ABEF,MID,2,27.008608209636524,26.537435831166395,46.0,62.1294280469761
V4_CV4,ABEF,HIGH,2,29.843225698149396,26.537435831166395,46.0,62.1294280469761
V4_CV4,ADHE,LOW,2,36.65785520809839,45.43725430120247,58.0,40.6996107351743
V4_CV4,ADHE,MID,2,52.75541553472947,45.43725430120247,58.0,40.6996107351743
V4_CV4,ADHE,HIGH,2,50.12365850167198,45.43725430120247,58.0,40.6996107351743
V4_CV4,BCGF,LOW,2,38.87397266201604,40.38242844112139,2.0,58.66926914967266
V4_CV4,BCGF,MID,2,28.73079314376045,40.38242844112139,2.0,58.66926914967266
V4_CV4,BCGF,HIGH,2,41.84549300023316,40.38242844112139,2.0,58.66926914967266
V4_CV4,CDHG,LOW,2,28.42605026887233,28.42605026887233,28.0,68.85835954492579
V4_CV4,CDHG,MID,2,22.356756737976216,28.42605026887233,28.0,68.85835954492579
V4_CV4,CDHG,HIGH,2,49.84457135402276,28.42605026887233,28.0,68.85835954492579
V5_CV5,ABEF,LOW,2,13.763683715160845,38.53923732058237,78.0,59.67320062580062
V5_CV5,ABEF,MID,2,43.40525806946502,38.53923732058237,78.0,59.67320062580062
V5_CV5,ABEF,HIGH,2,43.37579272230786,38.53923732058237,78.0,59.67320062580062
V5_CV5,ADHE,LOW,2,36.38095492471864,61.638526823690675,80.0,25.403378827340674
V5_CV5,ADHE,MID,2,79.55585213751995,61.638526823690675,80.0,25.403378827340674
V5_CV5,ADHE,HIGH,2,58.28168708249858,61.638526823690675,80.0,25.403378827340674
V5_CV5,BCGF,LOW,2,50.64843257163577,51.954544685917334,24.0,53.17619599508927
V5_CV5,BCGF,MID,2,55.95078262409188,51.954544685917334,24.0,53.17619599508927
V5_CV5,BCGF,HIGH,2,56.26302957059638,51.954544685917334,24.0,53.17619599508927
V5_CV5,CDHG,LOW,2,50.37703728252997,45.40013085721646,62.0,73.65087185407441
V5_CV5,CDHG,MID,2,40.102758306970784,45.40013085721646,62.0,73.65087185407441
V5_CV5,CDHG,HIGH,2,52.24027289139944,45.40013085721646,62.0,73.65087185407441
Vicon_Ccm,ABEF,LOW,2,19.42596594086159,41.39835295032354,62.0,60.56060556729719
Vicon_Ccm,ABEF,MID,2,39.24913725229232,41.39835295032354,62.0,60.56060556729719
Vicon_Ccm,ABEF,HIGH,2,47.33941597941313,41.39835295032354,62.0,60.56060556729719
Vicon_Ccm,ADHE,LOW,2,48.258843195285884,60.122573827870156,80.0,31.43175166073243
Vicon_Ccm,ADHE,MID,2,69.74049494677094,60.122573827870156,80.0,31.43175166073243
Vicon_Ccm,ADHE,HIGH,2,73.03167911990691,60.122573827870156,80.0,31.43175166073243
Vicon_Ccm,BCGF,LOW,2,52.98045438401416,49.69805089456939,34.0,54.32039524190227
Vicon_Ccm,BCGF,MID,2,45.3529391935666,49.69805089456939,34.0,54.32039524190227
Vicon_Ccm,BCGF,HIGH,2,62.009756134754596,49.69805089456939,34.0,54.32039524190227
Vicon_Ccm,CDHG,LOW,2,44.873109228960416,54.6596143606906,66.0,70.73847873265072
Vicon_Ccm,CDHG,MID,2,54.83693914306259,54.6596143606906,66.0,70.73847873265072
Vicon_Ccm,CDHG,HIGH,2,63.74644347943357,54.6596143606906,66.0,70.73847873265072
