config,criterion,mean_dtag,std_dtag,min_dtag,max_dtag,spread
V4_CV4,d_min_median,52.916666666666664,5.098338509314143,46.0,58.0,12.0
V4_CV4,d_min_rmse,55.833333333333336,2.229848026709942,48.0,60.0,12.0
V4_CV4,d_min_p95,54.0,1.0,50.0,56.0,6.0
V4_CV4,d_zero_slope,69.74347395766883,3.0585222259821236,62.649594884037874,77.18866158013871,14.53906669610084
V5_CV5,d_min_median,78.75,6.077622890571609,66.0,84.0,18.0
V5_CV5,d_min_rmse,74.25,2.025874296857203,70.0,78.0,8.0
V5_CV5,d_min_p95,71.0,3.3166247903554,70.0,82.0,12.0
V5_CV5,d_zero_slope,88.57976532584507,2.429247153247266,84.31217805313817,93.95373547314409,9.641557420005924
Vicon_Ccm,d_min_median,69.16666666666667,1.404358295529393,68.0,74.0,6.0
Vicon_Ccm,d_min_rmse,75.58333333333333,1.8238390523532741,70.0,78.0,8.0
Vicon_Ccm,d_min_p95,84.16666666666667,2.3746344747958346,76.0,90.0,14.0
Vicon_Ccm,d_zero_slope,87.33944328632997,2.50432711069666,82.80253341206412,93.09464279788797,10.29210938582385
