k,sampling,d_tag_mean_mm,d_tag_std_mm,median_3d_mean_mm,median_3d_p5_mm,median_3d_p95_mm
1,random,49.408143678372554,23.94881485483256,70.70184371335992,56.403518586294126,87.75201470154836
1,stratified,41.07076010120545,29.327516731489897,76.12259706473027,56.403518586294126,115.03608678230458
2,random,48.43798403199869,17.228441884359093,70.03060474996104,56.84967003153521,86.40350232749779
2,stratified,50.199746172425975,17.38560399555692,68.89460842678731,58.86883537337188,82.74443422837187
3,random,49.31774759384674,14.948307595565865,68.78953981907623,57.21789203503143,82.05902168634377
3,stratified,50.04356952295698,14.36864656067246,69.10252174915391,57.58270759334821,80.02198059627379
4,random,50.713307488650024,12.218320314523389,67.63752393659578,56.413749916605084,77.18328012141794
4,stratified,48.04114223218755,12.51882270016179,68.97293708735937,56.43493625889231,81.85660942460741
6,random,49.681952882768776,9.022579153796103,68.04404525543406,56.43726756354589,77.96702181519944
6,stratified,49.51777944539165,9.099100134144768,68.26055652241698,56.294320766985805,78.04052791005779
8,random,49.551790097561025,7.017917176462376,68.09472202759865,54.00036605956532,78.87281268503199
8,stratified,49.482050171484865,7.424930503270479,67.94465555420457,53.9834484001658,79.02853392440724
12,random,49.252848805139735,4.8578015153626115,68.30993503506522,49.485241690610856,84.43409832980214
12,stratified,49.57509038167725,4.718193033043044,66.95142786790896,47.56667344492148,81.03007834307132
16,random,49.4801520966637,2.86321519981329,66.23547320192391,39.770370305615856,87.36879150665911
16,stratified,48.945710598234555,2.990404340279055,65.8588964994444,40.294109695849336,86.18815431222065
20,random,49.56833608183961,1.6939642406605622,67.83809131361338,35.38575028129921,108.16075550992268
20,stratified,49.319244359969105,1.7116330775844681,68.1342282300192,35.38404633211428,102.15883264175929
