variant,e_reg,median_3d_mm,p95_3d_mm,rmse_3d_mm,c_mm,e_i_spread_mm
C_Vicon_indep,,63.40304172189079,159.84223732246042,82.00966113658198,94.73287777503413,99.19240476229413
C_Vicon_cm_e10,10.0,63.357100056703004,159.74418957518373,81.9868525753933,94.73287777503415,99.02735916368877
C_Vicon_cm_e20,20.0,63.39153174722954,159.81769435321524,82.00394066723503,94.73287777503414,99.15109180737471
C_Vicon_cm_e50,50.0,63.40119932625021,159.8383086490166,82.0087448118121,94.73287777503414,99.18579237613599
C_Vicon_cm_e100,100.0,63.40258110858018,159.84125510487485,82.00943202383301,94.73287777503413,99.19075158310265
C_Vicon_cm_noreg,,63.40304172189053,159.84223732246036,82.00966113658194,94.73287777503418,99.19240476229496
