config,position_id,anchor_id,anchor_label,theta_deg,rho_mm,layer
V4_CV4,ID01,0,A,-0.01538442453022788,-58.195800772701794,lower
V4_CV4,ID01,1,B,0.8095745484234405,15.374421490511288,lower
V4_CV4,ID01,2,C,-0.05280475776897609,-87.03028437088972,lower
V4_CV4,ID01,3,D,0.1517271900701417,-7.307137044466238,lower
V4_CV4,ID01,4,E,47.00785720128059,202.89895096021013,upper
V4_CV4,ID01,5,F,43.07056670492754,53.57944255503916,upper
V4_CV4,ID01,6,G,33.21621399477493,-18.447270634320446,upper
V4_CV4,ID01,7,H,37.771466117640486,-113.00241628441341,upper
V4_CV4,ID02,0,A,-29.446445779497047,-54.051771092292846,lower
V4_CV4,ID02,1,B,-30.003570091918085,-55.57109403283458,lower
V4_CV4,ID02,2,C,-24.17031302151159,-123.82453491066792,lower
V4_CV4,ID02,3,D,-23.83048729442661,68.95813445624219,lower
V4_CV4,ID02,4,E,20.627821000308117,22.878967277298848,upper
V4_CV4,ID02,5,F,22.152160301735993,-16.99276437483578,upper
V4_CV4,ID02,6,G,14.437258009099548,-60.863310205109954,upper
V4_CV4,ID02,7,H,16.523145321579207,-28.06916873531423,upper
V4_CV4,ID03,0,A,-41.43717320421184,-21.689262980727015,lower
V4_CV4,ID03,1,B,-42.49818816545057,247.08171541332936,lower
V4_CV4,ID03,2,C,-34.97493446748256,-86.4841506726408,lower
V4_CV4,ID03,3,D,-34.5408009664944,332.72252820214965,lower
V4_CV4,ID03,4,E,1.615505630622949,-17.8662856229742,upper
V4_CV4,ID03,5,F,4.152051623265565,-31.164386579589028,upper
V4_CV4,ID03,6,G,1.0914948533960482,-24.4778653569402,upper
V4_CV4,ID03,7,H,2.4953204850737336,-11.035777459570049,upper
V4_CV4,ID04,0,A,-0.0007100240448193202,8.502767185257746,lower
V4_CV4,ID04,1,B,1.1622204192305845,70.11514391966341,lower
V4_CV4,ID04,2,C,-0.06582549983892119,-57.975101487927866,lower
V4_CV4,ID04,3,D,0.1341708904837323,25.00503065110899,lower
V4_CV4,ID04,4,E,33.34276886025707,26.65679986549089,upper
V4_CV4,ID04,5,F,53.921644197319225,274.7005385394796,upper
V4_CV4,ID04,6,G,43.592304983209765,-25.936906289675406,upper
V4_CV4,ID04,7,H,31.86793928802761,106.44466033321163,upper
V4_CV4,ID05,0,A,-20.604274019886734,405.9572937198283,lower
V4_CV4,ID05,1,B,-34.60478604791114,-50.10806240148155,lower
V4_CV4,ID05,2,C,-35.51990134679295,42.64909234110895,lower
V4_CV4,ID05,3,D,-21.306674656603242,-41.7804395127904,lower
V4_CV4,ID05,4,E,13.724704461496506,19.89670791076282,upper
V4_CV4,ID05,5,F,26.8702227171654,1.389007044117342,upper
V4_CV4,ID05,6,G,21.298784797482103,-42.91953921807324,upper
V4_CV4,ID05,7,H,14.367610820096788,16.414257702622713,upper
V4_CV4,ID06,0,A,-31.522130423143384,94.47482600561816,lower
V4_CV4,ID06,1,B,-48.854606730874615,-54.611257728825294,lower
V4_CV4,ID06,2,C,-49.2169532424798,142.561237759876,lower
V4_CV4,ID06,3,D,-32.44504796663245,-31.14675933610841,lower
V4_CV4,ID06,4,E,-0.4300364109464907,103.85264598016505,upper
V4_CV4,ID06,5,F,2.429020443947498,52.26485215835468,upper
V4_CV4,ID06,6,G,-0.6997501537102195,24.438883098394776,upper
V4_CV4,ID06,7,H,0.7338047913792123,-9.268811528645578,upper
V4_CV4,ID07,0,A,-0.7106516466594731,-57.565692002312424,lower
V4_CV4,ID07,1,B,-0.15907607313873381,-69.30068947982328,lower
V4_CV4,ID07,2,C,-1.3495320681378034,-142.22343512022246,lower
V4_CV4,ID07,3,D,-0.7951281092636012,-11.699873052594633,lower
V4_CV4,ID07,4,E,32.636470379764376,174.36003587217596,upper
V4_CV4,ID07,5,F,38.334998062129884,-10.111235214947293,upper
V4_CV4,ID07,6,G,46.70486147613709,154.82013378742923,upper
V4_CV4,ID07,7,H,40.3224828146041,-15.412148053044852,upper
V4_CV4,ID08,0,A,-22.40961540242793,-31.96831861690216,lower
V4_CV4,ID08,1,B,-24.038767881880467,296.55772185100403,lower
V4_CV4,ID08,2,C,-33.805674493735765,-136.19059316583946,lower
V4_CV4,ID08,3,D,-30.886441141199846,50.62040942555415,lower
V4_CV4,ID08,4,E,13.597961525602198,-36.79303650552771,upper
V4_CV4,ID08,5,F,16.575457536262732,19.7017431363768,upper
V4_CV4,ID08,6,G,20.083144326721182,4.949585881512505,upper
V4_CV4,ID08,7,H,19.567883882008196,-77.81280295572498,upper
V4_CV4,ID09,0,A,-30.831090734143697,-82.56456489622033,lower
V4_CV4,ID09,1,B,-33.14891291943561,12.281202052275276,lower
V4_CV4,ID09,2,C,-44.59039532206342,-102.20434771357748,lower
V4_CV4,ID09,3,D,-41.16422435527298,207.3228814724167,lower
V4_CV4,ID09,4,E,2.551284527259574,-51.725778575207244,upper
V4_CV4,ID09,5,F,4.74393225949496,184.9095265340409,upper
V4_CV4,ID09,6,G,3.9141742426424107,-54.08727766144632,upper
V4_CV4,ID09,7,H,5.128143384675955,24.264568908412862,upper
V4_CV4,ID10,0,A,-2.1816060950994864,-21.259665310475974,lower
V4_CV4,ID10,1,B,-0.7591884079378637,29.182588359073755,lower
V4_CV4,ID10,2,C,-1.418058975452242,4.949737953937877,lower
V4_CV4,ID10,3,D,-2.40769565458183,-19.56736417399305,lower
V4_CV4,ID10,4,E,44.8105426429184,-6.358925409810176,upper
V4_CV4,ID10,5,F,31.506565881144798,162.9105410696241,upper
V4_CV4,ID10,6,G,30.9059144175901,-38.51669805045783,upper
V4_CV4,ID10,7,H,51.82922808529682,28.24796063135927,upper
V4_CV4,ID11,0,A,-34.82968766467391,8.644514278876024,lower
V4_CV4,ID11,1,B,-21.108348000626233,-51.96362922563445,lower
V4_CV4,ID11,2,C,-21.581504282537885,66.62479308492846,lower
V4_CV4,ID11,3,D,-35.63827255868571,3.4289519131601693,lower
V4_CV4,ID11,4,E,22.100431241180445,30.557866086381814,upper
V4_CV4,ID11,5,F,14.162229046504175,25.957701511239783,upper
V4_CV4,ID11,6,G,12.246315814593421,26.60069338505938,upper
V4_CV4,ID11,7,H,24.776003259636035,2.839879156298771,upper
V4_CV4,ID12,0,A,-45.49348060749636,93.10258808325952,lower
V4_CV4,ID12,1,B,-29.841388427092987,-48.19451921832511,lower
V4_CV4,ID12,2,C,-30.414526983815428,116.0510681342738,lower
V4_CV4,ID12,3,D,-47.15609700516906,-56.12879205387515,lower
V4_CV4,ID12,4,E,3.32627720696713,57.58499539414715,upper
V4_CV4,ID12,5,F,3.512304110370252,52.89001454023518,upper
V4_CV4,ID12,6,G,1.8028643425812751,-31.768414772182567,upper
V4_CV4,ID12,7,H,5.760945391826755,-62.421034525859845,upper
V4_CV4,ID13,0,A,-27.332329737684866,-52.82390360221725,lower
V4_CV4,ID13,1,B,-28.515162496278517,-17.155614845412728,lower
V4_CV4,ID13,2,C,-28.11275388308913,-125.83916725208167,lower
V4_CV4,ID13,3,D,-27.322838550331998,14.987279237593718,lower
V4_CV4,ID13,4,E,16.973274386146123,23.742221512491774,upper
V4_CV4,ID13,5,F,19.448223564207833,2.5529005929311452,upper
V4_CV4,ID13,6,G,15.592262890842047,10.97696789796025,upper
V4_CV4,ID13,7,H,17.342569506803006,-42.2030925335253,upper
V4_CV4,ID14,0,A,-27.19844747858808,0.8597436599071457,lower
V4_CV4,ID14,1,B,-28.466944928947463,-90.61489850532858,lower
V4_CV4,ID14,2,C,-27.919517119138728,-88.95685820409915,lower
V4_CV4,ID14,3,D,-27.05194421769091,-57.95098610692629,lower
V4_CV4,ID14,4,E,17.19418301945852,-32.572082123367466,upper
V4_CV4,ID14,5,F,19.731060894542548,46.15459971954741,upper
V4_CV4,ID14,6,G,15.746699769936818,-67.07314750045846,upper
V4_CV4,ID14,7,H,17.45027154872604,-9.208331589111644,upper
V4_CV4,ID15,0,A,-27.08747462514492,-105.19291993149082,lower
V4_CV4,ID15,1,B,-28.580241100542143,-3.7762406249620284,lower
V4_CV4,ID15,2,C,-28.011914985537558,-106.99674693162035,lower
V4_CV4,ID15,3,D,-26.941044757124867,3.964139046666439,lower
V4_CV4,ID15,4,E,17.135072664322774,-32.39210617836926,upper
V4_CV4,ID15,5,F,19.83985010266669,47.49093151042624,upper
V4_CV4,ID15,6,G,15.811601978344546,-22.560167907145413,upper
V4_CV4,ID15,7,H,17.383684589189567,-54.671545102449095,upper
V4_CV4,ID16,0,A,-26.754596581612784,7.449864882790372,lower
V4_CV4,ID16,1,B,-28.155732857559002,-55.912620464857454,lower
V4_CV4,ID16,2,C,-27.856203545414505,-30.584315888550343,lower
V4_CV4,ID16,3,D,-26.84203696638355,-15.56520698883913,lower
V4_CV4,ID16,4,E,17.368459993873515,-31.374178221202836,upper
V4_CV4,ID16,5,F,20.028534538487122,75.83972134181957,upper
V4_CV4,ID16,6,G,16.169864977896435,-45.80114365621996,upper
V4_CV4,ID16,7,H,17.768823062417745,-16.086485972554605,upper
V4_CV4,ID17,0,A,-0.8960511271145579,-74.90145066179721,lower
V4_CV4,ID17,1,B,-0.1062175090433678,-57.026164401545756,lower
V4_CV4,ID17,2,C,-0.872291672737427,-74.059247918815,lower
V4_CV4,ID17,3,D,-0.7078466556016071,-78.77419167280038,lower
V4_CV4,ID17,4,E,41.739468125832026,100.95356843470148,upper
V4_CV4,ID17,5,F,40.27319923024672,-55.74435082140982,upper
V4_CV4,ID17,6,G,36.25776765641217,19.95397902188453,upper
V4_CV4,ID17,7,H,40.81160555827882,-113.57250143080324,upper
V4_CV4,ID18,0,A,-0.7993079087050549,-130.36957908566606,lower
V4_CV4,ID18,1,B,-0.02833706821403544,-27.684889304609314,lower
V4_CV4,ID18,2,C,-0.8042969543451395,7.320376320984117,lower
V4_CV4,ID18,3,D,-0.5733164611508914,-21.838930926372207,lower
V4_CV4,ID18,4,E,41.52704406690127,-67.05169197565743,upper
V4_CV4,ID18,5,F,42.82346107436769,0.34487625040427616,upper
V4_CV4,ID18,6,G,36.38065174090391,-56.16871384317399,upper
V4_CV4,ID18,7,H,38.46528526874019,-33.50186963003221,upper
V4_CV4,ID19,0,A,-0.7095132053733393,-20.75457624632204,lower
V4_CV4,ID19,1,B,0.004145812370037,-117.30658472081666,lower
V4_CV4,ID19,2,C,-0.8436819331502587,-107.86239742652594,lower
V4_CV4,ID19,3,D,-0.5461936226754338,-25.184199982374942,lower
V4_CV4,ID19,4,E,39.07024862386219,319.1343241479703,upper
V4_CV4,ID19,5,F,43.190192974165456,-21.635323215933305,upper
