config,anchor_removed,anchor_label,d_tag_without_mm,d_tag_all8_mm,delta_mm
V4_CV4,0,A,36.06498944718026,33.08137482630481,2.98361462087545
V4_CV4,1,B,34.13232247905801,33.08137482630481,1.0509476527532016
V4_CV4,2,C,38.6153993721593,33.08137482630481,5.534024545854493
V4_CV4,3,D,32.546810389875745,33.08137482630481,-0.5345644364290649
V4_CV4,4,E,31.16658580608767,33.08137482630481,-1.914789020217139
V4_CV4,5,F,28.146535854398508,33.08137482630481,-4.934838971906302
V4_CV4,6,G,34.13232247905801,33.08137482630481,1.0509476527532016
V4_CV4,7,H,33.34201431816255,33.08137482630481,0.26063949185773794
V5_CV5,0,A,50.77618461959965,49.621032516254864,1.1551521033447827
V5_CV5,1,B,51.43861554930129,49.621032516254864,1.817583033046425
V5_CV5,2,C,52.967174600123855,49.621032516254864,3.3461420838689904
V5_CV5,3,D,45.49226268034043,49.621032516254864,-4.128769835914433
V5_CV5,4,E,48.10606494503249,49.621032516254864,-1.5149675712223711
V5_CV5,5,F,42.54081112361684,49.621032516254864,-7.080221392638023
V5_CV5,6,G,51.03527382442376,49.621032516254864,1.4142413081688971
V5_CV5,7,H,50.37703728252997,49.621032516254864,0.7560047662751046
Vicon_Ccm,0,A,52.74282553962339,50.501645998006325,2.241179541617065
Vicon_Ccm,1,B,53.2673810725412,50.501645998006325,2.7657350745348737
Vicon_Ccm,2,C,57.33786914173531,50.501645998006325,6.836223143728986
Vicon_Ccm,3,D,49.74539408298298,50.501645998006325,-0.7562519150233413
Vicon_Ccm,4,E,46.40128265993934,50.501645998006325,-4.100363338066984
Vicon_Ccm,5,F,42.37852348164669,50.501645998006325,-8.123122516359636
Vicon_Ccm,6,G,46.932788733385415,50.501645998006325,-3.5688572646209096
Vicon_Ccm,7,H,58.46531701733371,50.501645998006325,7.963671019327386
