config,d_tag_mm,position_id,err_3d_mm,err_vertical_y_mm,signed_vertical_y_mm,truth_y_mm
V4_CV4,0.0,ID01,140.8834148776975,124.44853059982715,-124.44853059982715,182.54280058407934
V4_CV4,0.0,ID02,61.00169067703074,52.3076456925196,-52.3076456925196,1105.589
V4_CV4,0.0,ID03,172.88522569824056,171.8068602127869,171.8068602127869,1625.5614500000001
V4_CV4,0.0,ID04,278.8515744119,268.85805413370576,-268.85805413370576,182.16379
V4_CV4,0.0,ID05,51.00632198541735,22.468521952186393,-22.468521952186393,1103.5866165595767
V4_CV4,0.0,ID06,136.5135057109724,135.2845719367267,135.2845719367267,1684.95255
V4_CV4,0.0,ID07,163.63909752600966,159.60611291602768,-159.60611291602768,211.565355
V4_CV4,0.0,ID08,68.53963739763758,6.084268128970507,-6.084268128970507,1132.2804
V4_CV4,0.0,ID09,34.139215124500076,7.110930085824521,-7.110930085824521,1568.1853500000002
V4_CV4,0.0,ID10,121.7985405463811,106.79087272542094,-106.79087272542094,238.64973
V4_CV4,0.0,ID11,64.2831238859443,15.912506246188059,15.912506246188059,1133.4998500000002
V4_CV4,0.0,ID12,135.08327164549047,100.79478912084915,100.79478912084915,1590.1300500000002
V4_CV4,0.0,ID13,76.83591888493861,70.06438142690513,-70.06438142690513,1139.0976
V4_CV4,0.0,ID14,60.540316904617455,53.67586256375421,-53.67586256375421,1132.6278
V4_CV4,0.0,ID15,85.45342390274512,71.09717585543717,-71.09717585543717,1132.2551
V4_CV4,0.0,ID16,6.281907651162591,0.7327636897707634,-0.7327636897707634,1122.0572
V4_CV4,0.0,ID17,46.42847822863437,43.84820052838319,-43.84820052838319,209.45865500000002
V4_CV4,0.0,ID18,56.8933528562716,23.23370920117597,-23.23370920117597,206.90585
V4_CV4,0.0,ID19,135.05881381259346,124.25037622605858,-124.25037622605858,205.96057000000002
V4_CV4,0.0,ID20,92.91381984872388,84.45430859027528,-84.45430859027528,202.56013000000002
V4_CV4,0.0,ID21,56.8074495650282,43.95649960476044,43.95649960476044,1598.6443
V4_CV4,0.0,ID22,23.484499650131045,4.6126237116025095,-4.6126237116025095,1599.3211999999999
V4_CV4,0.0,ID23,110.05878319159858,83.96302196990223,83.96302196990223,1599.6642499999998
V4_CV4,0.0,ID24,46.84969709697911,36.31138860975648,36.31138860975648,1599.5815
V4_CV4,2.0,ID01,138.4273761139842,121.83629149906287,-121.83629149906287,182.54280058407934
V4_CV4,2.0,ID02,61.060184025763135,52.034215479089426,-52.034215479089426,1105.589
V4_CV4,2.0,ID03,168.1539202939545,167.17040408336425,167.17040408336425,1625.5614500000001
V4_CV4,2.0,ID04,274.3467259702323,264.33003148610834,-264.33003148610834,182.16379
V4_CV4,2.0,ID05,50.04704959344615,22.289945920268792,-22.289945920268792,1103.5866165595767
V4_CV4,2.0,ID06,132.80068679335346,131.72729717661446,131.72729717661446,1684.95255
V4_CV4,2.0,ID07,160.91986682607703,157.01069767542393,-157.01069767542393,211.565355
V4_CV4,2.0,ID08,66.82030385391391,3.4050205271128107,-3.4050205271128107,1132.2804
V4_CV4,2.0,ID09,33.92836901567268,9.394513248127168,-9.394513248127168,1568.1853500000002
V4_CV4,2.0,ID10,118.26433635212874,103.63833980502355,-103.63833980502355,238.64973
V4_CV4,2.0,ID11,61.245969937397405,13.697787305120528,13.697787305120528,1133.4998500000002
V4_CV4,2.0,ID12,131.80024186900565,97.34857339577457,97.34857339577457,1590.1300500000002
V4_CV4,2.0,ID13,76.23866870383183,69.80744305006874,-69.80744305006874,1139.0976
V4_CV4,2.0,ID14,62.055919011446434,55.02115901093248,-55.02115901093248,1132.6278
V4_CV4,2.0,ID15,84.19217628626107,70.09671726248848,-70.09671726248848,1132.2551
V4_CV4,2.0,ID16,6.784111260033782,2.1481022965979264,-2.1481022965979264,1122.0572
V4_CV4,2.0,ID17,43.98382238230817,41.122814302531594,-41.122814302531594,209.45865500000002
V4_CV4,2.0,ID18,55.28196064952578,20.115203829420267,-20.115203829420267,206.90585
V4_CV4,2.0,ID19,131.9468029349628,121.00119992021862,-121.00119992021862,205.96057000000002
V4_CV4,2.0,ID20,89.80692384045992,81.14212609543777,-81.14212609543777,202.56013000000002
V4_CV4,2.0,ID21,54.57147912682198,40.84603731803213,40.84603731803213,1598.6443
V4_CV4,2.0,ID22,24.677761944558764,7.995573383613646,-7.995573383613646,1599.3211999999999
V4_CV4,2.0,ID23,106.55322141133388,80.31772619083927,80.31772619083927,1599.6642499999998
V4_CV4,2.0,ID24,43.89508694840352,33.2935465618134,33.2935465618134,1599.5815
V4_CV4,4.0,ID01,136.0393911407528,119.27473156910636,-119.27473156910636,182.54280058407934
V4_CV4,4.0,ID02,61.08967895938618,51.72779121261715,-51.72779121261715,1105.589
V4_CV4,4.0,ID03,163.5222610723291,162.6284426573825,162.6284426573825,1625.5614500000001
V4_CV4,4.0,ID04,269.797973500338,259.74533750568867,-259.74533750568867,182.16379
V4_CV4,4.0,ID05,49.067525457894845,21.984013919927747,-21.984013919927747,1103.5866165595767
V4_CV4,4.0,ID06,129.05872418384683,128.13017882405984,128.13017882405984,1684.95255
V4_CV4,4.0,ID07,158.24595376710522,154.45160345249212,-154.45160345249212,211.565355
V4_CV4,4.0,ID08,65.2471921898139,0.5703373428425493,-0.5703373428425493,1132.2804
V4_CV4,4.0,ID09,34.02381739482662,11.689395030921787,-11.689395030921787,1568.1853500000002
V4_CV4,4.0,ID10,114.75280783102734,100.48865974861215,-100.48865974861215,238.64973
V4_CV4,4.0,ID11,58.24629526756926,11.578108659908821,11.578108659908821,1133.4998500000002
V4_CV4,4.0,ID12,128.55287380254907,93.91172805879023,93.91172805879023,1590.1300500000002
V4_CV4,4.0,ID13,75.63336351659646,69.5353090149199,-69.5353090149199,1139.0976
V4_CV4,4.0,ID14,63.601990310122616,56.382114460129515,-56.382114460129515,1132.6278
V4_CV4,4.0,ID15,82.91168332929824,69.07310900439666,-69.07310900439666,1132.2551
V4_CV4,4.0,ID16,7.590693005762584,3.5801958158026537,-3.5801958158026537,1122.0572
V4_CV4,4.0,ID17,41.60940198459752,38.419869220099145,-38.419869220099145,209.45865500000002
V4_CV4,4.0,ID18,53.77233027390033,17.005789385116685,-17.005789385116685,206.90585
V4_CV4,4.0,ID19,128.84960138362334,117.77023175207204,-117.77023175207204,205.96057000000002
V4_CV4,4.0,ID20,86.82001674675558,77.9340382760732,-77.9340382760732,202.56013000000002
V4_CV4,4.0,ID21,52.44916168643507,37.7903116082889,37.7903116082889,1598.6443
V4_CV4,4.0,ID22,26.256083147564627,11.342310489158535,-11.342310489158535,1599.3211999999999
V4_CV4,4.0,ID23,103.13581787420985,76.7341890137136,76.7341890137136,1599.6642499999998
V4_CV4,4.0,ID24,41.052329532084336,30.310433572272586,30.310433572272586,1599.5815
V4_CV4,6.0,ID01,133.73414614773975,116.77490188750616,-116.77490188750616,182.54280058407934
V4_CV4,6.0,ID02,61.0772726112522,51.37404839848955,-51.37404839848955,1105.589
V4_CV4,6.0,ID03,159.01337377486124,158.20427512678998,158.20427512678998,1625.5614500000001
V4_CV4,6.0,ID04,265.2206839879633,255.12302829536446,-255.12302829536446,182.16379
V4_CV4,6.0,ID05,48.072344602216816,21.571674221277817,-21.571674221277817,1103.5866165595767
V4_CV4,6.0,ID06,125.29306134987924,124.49787845250398,124.49787845250398,1684.95255
V4_CV4,6.0,ID07,155.62508225541328,151.9332428864094,-151.9332428864094,211.565355
V4_CV4,6.0,ID08,63.85244570140265,2.426704992854866,2.426704992854866,1132.2804
V4_CV4,6.0,ID09,34.42709101667325,14.015722481185321,-14.015722481185321,1568.1853500000002
V4_CV4,6.0,ID10,111.26023893842695,97.33964787648196,-97.33964787648196,238.64973
V4_CV4,6.0,ID11,55.31437016558499,9.548061643702795,9.548061643702795,1133.4998500000002
V4_CV4,6.0,ID12,125.34893173219238,90.49092093666832,90.49092093666832,1590.1300500000002
V4_CV4,6.0,ID13,75.01501705912968,69.24484118866121,-69.24484118866121,1139.0976
V4_CV4,6.0,ID14,65.15964940197021,57.74303426330903,-57.74303426330903,1132.6278
V4_CV4,6.0,ID15,81.60569508818072,68.01964830131874,-68.01964830131874,1132.2551
V4_CV4,6.0,ID16,8.63080985993747,5.030645857601257,-5.030645857601257,1122.0572
V4_CV4,6.0,ID17,39.31612356657761,35.740620006454094,-35.740620006454094,209.45865500000002
V4_CV4,6.0,ID18,52.37436200070863,13.905634759966432,-13.905634759966432,206.90585
V4_CV4,6.0,ID19,125.75687182346489,114.55101382152401,-114.55101382152401,205.96057000000002
V4_CV4,6.0,ID20,83.94619485346321,74.8223065011562,-74.8223065011562,202.56013000000002
V4_CV4,6.0,ID21,50.44540134858257,34.78082163507588,34.78082163507588,1598.6443
V4_CV4,6.0,ID22,28.14016746624646,14.638586241748953,-14.638586241748953,1599.3211999999999
V4_CV4,6.0,ID23,99.81775262527509,73.218179906459,73.218179906459,1599.6642499999998
V4_CV4,6.0,ID24,38.34314471435854,27.373873821892857,27.373873821892857,1599.5815
V4_CV4,8.0,ID01,131.5125194972516,114.33767742046757,-114.33767742046757,182.54280058407934
V4_CV4,8.0,ID02,61.03436626586915,50.980950826291064,-50.980950826291064,1105.589
V4_CV4,8.0,ID03,154.61605529668722,153.8868000025211,153.8868000025211,1625.5614500000001
V4_CV4,8.0,ID04,260.6171748023335,250.4646781073149,-250.4646781073149,182.16379
V4_CV4,8.0,ID05,47.05729102193927,21.082424035560052,-21.082424035560052,1103.5866165595767
V4_CV4,8.0,ID06,121.51306864127294,120.83934382875441,120.83934382875441,1684.95255
V4_CV4,8.0,ID07,153.05814936048367,149.45523169394028,-149.45523169394028,211.565355
V4_CV4,8.0,ID08,62.67247661823142,5.562952337326124,5.562952337326124,1132.2804
V4_CV4,8.0,ID09,35.14232363259984,16.39513462301261,-16.39513462301261,1568.1853500000002
V4_CV4,8.0,ID10,107.78641954028487,94.18843381311308,-94.18843381311308,238.64973
V4_CV4,8.0,ID11,52.45064586931573,7.623445115647655,7.623445115647655,1133.4998500000002
V4_CV4,8.0,ID12,122.19675382222698,87.09114957218662,87.09114957218662,1590.1300500000002
V4_CV4,8.0,ID13,74.39038468265248,68.94297582811873,-68.94297582811873,1139.0976
V4_CV4,8.0,ID14,66.72736063722512,59.10582460941123,-59.10582460941123,1132.6278
V4_CV4,8.0,ID15,80.27438402509341,66.94045401362564,-66.94045401362564,1132.2551
V4_CV4,8.0,ID16,9.832563068423244,6.4767705789390675,-6.4767705789390675,1122.0572
V4_CV4,8.0,ID17,37.11345734038351,33.08439861220987,-33.08439861220987,209.45865500000002
V4_CV4,8.0,ID18,51.095694344951035,10.808624719262014,-10.808624719262014,206.90585
V4_CV4,8.0,ID19,122.67482727622338,111.34700229386604,-111.34700229386604,205.96057000000002
V4_CV4,8.0,ID20,81.18582809669407,71.81104605272344,-71.81104605272344,202.56013000000002
V4_CV4,8.0,ID21,48.565944980600136,31.818710554906374,31.818710554906374,1598.6443
V4_CV4,8.0,ID22,30.255927060733885,17.88470593018269,-17.88470593018269,1599.3211999999999
V4_CV4,8.0,ID23,96.5821158553753,69.75140210089171,69.75140210089171,1599.6642499999998
V4_CV4,8.0,ID24,35.78017162730648,24.487301887379317,24.487301887379317,1599.5815
V4_CV4,10.0,ID01,129.37411662730108,111.96105053838988,-111.96105053838988,182.54280058407934
V4_CV4,10.0,ID02,60.97895897800686,50.570760309958814,-50.570760309958814,1105.589
V4_CV4,10.0,ID03,150.34897752745962,149.695039753248,149.695039753248,1625.5614500000001
V4_CV4,10.0,ID04,255.98723367465067,245.77168552474575,-245.77168552474575,182.16379
V4_CV4,10.0,ID05,46.0382549510043,20.51366691529597,-20.51366691529597,1103.5866165595767
V4_CV4,10.0,ID06,117.73077294196872,117.16561369114697,117.16561369114697,1684.95255
V4_CV4,10.0,ID07,150.53492508617472,147.00256515000592,-147.00256515000592,211.565355
V4_CV4,10.0,ID08,61.73818964334501,8.830832085897327,8.830832085897327,1132.2804
V4_CV4,10.0,ID09,36.13250882571197,18.81217470349111,-18.81217470349111,1568.1853500000002
V4_CV4,10.0,ID10,104.33523250289694,91.03741657505131,-91.03741657505131,238.64973
V4_CV4,10.0,ID11,49.66590660529094,5.812903032473969,5.812903032473969,1133.4998500000002
V4_CV4,10.0,ID12,119.09595454532263,83.71006372259467,83.71006372259467,1590.1300500000002
V4_CV4,10.0,ID13,73.7611184992135,68.62584669167882,-68.62584669167882,1139.0976
V4_CV4,10.0,ID14,68.28311936947517,60.4423929798495,-60.4423929798495,1132.6278
V4_CV4,10.0,ID15,78.91906513958958,65.83313683879078,-65.83313683879078,1132.2551
V4_CV4,10.0,ID16,11.15112723810306,7.92179722222636,-7.92179722222636,1122.0572
V4_CV4,10.0,ID17,35.01192483051757,30.450292574989277,-30.450292574989277,209.45865500000002
V4_CV4,10.0,ID18,49.92322294981446,7.715966701911384,-7.715966701911384,206.90585
V4_CV4,10.0,ID19,119.59279672057771,108.1529395675776,-108.1529395675776,205.96057000000002
V4_CV4,10.0,ID20,78.52691323370571,68.88604725729164,-68.88604725729164,202.56013000000002
V4_CV4,10.0,ID21,46.81118862161813,28.91342100121119,28.91342100121119,1598.6443
V4_CV4,10.0,ID22,32.53214027663633,21.084423479170937,-21.084423479170937,1599.3211999999999
V4_CV4,10.0,ID23,93.43158770741843,66.33649057883258,66.33649057883258,1599.6642499999998
V4_CV4,10.0,ID24,33.37274399243659,21.641468061706064,21.641468061706064,1599.5815
V4_CV4,12.0,ID01,127.32428598396304,109.6474248071104,-109.6474248071104,182.54280058407934
V4_CV4,12.0,ID02,60.899670061361896,50.130352673211746,-50.130352673211746,1105.589
V4_CV4,12.0,ID03,146.21774125947903,145.6341353974251,145.6341353974251,1625.5614500000001
V4_CV4,12.0,ID04,251.33510777481166,241.0485884780622,-241.0485884780622,182.16379
V4_CV4,12.0,ID05,45.01081833222712,19.869273550136995,-19.869273550136995,1103.5866165595767
V4_CV4,12.0,ID06,113.9532977111034,113.48179674516132,113.48179674516132,1684.95255
V4_CV4,12.0,ID07,148.06461530703368,144.58176368650834,-144.58176368650834,211.565355
V4_CV4,12.0,ID08,61.07795010167725,12.20994221451383,12.20994221451383,1132.2804
V4_CV4,12.0,ID09,37.38287810096139,21.277379451262505,-21.277379451262505,1568.1853500000002
V4_CV4,12.0,ID10,100.91443764632915,87.89187128658622,-87.89187128658622,238.64973
V4_CV4,12.0,ID11,46.953308518847,4.1023102042961455,4.1023102042961455,1133.4998500000002
V4_CV4,12.0,ID12,116.04977128373207,80.34937151804706,80.34937151804706,1590.1300500000002
V4_CV4,12.0,ID13,73.10561059538381,68.27112112208079,-68.27112112208079,1139.0976
V4_CV4,12.0,ID14,69.84944484595162,61.77350783017505,-61.77350783017505,1132.6278
V4_CV4,12.0,ID15,77.52248283566375,64.68339178714541,-64.68339178714541,1132.2551
V4_CV4,12.0,ID16,12.547436496355054,9.363117773533759,-9.363117773533759,1122.0572
V4_CV4,12.0,ID17,33.02691737058427,27.839721406487115,-27.839721406487115,209.45865500000002
V4_CV4,12.0,ID18,48.863850773498505,4.6279970887165405,-4.6279970887165405,206.90585
V4_CV4,12.0,ID19,116.49769160990476,104.95778190526742,-104.95778190526742,205.96057000000002
V4_CV4,12.0,ID20,75.97416397744048,66.04896847594708,-66.04896847594708,202.56013000000002
V4_CV4,12.0,ID21,45.18538307852633,26.06659889249954,26.06659889249954,1598.6443
V4_CV4,12.0,ID22,34.92475319396337,24.2347723021237,-24.2347723021237,1599.3211999999999
V4_CV4,12.0,ID23,90.37691158167799,62.97608149447797,62.97608149447797,1599.6642499999998
V4_CV4,12.0,ID24,31.146747687191358,18.846030008103753,18.846030008103753,1599.5815
V4_CV4,14.0,ID01,125.37599553627133,107.40262262647069,-107.40262262647069,182.54280058407934
V4_CV4,14.0,ID02,60.79444821592301,49.650663977024806,-49.650663977024806,1105.589
V4_CV4,14.0,ID03,142.2561487127435,141.73808305018883,141.73808305018883,1625.5614500000001
V4_CV4,14.0,ID04,246.66594882335147,236.30055130303273,-236.30055130303273,182.16379
V4_CV4,14.0,ID05,43.96933724234042,19.147820147480843,-19.147820147480843,1103.5866165595767
V4_CV4,14.0,ID06,110.18384762244997,109.78910756761252,109.78910756761252,1684.95255
V4_CV4,14.0,ID07,145.64361210687235,142.1864933192191,-142.1864933192191,211.565355
V4_CV4,14.0,ID08,60.73544061606576,15.717041160538429,15.717041160538429,1132.2804
V4_CV4,14.0,ID09,38.89313835382054,23.794902881252256,-23.794902881252256,1568.1853500000002
V4_CV4,14.0,ID10,97.52820463409337,84.75626444747948,-84.75626444747948,238.64973
V4_CV4,14.0,ID11,44.326920399925136,2.473024868386574,2.473024868386574,1133.4998500000002
V4_CV4,14.0,ID12,113.08077708163624,77.01808194908722,77.01808194908722,1590.1300500000002
V4_CV4,14.0,ID13,72.43878947002155,67.89753355774792,-67.89753355774792,1139.0976
V4_CV4,14.0,ID14,71.41552866032914,63.09408176318152,-63.09408176318152,1132.6278
V4_CV4,14.0,ID15,76.08472166144381,63.48769472375352,-63.48769472375352,1132.2551
V4_CV4,14.0,ID16,13.996062828626705,10.796942944258035,-10.796942944258035,1122.0572
V4_CV4,14.0,ID17,31.171581242051264,25.244890438949483,-25.244890438949483,209.45865500000002
V4_CV4,14.0,ID18,47.93279840240516,1.5451376305651365,-1.5451376305651365,206.90585
V4_CV4,14.0,ID19,113.38742433366298,101.76305035115655,-101.76305035115655,205.96057000000002
V4_CV4,14.0,ID20,73.52896592592009,63.30356625591159,-63.30356625591159,202.56013000000002
V4_CV4,14.0,ID21,43.694073584345475,23.27194459187899,23.27194459187899,1598.6443
V4_CV4,14.0,ID22,37.39905766024788,27.330480207351684,-27.330480207351684,1599.3211999999999
V4_CV4,14.0,ID23,87.42119051673893,59.67270507720809,59.67270507720809,1599.6642499999998
V4_CV4,14.0,ID24,29.124838296565812,16.09895991371286,16.09895991371286,1599.5815
V4_CV4,16.0,ID01,123.53609563429407,105.23177519596256,-105.23177519596256,182.54280058407934
V4_CV4,16.0,ID02,60.679968049325026,49.145208722605275,-49.145208722605275,1105.589
V4_CV4,16.0,ID03,138.46121125369717,138.0047316588798,138.0047316588798,1625.5614500000001
V4_CV4,16.0,ID04,241.99038912613352,231.53926982172044,-231.53926982172044,182.16379
V4_CV4,16.0,ID05,42.918944233511034,18.358316283323347,-18.358316283323347,1103.5866165595767
V4_CV4,16.0,ID06,106.41374103896348,106.0776735285408,106.0776735285408,1684.95255
V4_CV4,16.0,ID07,143.26741344461098,139.81005705887563,-139.81005705887563,211.565355
V4_CV4,16.0,ID08,60.73448792079636,19.355190812045976,19.355190812045976,1132.2804
V4_CV4,16.0,ID09,40.63408736935311,26.363407728092852,-26.363407728092852,1568.1853500000002
V4_CV4,16.0,ID10,94.17857519218246,81.62941605902239,-81.62941605902239,238.64973
V4_CV4,16.0,ID11,41.786270109711346,0.8960674572917924,0.8960674572917924,1133.4998500000002
V4_CV4,16.0,ID12,110.196088117144,73.71993057948544,73.71993057948544,1590.1300500000002
V4_CV4,16.0,ID13,71.75769833970072,67.49684636655911,-67.49684636655911,1139.0976
V4_CV4,16.0,ID14,72.98974999781001,64.40960912422292,-64.40960912422292,1132.6278
V4_CV4,16.0,ID15,74.64557692697649,62.2887045942316,-62.2887045942316,1132.2551
V4_CV4,16.0,ID16,15.47302241127748,12.213823875973503,-12.213823875973503,1122.0572
V4_CV4,16.0,ID17,29.475343955740296,22.661902587249926,-22.661902587249926,209.45865500000002
V4_CV4,16.0,ID18,47.13964742239662,1.540787257691079,1.540787257691079,206.90585
V4_CV4,16.0,ID19,110.25539893735035,98.56160831584646,-98.56160831584646,205.96057000000002
V4_CV4,16.0,ID20,71.18652702580495,60.64465059570966,-60.64465059570966,202.56013000000002
V4_CV4,16.0,ID21,42.346853600214374,20.536193848739003,20.536193848739003,1598.6443
V4_CV4,16.0,ID22,39.92232349562266,30.368666376146166,-30.368666376146166,1599.3211999999999
V4_CV4,16.0,ID23,84.56928366516344,56.437210981380304,56.437210981380304,1599.6642499999998
V4_CV4,16.0,ID24,27.334212646307527,13.411861112511133,13.411861112511133,1599.5815
V4_CV4,18.0,ID01,121.80729903105319,103.13302449454652,-103.13302449454652,182.54280058407934
V4_CV4,18.0,ID02,60.54636772009101,48.60081615019317,-48.60081615019317,1105.589
V4_CV4,18.0,ID03,134.83082837852479,134.43247015170664,134.43247015170664,1625.5614500000001
