alpha,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope
0.0,0.0,72.68777814128809,109.84334268175988,171.49830647240591,129.3271311540153
0.0,2.0,71.52948627887287,107.49498751761026,167.06881227377286,124.80652012252219
0.0,4.0,70.44027785320517,105.19804885874471,162.7308149765455,120.3291590790417
0.0,6.0,70.08733323054994,102.95877176392585,158.50513004694403,115.90045417904446
0.0,8.0,70.5588726599388,100.77958426606008,154.3823694062567,111.51750125137413
0.0,10.0,71.02211893434433,98.66198700575318,150.50703295236747,107.18086143060198
0.0,12.0,71.47752772066772,96.60915649299243,147.78758419990046,102.89294376533523
0.0,14.0,71.92715906517535,94.62878373449834,145.13549259775303,98.65756182958633
0.0,16.0,71.47211268275284,92.72566374393138,142.5464831159739,94.47368488007028
0.0,18.0,70.01960043958556,90.90556487496517,140.03120767952893,90.34432433845137
0.0,20.0,68.61282496547003,89.16822490461907,137.57777132849728,86.2675563680303
0.0,22.0,67.25843122692933,87.51597212005046,135.18187055198848,82.24432433671865
0.0,24.0,66.62367967640908,85.95359270931299,132.8577373654374,78.27765069158805
0.0,26.0,66.75305920882771,84.4823565310698,130.60364000729936,74.36481615712506
0.0,28.0,67.01521535185626,83.10201016281671,128.40865216799173,70.50262456398107
0.0,30.0,66.07825383728138,81.81552914839253,126.28255958665453,66.69088381082055
0.0,32.0,64.6417511616848,80.62703414959898,124.22105681742424,62.932467949002636
0.0,34.0,63.314259121798564,79.53882709118311,122.33616933110852,59.229150624650586
0.0,36.0,64.0394807158211,78.5496368888089,120.6486964409156,55.57759475198739
0.0,38.0,63.25669894506075,77.65829585147783,119.02646356312698,51.978986840018294
0.0,40.0,61.058333321564845,76.86141345694736,117.45673244083227,48.425555679338075
0.0,42.0,59.274348747765515,76.16103134607378,115.93119582677181,44.91873964474342
0.0,44.0,58.573770096984276,75.55612446111326,114.45239487802418,41.45796996791418
0.0,46.0,58.473292281722564,75.04858983302233,113.0301954600986,38.04003439998476
0.0,48.0,58.07895938682272,74.63554359995196,111.65683608984264,34.662478619411786
