config,tier,n_positions,n_pairs,d_tag_range_residual_mm,d_tag_position_optimal_mm,difference_mm
V4_CV4,LOW,8,64,28.613879221600996,nan,nan
V4_CV4,MID,8,64,33.08137482630481,nan,nan
V4_CV4,HIGH,8,64,40.383823450703034,nan,nan
V5_CV5,LOW,8,64,46.415723263206274,nan,nan
V5_CV5,MID,8,64,53.860134217841704,nan,nan
V5_CV5,HIGH,8,64,51.03527382442376,nan,nan
Vicon_Ccm,LOW,8,64,43.109094886434626,nan,nan
Vicon_Ccm,MID,8,64,49.74539408298298,nan,nan
Vicon_Ccm,HIGH,8,64,57.207246209841344,nan,nan
