anchor_label,anchor_id,layer,n_observations,mean_mm,median_mm,std_mm,iqr_mm,skewness,kurtosis,pct_positive,pct_gt50,pct_gt100,pct_gt150
A,0,lower,28760,20.596069138460933,-14.177529589582768,121.25842193777112,94.0736471484663,1.89868948413192,3.6760638845278537,0.42333101529902645,0.24092489568845618,0.16846314325452016,0.0861961057023644
B,1,lower,28781,3.1695040486588617,-26.883039369971918,110.32348209666402,81.52488379450233,1.4891835254872452,1.5918764803697592,0.344463361245266,0.16896563705222195,0.12772315068969112,0.1252562454396998
C,2,lower,28759,-27.393967187962485,-64.85860973528057,123.54186800634632,106.34816321296944,2.0778129339355274,4.874075982607959,0.25682395076323933,0.18255154908028792,0.12403073820369276,0.06731805695608331
D,3,lower,28789,56.764020000787525,27.649656382014648,106.82406403878747,85.99686319291095,1.6875952337850584,2.45749649981145,0.6890131647504255,0.36663308902705893,0.18899579700580083,0.12806974886241274
E,4,upper,28793,42.16041034805942,17.288822404274804,100.22454329053105,89.48204460585134,1.4903969079766108,2.020445760323785,0.6023339006008405,0.3203209113326156,0.17938387802590908,0.13558851109644704
F,5,upper,28538,86.51766847956782,62.79157249277433,123.0475811269217,108.88751261780999,1.588073812497751,4.237738808548719,0.7969374167776299,0.5688205200084099,0.3237087392248931,0.19573901464713714
G,6,upper,27542,29.751371275958146,-8.80719236163835,138.32837023123997,65.96178318237912,2.535402726936713,6.329277502342748,0.42629438675477455,0.1593203107980539,0.1240287560816208,0.11480647738000145
H,7,upper,28303,1.3338159210104963,-1.6146027346333014,82.04475363947475,70.10760949745008,-1.1789047874742256,47.46899546776284,0.48839345652404337,0.15955905734374448,0.07614033848001979,0.03225806451612903
lower_aggregate,,lower,115089,13.293370468860152,-14.215839545450443,119.63196726965948,105.83056701437138,1.599138592740164,2.7433399774496143,0.4284597137867216,0.23978833772124183,0.15230821364335428,0.1017212765772576
upper_aggregate,,upper,113176,40.11565330031439,12.791572492774328,116.87396001145632,92.58909356572272,1.7632443506727797,8.356082010811177,0.5800699795009543,0.30359793595815365,0.17648618081572065,0.11985756697533045
