factor,sum_squares,fraction_explained,f_statistic,p_value
anchor_id,189955.1845684487,0.08965738454589825,2.1152771601885307,0.03782313101632441
position_id,92514.93365029735,0.04366633635911142,0.34340508011827814,0.998317350830973
height,0.0,0.0,0.0,1.0
elevation_angle,10343.571165699512,0.004882085949314081,0.9214602861741734,0.3386788523056019
distance,130096.49193674815,0.06140454250903755,11.589686847017006,0.0008564250896388161
layer,4.656612873077393e-10,2.1978854222451482e-16,2.074179102115769e-14,0.9999999999999792
facing,0.0,0.0,0.0,1.0
edge_center,2.3283064365386963e-10,1.0989427111225741e-16,1.0370895510578845e-14,0.9999999999999897
