anchor_shift_mm,tag_shift_mm,median_3d_mm,rmse_3d_mm,signed_vertical_slope
-140.0,-140.0,606.3002384459352,637.8751838451667,309.67481036555193
-140.0,-130.0,584.6233286815768,614.0793264868225,309.23013291894205
-140.0,-120.0,561.8747443252098,588.5306112830737,311.8622266989102
-140.0,-110.0,538.1584012547281,559.7540986563384,320.08007107918684
-140.0,-100.0,512.4499696388432,528.3569034079748,333.48365108173954
-140.0,-90.0,498.3709931998377,495.4432477356834,351.94266435760215
-140.0,-80.0,445.83199034361337,462.5665758006284,372.09419881345895
-140.0,-70.0,425.0065494044634,431.23850541121675,394.26717024106443
-140.0,-60.0,402.6400476082522,403.77982937968665,413.6127289311315
-140.0,-50.0,382.52223412068463,380.0827598551544,428.22804461848546
-140.0,-40.0,358.8027931177421,360.1765652137206,437.3291751224212
-140.0,-30.0,333.69901764000855,342.9447392706219,441.38255020692907
-140.0,-20.0,298.6606913320756,326.79667332967193,439.0150371092801
-140.0,-10.0,269.7456593412108,311.1387012619558,431.0052592014487
-140.0,0.0,268.6077531337461,294.7538205885807,417.6594115130869
-140.0,10.0,251.73881698619223,277.109399612564,399.8601413288394
-140.0,20.0,232.8875340960724,258.9485742079134,379.07582226130086
-140.0,30.0,215.91276488509058,240.65052577659876,355.92570468582505
-140.0,40.0,198.2888132377903,222.61402084769583,330.9176434511488
-140.0,50.0,180.003698792295,205.2382361272872,304.7283067149018
-140.0,60.0,161.13775318218646,188.5643676463972,277.9927422445908
-140.0,70.0,142.10322077779944,172.410007239604,251.08126055452345
-140.0,80.0,123.3033393586514,156.5263616552959,224.13349210335625
-140.0,90.0,109.9365798927659,141.0920919128888,197.4225489302805
-140.0,100.0,98.80673704508436,126.45963841289303,171.35644705285137
-140.0,110.0,86.63361537135287,112.9606017036856,146.1882950565742
-140.0,120.0,72.92671034695931,100.94130054820614,122.06391893329565
-140.0,130.0,73.9661493543175,90.74560532837722,98.97787836297437
-140.0,140.0,67.84873089032392,82.79872650778266,76.94273729548733
-130.0,-140.0,584.6233286815768,614.0793264868225,309.23013291894205
-130.0,-130.0,561.8747443252098,588.5306112830737,311.8622266989101
-130.0,-120.0,538.1584012547281,559.7540986563384,320.08007107918695
-130.0,-110.0,512.4499696388432,528.3569034079748,333.48365108173954
-130.0,-100.0,498.3709931998377,495.4432477356834,351.94266435760215
-130.0,-90.0,445.83199034361337,462.5665758006284,372.09419881345895
-130.0,-80.0,425.0065494044634,431.23850541121675,394.26717024106443
-130.0,-70.0,402.6400476082522,403.77982937968665,413.6127289311315
-130.0,-60.0,382.52223412068463,380.0827598551544,428.2280446184854
-130.0,-50.0,358.8027931177421,360.1765652137206,437.3291751224212
-130.0,-40.0,333.69901764000855,342.9447392706219,441.38255020692907
-130.0,-30.0,298.6606913320756,326.79667332967193,439.01503710928
-130.0,-20.0,269.7456593412108,311.1387012619558,431.0052592014487
-130.0,-10.0,268.6077531337461,294.7538205885807,417.6594115130869
-130.0,0.0,251.7388169861922,277.10939961256406,399.8601413288394
-130.0,10.0,232.8875340960724,258.94857420791334,379.07582226130086
-130.0,20.0,215.91276488509067,240.65052577659878,355.92570468582505
-130.0,30.0,198.2888132377903,222.61402084769583,330.9176434511488
-130.0,40.0,180.00369879229498,205.2382361272872,304.7283067149018
-130.0,50.0,161.13775318218637,188.5643676463972,277.9927422445907
-130.0,60.0,142.10322077779944,172.410007239604,251.08126055452345
-130.0,70.0,123.3033393586514,156.5263616552959,224.13349210335625
