marker_name,alpha,d_tag_mm,median_3d_mm,source
V4_D0,0.0,0.0,72.68777814128809,grid_endpoint
V4_LOO,0.0,49.621,57.92095709409735,transfer_matrix_exact
V5_D0,1.0,0.0,109.51537928451557,grid_endpoint
V5_LOO,1.0,49.621,67.84873089032392,transfer_matrix_exact
global_min,0.15,52.0,56.365467753849146,grid
