pos1_id,pos2_id,anchor_label,anchor_id,delta_r_measured_mm,delta_r_geometric_mm,differential_error_mm
ID01,ID02,A,0,360.0,333.82588177313187,26.17411822686813
ID01,ID02,B,1,62.0,101.34660584511926,-39.34660584511926
ID01,ID02,C,2,68.0,86.30608053085143,-18.306080530851432
ID01,ID02,D,3,339.0,240.2915564754053,98.70844352459471
ID01,ID02,E,4,-615.0,-414.90477219706327,-200.09522780293673
ID01,ID02,F,5,-671.5,-593.3596888006359,-78.14031119936408
ID01,ID02,G,6,-500.0,-450.0495375778228,-49.950462422177225
ID01,ID02,H,7,-273.0,-355.7077401333304,82.70774013333039
ID01,ID03,A,0,695.0,637.1828550856458,57.81714491435423
ID01,ID03,B,1,667.0,397.8786571463313,269.1213428536687
ID01,ID03,C,2,367.0,343.16419538067066,23.835804619329338
ID01,ID03,D,3,867.0,500.9870820098904,366.0129179901096
ID01,ID03,E,4,-759.0,-492.0424290188066,-266.9575709811934
ID01,ID03,F,5,-813.5,-701.3401741745677,-112.15982582543234
ID01,ID03,G,6,-529.0,-503.93993202216507,-25.060067977834933
ID01,ID03,H,7,-332.0,-422.182810286557,90.18281028655701
ID01,ID04,A,0,950.0,883.8731031217826,66.1268968782174
ID01,ID04,B,1,-432.0,-463.2092267383491,31.209226738349116
ID01,ID04,C,2,-727.0,-744.9788654849028,17.978865484902826
ID01,ID04,D,3,457.0,433.80721483064235,23.19278516935765
ID01,ID04,E,4,496.0,682.9458665456004,-186.94586654560044
ID01,ID04,F,5,-131.5,-360.7844299535527,229.28442995355272
ID01,ID04,G,6,-564.0,-556.8640037265491,-7.135996273450928
ID01,ID04,H,7,621.0,403.83630043805033,217.16369956194967
ID01,ID05,A,0,1560.0,1076.5437460910152,483.45625390898476
ID01,ID05,B,1,-151.0,-99.71509433485039,-51.28490566514961
ID01,ID05,C,2,-436.0,-583.7866094698941,147.78660946989407
ID01,ID05,D,3,477.0,500.6174386544599,-23.617438654459875
ID01,ID05,E,4,164.0,374.6842489883443,-210.68424898834428
ID01,ID05,F,5,-926.5,-883.5795975223534,-42.920402477646576
ID01,ID05,G,6,-1183.0,-1155.4252878559762,-27.574712144023806
ID01,ID05,H,7,93.0,-28.158498031566523,121.15849803156652
ID01,ID06,A,0,1504.5,1329.138716582283,175.361283417717
ID01,ID06,B,1,228.0,275.4882400509266,-47.488240050926606
ID01,ID06,C,2,62.0,-188.8339997560313,250.8339997560313
ID01,ID06,D,3,758.0,765.3035094033321,-7.3035094033321
ID01,ID06,E,4,179.0,326.1500455820633,-147.15004558206329
ID01,ID06,F,5,-1034.5,-1018.1841038560722,-16.31589614392783
ID01,ID06,G,6,-1216.0,-1237.9289084420245,21.92890844202452
ID01,ID06,H,7,-3.0,-88.36145317599767,85.36145317599767
ID01,ID07,A,0,851.0,848.2660266731573,2.7339733268427153
ID01,ID07,B,1,225.0,329.17825491654503,-104.17825491654503
ID01,ID07,C,2,-893.0,-845.8072431623787,-47.192756837621346
ID01,ID07,D,3,-305.0,-283.8359233415374,-21.16407665846259
ID01,ID07,E,4,641.0,666.6903221492012,-25.690322149201165
ID01,ID07,F,5,119.5,170.75797472177692,-51.25797472177692
ID01,ID07,G,6,-537.0,-705.701368118687,168.70136811868701
ID01,ID07,H,7,-81.0,-170.05501397888975,89.05501397888975
ID01,ID08,A,0,996.0,949.6222251709387,46.37777482906131
ID01,ID08,B,1,889.0,597.0182113042731,291.9817886957269
ID01,ID08,C,2,-493.0,-474.4481362598408,-18.551863740159206
ID01,ID08,D,3,-111.0,-179.99624640225807,68.99624640225807
ID01,ID08,E,4,7.0,259.8200575926239,-252.82005759262393
ID01,ID08,F,5,-189.0,-156.9822897808558,-32.01771021914419
ID01,ID08,G,6,-1129.0,-1140.274649069879,11.274649069878933
