variant,anchor_label,d_i_mm,e_i_mm
C_Vicon_indep,A,148.39313595124503,53.6602581762109
C_Vicon_indep,B,96.4405030150194,1.7076252399852763
C_Vicon_indep,C,127.20252822895591,32.46965045392179
C_Vicon_indep,D,114.72759806555275,19.99472029051863
C_Vicon_indep,E,49.2007311889509,-45.53214658608323
C_Vicon_indep,F,50.54069927422832,-44.19217850080581
C_Vicon_indep,G,85.86587870347041,-8.866999071563711
C_Vicon_indep,H,85.49194777285027,-9.240930002183859
C_Vicon_cm_e10,A,148.3038509958773,53.57097322084314
C_Vicon_cm_e10,B,96.43766170846297,1.7047839334288142
C_Vicon_cm_e10,C,127.14850218826999,32.41562441323583
C_Vicon_cm_e10,D,114.6943289802104,19.961451205176246
C_Vicon_cm_e10,E,49.27649183218852,-45.456385942845635
C_Vicon_cm_e10,F,50.61423035326417,-44.118647421769985
C_Vicon_cm_e10,G,85.88063244568552,-8.852245329348634
C_Vicon_cm_e10,H,85.50732369631437,-9.225554078719782
C_Vicon_cm_e20,A,148.37078682247545,53.63790904744131
C_Vicon_cm_e20,B,96.43979180084214,1.706914025808004
C_Vicon_cm_e20,C,127.18900484267812,32.456127067643976
C_Vicon_cm_e20,D,114.71927040195814,19.986392626924
C_Vicon_cm_e20,E,49.21969501510073,-45.51318275993341
C_Vicon_cm_e20,F,50.55910501287908,-44.17377276215506
C_Vicon_cm_e20,G,85.86957174764835,-8.86330602738579
C_Vicon_cm_e20,H,85.49579655669112,-9.237081218343022
C_Vicon_cm_e50,A,148.3895588391744,53.65668106414027
C_Vicon_cm_e50,B,96.44038918092491,1.70751140589077
C_Vicon_cm_e50,C,127.20036372989308,32.467485954858944
C_Vicon_cm_e50,D,114.72626517305908,19.993387398024936
C_Vicon_cm_e50,E,49.20376646303842,-45.52911131199572
C_Vicon_cm_e50,F,50.543645223065184,-44.189232551968956
C_Vicon_cm_e50,G,85.86646979733563,-8.866407977698515
C_Vicon_cm_e50,H,85.49256379378241,-9.240313981251731
C_Vicon_cm_e100,A,148.39224162851497,53.65936385348084
C_Vicon_cm_e100,B,96.44047455507125,1.7075967800371217
C_Vicon_cm_e100,C,127.20198707713689,32.469109302102765
C_Vicon_cm_e100,D,114.72726482576837,19.994387050734247
C_Vicon_cm_e100,E,49.201490045412314,-45.53138772962181
C_Vicon_cm_e100,F,50.54143579826105,-44.19144197677308
C_Vicon_cm_e100,G,85.86602648432498,-8.86685129070915
C_Vicon_cm_e100,H,85.49210178578318,-9.240775989250949
C_Vicon_cm_noreg,A,148.39313595124597,53.660258176211784
C_Vicon_cm_noreg,B,96.44050301501866,1.7076252399844805
C_Vicon_cm_noreg,C,127.2025282289562,32.469650453922014
C_Vicon_cm_noreg,D,114.72759806555293,19.994720290518742
C_Vicon_cm_noreg,E,49.200731188951,-45.53214658608318
C_Vicon_cm_noreg,F,50.54069927422843,-44.19217850080575
C_Vicon_cm_noreg,G,85.86587870346987,-8.866999071564308
C_Vicon_cm_noreg,H,85.49194777285041,-9.240930002183774
