config,percentile,median_3d_mm,p95_3d_mm,rmse_3d_mm,n_positions,notes
V4_CV4,10,79.12479532742492,122.45953454495297,83.78165222791016,24,diagnostic single synthetic percentile frame per static position
V4_CV4,20,72.36918117488545,124.02274158884858,78.24173716297143,24,diagnostic single synthetic percentile frame per static position
V4_CV4,25,65.30722799134739,119.75415768185253,76.6664682440706,24,diagnostic single synthetic percentile frame per static position
V4_CV4,30,61.88170404292163,114.77934077276346,75.20103850575146,24,diagnostic single synthetic percentile frame per static position
V4_CV4,40,55.83639185205108,108.1042102933676,73.90411820245431,24,diagnostic single synthetic percentile frame per static position
V4_CV4,50,55.35235564913127,114.73473899125497,75.44675642891795,24,diagnostic single synthetic percentile frame per static position
V4_CV4,75,80.47543811544702,163.64300867298107,91.23658514812861,24,diagnostic single synthetic percentile frame per static position
V4_CV4,90,90.03758710990942,206.03527364112844,114.5859586112076,24,diagnostic single synthetic percentile frame per static position
V5_CV5,10,64.40730221528241,146.02570772271503,79.3466520958106,24,diagnostic single synthetic percentile frame per static position
V5_CV5,20,55.64642482909077,138.14579075971014,75.425824891864,24,diagnostic single synthetic percentile frame per static position
V5_CV5,25,51.85655184909232,133.03260908749246,75.00550921991177,24,diagnostic single synthetic percentile frame per static position
V5_CV5,30,47.49612990224546,135.63321030690597,75.0299846852894,24,diagnostic single synthetic percentile frame per static position
V5_CV5,40,55.829673213551644,147.02417611498603,79.14422531635718,24,diagnostic single synthetic percentile frame per static position
V5_CV5,50,67.80925857328509,160.50864196755103,86.39989161399005,24,diagnostic single synthetic percentile frame per static position
V5_CV5,75,87.88510555466476,183.6035144749915,110.66228207454364,24,diagnostic single synthetic percentile frame per static position
V5_CV5,90,119.14682620846881,216.0983520147283,138.3096470812469,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,10,62.68542366776638,125.79089076908392,75.60484636277444,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,20,52.611467960447634,133.47026946130785,73.17638971589027,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,25,51.66309192055062,138.78539589562436,73.77623626416961,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,30,47.83339547994662,142.8185589585868,74.05592260861239,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,40,51.00042329891188,152.79978137268364,77.29916793881277,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,50,59.78287756271662,164.65129649478166,82.91449335116948,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,75,91.99981488681581,194.90977534034684,108.86260300469313,24,diagnostic single synthetic percentile frame per static position
Vicon_Ccm,90,120.71360361797008,224.7579303652394,136.07828785359487,24,diagnostic single synthetic percentile frame per static position
