config,anchor_id,anchor_label,layer,d_tag_j_mm,n_positions,spread_all_anchors_mm,lower_layer_mean_mm,upper_layer_mean_mm,upper_minus_lower_mm
V4_CV4,0,A,lower,22.792209201185415,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V4_CV4,1,B,lower,11.68129573853279,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V4_CV4,2,C,lower,-16.39617470337143,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V4_CV4,3,D,lower,35.98845997928312,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V4_CV4,4,E,upper,63.981853659653524,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V4_CV4,5,F,upper,90.78579142857069,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V4_CV4,6,G,upper,26.101983367957196,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V4_CV4,7,H,upper,32.34697813697059,24,107.18196613194212,13.516447553907474,53.304151648288,39.78770409438052
V5_CV5,0,A,lower,29.31379410659551,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
V5_CV5,1,B,lower,13.036457359179877,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
V5_CV5,2,C,lower,-28.43662736999636,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
V5_CV5,3,D,lower,68.05258252690318,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
V5_CV5,4,E,upper,68.46882850037925,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
V5_CV5,5,F,upper,102.5528594694064,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
V5_CV5,6,G,upper,40.550874473843066,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
V5_CV5,7,H,upper,46.96788811499883,24,130.98948683940276,20.491551655670552,64.63511263965688,44.14356098398633
Vicon_Ccm,0,A,lower,44.53622012897631,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
Vicon_Ccm,1,B,lower,15.780701983048644,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
Vicon_Ccm,2,C,lower,-34.104978254439686,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
Vicon_Ccm,3,D,lower,57.21459468642334,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
Vicon_Ccm,4,E,upper,80.8464671189335,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
Vicon_Ccm,5,F,upper,81.58683477018039,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
Vicon_Ccm,6,G,upper,65.62295318127032,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
Vicon_Ccm,7,H,upper,13.777473516691146,24,115.69181302462007,20.856634636002152,60.45843214676884,39.60179751076669
