version,eval_set,pair,measured_mm,predicted_mm,residual_mm,abs_residual_mm
v3-full,all1000,A-B,3006.486131386861,2974.9469766884467,-31.539154698414222,31.539154698414222
v3-full,all1000,A-C,5535.260273972603,5533.190538595667,-2.0697353769355686,2.0697353769355686
v3-full,all1000,A-D,4672.607634652258,4679.603879325321,6.996244673063302,6.996244673063302
v3-full,all1000,A-E,1459.711513583441,1452.4077082075707,-7.303805375870297,7.303805375870297
v3-full,all1000,A-F,3195.640533582963,3200.4543084263723,4.813774843409192,4.813774843409192
v3-full,all1000,A-G,5761.613793103448,5756.302349902573,-5.311443200875146,5.311443200875146
v3-full,all1000,A-H,4860.33524948264,4859.513976093747,-0.8212733888931325,0.8212733888931325
v3-full,all1000,B-C,4570.5,4576.295059436124,5.795059436123665,5.795059436123665
v3-full,all1000,B-D,5435.75088715401,5434.695403756083,-1.0554833979276736,1.0554833979276736
v3-full,all1000,B-E,3214.52700729927,3215.407322283465,0.8803149841951381,0.8803149841951381
v3-full,all1000,B-F,1439.1965317919075,1437.1554573916505,-2.0410744002570027,2.0410744002570027
v3-full,all1000,B-G,5004.715923566879,4943.554512879726,-61.161410687152966,61.161410687152966
v3-full,all1000,B-H,5659.000000000001,5683.455696794163,24.455696794161668,24.455696794161668
v3-full,all1000,C-D,3121.7760252365933,2938.8253323291906,-182.95069290740275,182.95069290740275
v3-full,all1000,C-E,5671.238894373149,5839.992355406717,168.75346103356787,168.75346103356787
v3-full,all1000,C-F,4802.762264150943,4799.5407781563035,-3.2214859946398064,3.2214859946398064
v3-full,all1000,C-G,1735.331681205393,1735.476800993978,0.1451197885851343,0.1451197885851343
v3-full,all1000,C-H,3454.4298642533936,3453.5848012778715,-0.8450629755220689,0.8450629755220689
v3-full,all1000,D-E,5094.889391979302,5089.549704781002,-5.3396871982995435,5.3396871982995435
v3-full,all1000,D-F,5592.598503740649,5594.670592833716,2.0720890930670066,2.0720890930670066
v3-full,all1000,D-G,3277.6376470588234,3278.894583948174,1.256936889350527,1.256936889350527
v3-full,all1000,D-H,1522.3414287967196,1522.191744710675,-0.14968408604454453,0.14968408604454453
v3-full,all1000,E-F,2790.9452054794524,2747.923798955509,-43.02140652394337,43.02140652394337
v3-full,all1000,E-G,5604.619808306709,5604.024630692261,-0.5951776144484029,0.5951776144484029
v3-full,all1000,E-H,4569.644412191582,4790.082101367206,220.43768917562375,220.43768917562375
v3-full,all1000,F-G,4657.460063897764,4658.506504943353,1.046441045589745,1.046441045589745
v3-full,all1000,F-H,5457.486131386861,5456.180591783646,-1.3055396032150384,1.3055396032150384
v3-full,all1000,G-H,2940.8140293637844,2940.0056632383694,-0.8083661254149774,0.8083661254149774
