version,solver,solver_family,eval_set,n_positions,height,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,high,8,202.68222037317065,370.16404906665184,234.18589907017778
v1-old,T1+F0,external_position_filter,all8,24,low,8,214.35461254283112,306.67841159406646,218.53499362902633
v1-old,T1+F0,external_position_filter,all8,24,mid,8,87.66415013074703,146.95115199401624,97.60606233796311
v1-old,T1+F1,external_position_filter,all8,24,high,8,204.26162624938797,359.45018526984455,230.6414010085091
v1-old,T1+F1,external_position_filter,all8,24,low,8,217.55128533906662,305.23536231554004,218.1282061605761
v1-old,T1+F1,external_position_filter,all8,24,mid,8,88.39939025606634,146.2878319622449,93.66548581165674
v1-old,T1+F2,external_position_filter,all8,24,high,8,204.26162624938797,359.45018526984455,230.6414010085091
v1-old,T1+F2,external_position_filter,all8,24,low,8,217.55128533906662,305.23536231554004,218.12907648576333
v1-old,T1+F2,external_position_filter,all8,24,mid,8,88.39939025606634,146.2878319622449,93.66548581165674
v1-old,T1+F3,external_position_filter,all8,24,high,8,204.298063650468,361.00866487708345,231.1387850480794
v1-old,T1+F3,external_position_filter,all8,24,low,8,217.84033915709028,306.7272367355811,218.69252284594307
v1-old,T1+F3,external_position_filter,all8,24,mid,8,88.26936223909448,146.41838999797852,94.27311758471699
v1-old,T1+F4,external_position_filter,all8,24,high,8,204.28693438713066,358.6728785322282,230.37774890412132
v1-old,T1+F4,external_position_filter,all8,24,low,8,216.38010833672945,303.6498605066439,217.27204240209173
v1-old,T1+F4,external_position_filter,all8,24,mid,8,88.03165940876515,146.05174841405278,93.38313499835
v1-old,T1+F5,external_position_filter,all8,24,high,8,204.69387962104304,356.8147949691719,229.78007686160637
v1-old,T1+F5,external_position_filter,all8,24,low,8,216.9486507060896,302.82486540348685,217.07462833604902
v1-old,T1+F5,external_position_filter,all8,24,mid,8,86.94473699266166,145.82437802689185,92.69147768502192
v1-old,T2+F0,external_position_filter,all8,24,high,8,202.02618295350533,370.5669047431106,234.12156001101204
v1-old,T2+F0,external_position_filter,all8,24,low,8,214.43138784719523,305.7142811359842,218.13011386206716
v1-old,T2+F0,external_position_filter,all8,24,mid,8,87.92962147081235,147.4574686251489,97.9074868279408
v1-old,T2+F1,external_position_filter,all8,24,high,8,203.02949727668897,360.0233219509368,230.55631823028068
v1-old,T2+F1,external_position_filter,all8,24,low,8,217.44082463761066,304.01375726953245,217.65266887547017
v1-old,T2+F1,external_position_filter,all8,24,mid,8,88.51171837110721,146.93175565496736,93.92115296199245
v1-old,T2+F2,external_position_filter,all8,24,high,8,203.02949727668897,360.0233219509368,230.55631823028068
v1-old,T2+F2,external_position_filter,all8,24,low,8,217.44082463761066,304.01375726953245,217.67973257261724
v1-old,T2+F2,external_position_filter,all8,24,mid,8,88.51171837110721,146.93175565496736,93.92115296199245
v1-old,T2+F3,external_position_filter,all8,24,high,8,203.3027039516026,361.24684063214085,230.9716028168751
v1-old,T2+F3,external_position_filter,all8,24,low,8,218.54519684819257,304.52751306457793,218.035179984263
v1-old,T2+F3,external_position_filter,all8,24,mid,8,88.52539747804937,147.04284708293932,94.57502663929321
v1-old,T2+F4,external_position_filter,all8,24,high,8,203.0227676259481,358.9462071953527,230.12435436396436
v1-old,T2+F4,external_position_filter,all8,24,low,8,216.60087714362774,302.08695577756754,216.91355889894052
v1-old,T2+F4,external_position_filter,all8,24,mid,8,88.33701907530195,146.76754663671156,93.70812156106958
v1-old,T2+F5,external_position_filter,all8,24,high,8,203.62910395392709,357.129018385205,229.59780762379458
v1-old,T2+F5,external_position_filter,all8,24,low,8,217.02686470372805,301.6172598317375,216.81194726636195
v1-old,T2+F5,external_position_filter,all8,24,mid,8,87.07055614522872,146.44156875448982,93.0079944700463
v1-old,T3+F0,external_position_filter,all8,24,high,8,140.6420442236378,296.2264958997183,182.2643280713936
v1-old,T3+F0,external_position_filter,all8,24,low,8,182.04343585772835,312.9296579490968,201.98442889225853
v1-old,T3+F0,external_position_filter,all8,24,mid,8,100.27333566622423,153.86652781016198,106.57545792995523
v1-old,T3+F1,external_position_filter,all8,24,high,8,135.63667283232493,286.5753353370993,177.73934537004794
