layout,tag_method,capture_id,tag,status,n_overlap,uwb_duration_s,overlap_duration_s,beta_s,layout_anchor_fit_det,layout_anchor_rms_3d_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge7_anchors_input,pct_frames_ge8_anchors_input,err3d_mean_mm,err3d_rmse_mm,err3d_p50_mm,err3d_p90_mm,err3d_p95_mm,err3d_max_mm,err_horizontal_xz_mean_mm,err_horizontal_xz_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p90_mm,err_horizontal_xz_p95_mm,err_horizontal_xz_max_mm,err_vertical_y_mean_mm,err_vertical_y_rmse_mm,err_vertical_y_p50_mm,err_vertical_y_p90_mm,err_vertical_y_p95_mm,err_vertical_y_max_mm,signed_bias_x_mm,signed_bias_y_vertical_mm,signed_bias_z_mm,signed_std_x_mm,signed_std_y_vertical_mm,signed_std_z_mm,turn_center_abs_error_3d_mm,turn_center_abs_error_horizontal_xz_mm,turn_center_abs_error_vertical_y_mm,radius_uwb_mm,radius_opti_mm,radius_error_mm,axis_angle_abs_deg,uwb_circle_thickness_rms_mm,opti_circle_thickness_rms_mm,opti_marker,time_offset_source
v1-old,T1,R01,BS2DCE,ok,1201,119.96293800000001,119.96293800000001,37.70795600000014,-1.0000000000000009,101.27420364979378,146.8650050627889,283.78683832353147,8.0,8.0,99.91673605328893,95.42048293089093,175.02839581435163,199.90264306142168,153.61632268236508,300.87335078587336,377.862417473296,759.7504825578086,113.10318773262422,124.07002641929508,107.29072588562234,183.43211799414385,204.2232290152732,346.55563297491165,120.19835260503208,156.74085379140178,94.21199882395445,260.11210469182026,342.10336270600146,721.0927833339169,11.586932817591661,61.83751567306223,3.2163880209178335,87.92182709027226,144.0871382765544,86.78265333876011,62.76953041971887,11.47938324897686,61.71092050306106,528.566775741811,426.4858284884082,102.08094725340288,8.677830121052244,145.4670746196385,0.8740596195392576,WandBantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R01,BSDC91,ok,1200,119.927195,119.927195,37.70795600000014,-1.0000000000000009,101.27420364979378,109.28858262994574,270.8464754802754,8.0,8.0,99.66666666666667,94.16666666666667,133.31231955372752,165.0616331571794,103.70129216124751,268.7962974745228,368.79428499211656,642.672696271082,92.64554502349772,110.80717431844036,76.29220171774259,173.96637929182356,222.23750057519035,446.2042243618595,84.56921389998453,122.34015228075381,56.35884845404439,218.58143618462714,278.42730512871196,603.0521280108151,-7.871995827058405,-32.561393759061986,0.4062852935870785,87.26329798334194,117.97655368431494,67.90730365987463,33.32190704654246,5.355442972918886,32.88873241373449,632.0461065635808,553.5374362567889,78.50867030679194,2.893089158377292,129.82263556373445,0.8546924007303187,WandCantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R02,BS2DCE,ok,1201,119.991077,119.991077,46.52235800000014,-1.0000000000000009,101.27420364979378,157.4519290301512,357.2182949155154,8.0,8.0,99.83347210657784,91.59034138218152,195.52611967924892,225.06245996231664,169.1686166103164,360.6102479332677,414.0881306361504,618.5766714632415,130.13828276160925,148.83701839453607,115.66181114576878,244.82619229718298,274.42050633750245,403.99244069234567,130.08927394531878,168.82136369462813,98.32586594884481,290.56699503917287,344.4750320279787,516.9806486547527,-40.39116745864936,21.38233883211101,13.678594481252462,91.42849018974368,167.53154319750513,109.50654680711243,62.22971141577704,60.04202017316653,16.35520701232349,551.3206644683546,426.58726724533,124.73339722302461,10.80249820377128,167.46641861612252,1.3048243547134348,WandBantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R02,BSDC91,ok,1200,119.90881399999999,119.90881399999999,46.52235800000014,-1.0000000000000009,101.27420364979378,112.72056339928483,245.49702992258895,8.0,8.0,100.0,95.0,138.14432633986831,159.02246425018163,119.76475792797581,225.97079133883412,315.7626072482509,454.29554503316825,92.76261138785577,103.07624473580262,89.98882301963118,156.68513269896556,173.72676762752337,251.95092278135957,90.42329835882148,121.09265835452295,69.54281858214966,190.82302616138855,274.6206021585585,410.50314421520034,-5.798162903814704,-27.95943973002275,5.52193162778689,63.55487381725395,117.86975596036883,80.80957655080503,41.49829705719673,21.16748932970089,35.69378172909592,634.4794458144597,553.7579522299014,80.72149358455829,2.390281024154898,125.27032292960345,1.5638709714184331,WandCantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R03,BS2DCE,ok,1050,119.904371,104.90338299999999,46.377582000000146,-1.0000000000000009,101.27420364979378,135.6542670320987,302.2534559431964,8.0,8.0,100.0,95.61904761904762,206.0366457415223,225.42852634035657,195.61842692738767,338.59501685617823,371.4697152545315,487.9018701059795,127.30382899203407,148.71938880196652,113.43683047486363,236.96905124893976,269.2931714004008,368.34478635306186,144.22190300210946,169.41240769894733,135.97016096891878,265.4469747247862,305.27369463133897,456.3910908025147,28.127126132988675,-24.893041253705377,26.581030475496117,123.38886494573184,167.65342104659751,73.58406623953033,80.70753106387988,68.12596740475315,43.273064781612675,577.3147103250063,426.57234620164695,150.74236412335938,17.08728647048794,117.91329916239653,1.2428719730685427,WandBantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R03,BSDC91,ok,1200,119.9044,119.9044,46.377582000000146,-1.0000000000000009,101.27420364979378,112.77572704616821,232.1627954664388,8.0,8.0,100.0,94.0,130.84932968295314,147.2222775926176,123.06160478554045,216.6629867663501,259.54243550377055,376.6556830595229,87.93638108093823,102.28359103566889,76.64685411245313,163.35608201875843,186.99271886940863,298.16521343861285,86.1337385839471,105.88893249252153,77.64010323733004,168.93531780557942,204.73070341998942,342.87091707805837,10.040563548089844,-23.907319323630006,4.513890753502849,84.75102084716065,103.19777577351626,56.27285143718276,43.33259010880775,22.839160369810543,36.82507459788803,637.2060192021552,553.5575033917083,83.64851581044684,8.311524482528423,91.4554687740025,1.3617680600684716,WandCantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R04,BS2DCE,ok,1200,119.895568,119.895568,47.29321100000013,-1.0000000000000009,101.27420364979378,118.74446390763578,247.643077546015,8.0,8.0,99.75,91.91666666666667,176.18611793609895,199.84965928798562,155.953678332663,311.10114542996723,357.41165376142675,514.8986185911366,116.49616831144041,137.29439575057617,102.1252837888517,206.13450255382486,260.246704924273,410.4065523245635,116.40210039175705,145.2244304964151,98.12100907217712,242.60332368031817,288.0553646748123,461.6216766347155,54.32100205375571,33.02888101596845,6.803169425267654,99.28116908188537,141.47758888001962,77.5188221692052,76.52703555424809,71.54027889670222,27.17306876492262,539.5326212258875,426.4333733369046,113.09924788898292,7.238144790625304,137.53589168370587,1.012664486365723,WandBantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R04,BSDC91,ok,1200,119.895374,119.895374,47.29321100000013,-1.0000000000000009,101.27420364979378,84.35970354935027,210.4449874522724,8.0,8.0,99.91666666666667,92.66666666666666,119.6334289657504,146.68151416311628,97.98570448117893,216.9716022264514,278.97767287758575,608.971560683048,83.985458755501,101.14122097675998,69.0114061595223,164.65056171461626,190.96751752635734,302.5575925132048,75.02060868648604,106.23521081315126,51.631945785022424,173.81647975078477,223.65835678192832,577.5431120760837,25.736505933505686,-7.00408494419475,5.909245127539191,69.33280942444472,106.0482657700566,68.79804777177388,53.61524615208331,50.112615072072636,19.060966150401782,630.0102210242454,553.4706845883854,76.53953643585999,3.4011715382931516,116.44677969219103,1.3395860833461335,WandCantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R05,BS2DCE,ok,1200,119.90137,119.90137,48.70257800000013,-1.0000000000000009,101.27420364979378,132.9522096979351,367.83885246546413,8.0,8.0,100.0,96.91666666666666,201.34197230080247,221.8027966851752,183.44168611606173,334.37703702407106,382.74148049427,641.4342629571526,133.9008099484549,157.85738760684308,115.6570577455706,251.6243942622701,307.5386190863639,541.4873340066567,131.5003657466156,155.8124699608734,122.82810280366209,245.6639041043387,297.2505574304244,567.2046312696965,34.27840129279816,42.145834965646,-31.133492821553535,128.97901515746608,150.0667220758334,78.47330760140555,91.03526875230278,88.31344799955471,22.09423135648626,567.560110937908,426.4908337551262,141.06927718278183,10.488926145197459,144.93927288548855,1.2315121849645048,WandBantenna,capture-level v4-io/T4 trajectory fit
v1-old,T1,R05,BSDC91,ok,1201,119.996744,119.996744,48.70257800000013,-1.0000000000000009,101.27420364979378,104.93816698445765,232.66489250333555,8.0,8.0,99.83347210657784,93.67194004995837,137.8619049664918,151.82690834735968,134.19542627729172,224.93544509253618,252.0500065029752,407.19879451850886,100.39682739089608,114.26982938423076,93.29933454570217,174.6474275023838,203.34362834847622,333.9637825260378,82.69444677735602,99.96907617266629,74.35076076713813,160.65570168860108,186.48059388571232,395.45619642184863,19.185356599230683,4.271381869692724,-12.19290848925072,93.29084890143953,99.91938982989937,62.03319434760953,44.39540022605463,43.17614363453049,10.333062570311085,655.0546052735949,553.5314134827563,101.52319179083861,6.0138835695600426,91.07387671011254,1.3645748347125801,WandCantenna,capture-level v4-io/T4 trajectory fit
