mapping_name,capture_id,score_median_3d_mm,beta_s,n_overlap,BS2DCE_marker,BSDC91_marker,score_p95_3d_mm,n_captures_scored
default,R01,107.38845371530087,37.69795600000001,2401,WandBantenna,WandCantenna,,
default,R02,113.26249759922233,46.497358000000006,2401,WandBantenna,WandCantenna,,
default,R03,110.93125418656237,46.397582000000014,2250,WandBantenna,WandCantenna,,
default,R04,104.45445266422281,47.29821100000001,2400,WandBantenna,WandCantenna,,
default,R05,113.8465227055436,48.69757800000001,2401,WandBantenna,WandCantenna,,
default,R06,117.39903778975713,45.498791000000004,2401,WandBantenna,WandCantenna,,
default,R07,105.69185197864482,45.19980400000001,2401,WandBantenna,WandCantenna,,
default,R08,101.49702961074169,44.797477000000015,2401,WandBantenna,WandCantenna,,
default,R09,126.06792382922315,44.99743900000001,2400,WandBantenna,WandCantenna,,
default,R10,95.94877519267781,45.38570900000001,2400,WandBantenna,WandCantenna,,
default,R11,93.30059934135494,45.49748100000001,2401,WandBantenna,WandCantenna,,
default,R12,104.04878597418715,46.899825000000014,2400,WandBantenna,WandCantenna,,
default,R13,101.1697517534911,44.898564000000015,2401,WandBantenna,WandCantenna,,
default,R14,86.62983487587202,45.59868200000001,2401,WandBantenna,WandCantenna,,
default,R15,95.98910260354302,43.69745200000001,2400,WandBantenna,WandCantenna,,
default,R16,102.52571434634075,44.49903900000001,2401,WandBantenna,WandCantenna,,
default,R17,105.86361637567596,45.498380000000004,2401,WandBantenna,WandCantenna,,
default,ALL,104.45445266422281,,,WandBantenna,WandCantenna,119.13281499765033,17
swapped,R01,180.36298687389507,39.59795600000001,2401,WandCantenna,WandBantenna,,
swapped,R02,198.95944509307623,44.39735800000001,2401,WandCantenna,WandBantenna,,
swapped,R03,190.88615851711654,44.29758200000001,2271,WandCantenna,WandBantenna,,
swapped,R04,190.40351870815434,49.29821100000001,2400,WandCantenna,WandBantenna,,
swapped,R05,198.34434345370695,50.79757800000001,2401,WandCantenna,WandBantenna,,
swapped,R06,262.5741546379695,43.29879100000001,2401,WandCantenna,WandBantenna,,
swapped,R07,259.0255426162286,42.999804000000005,2401,WandCantenna,WandBantenna,,
swapped,R08,270.19624381650283,47.09747700000001,2401,WandCantenna,WandBantenna,,
swapped,R09,280.91437016895594,47.29743900000001,2400,WandCantenna,WandBantenna,,
swapped,R10,187.77302784529297,42.78570900000001,2400,WandCantenna,WandBantenna,,
swapped,R11,183.65338738657363,47.99748100000001,2401,WandCantenna,WandBantenna,,
swapped,R12,197.25115996031295,44.399825000000014,2400,WandCantenna,WandBantenna,,
swapped,R13,177.68757712898898,47.398564000000015,2401,WandCantenna,WandBantenna,,
swapped,R14,192.20415028400228,48.09868200000001,2401,WandCantenna,WandBantenna,,
swapped,R15,188.62141464852027,46.19745200000001,2400,WandCantenna,WandBantenna,,
swapped,R16,204.04231649563522,47.09903900000001,2401,WandCantenna,WandBantenna,,
swapped,R17,176.5159478396462,48.098380000000006,2401,WandCantenna,WandBantenna,,
swapped,ALL,192.20415028400228,,,WandCantenna,WandBantenna,272.3398690869934,17
