layout,tag_method,tracks_ok,captures_ok,n_overlap_total,err3d_p50_track_median_mm,err3d_p95_track_median_mm,err3d_rmse_track_median_mm,err_horizontal_xz_p50_track_median_mm,err_horizontal_xz_p95_track_median_mm,err_vertical_y_p50_track_median_mm,err_vertical_y_p95_track_median_mm,turn_center_abs_error_3d_track_median_mm,turn_center_abs_error_3d_track_p95_mm,radius_error_abs_track_median_mm,axis_angle_abs_track_median_deg,sample_weighted_err3d_p50_mm,sample_weighted_err3d_p95_mm,sample_weighted_err3d_rmse_mm,sample_weighted_horizontal_xz_p50_mm,sample_weighted_horizontal_xz_p95_mm,sample_weighted_vertical_y_p50_mm,sample_weighted_vertical_y_p95_mm
v1-old,T1,34,17,40661,139.10847759451937,290.2297054993595,163.6401923403429,78.15165664417614,192.26812999206737,85.92605103064224,239.01029197412544,61.9856440813814,97.66168741825459,101.80206952212075,4.037888062778699,,,,,,,
v1-old,T2,34,17,40661,139.1223995332536,289.9943285551809,163.5368354143476,78.36160485858747,193.02773153890217,85.51360393802975,239.98094646937992,61.929348737079316,97.85366271751717,101.75007040512486,4.032011173158443,,,,,,,
v1-old,T3,34,17,40661,141.21243056345187,284.71779167703914,172.09737741491557,81.64614565248203,193.05441924450543,82.41302806720014,247.08287720449067,64.41371928795807,105.22438106442458,93.93885549973743,4.719461302471714,,,,,,,
v1-old,T4,34,17,40661,134.7239130857194,280.5861951750921,167.02669340661018,77.51960881093439,197.25375693190296,79.64567483758424,220.0139486952785,63.62129548793162,101.10721870320604,79.38607975162103,3.791952456848621,,,,,,,
v2,T1,34,17,40661,110.84341787872712,231.56760678698473,133.30699561793455,67.01361425311853,169.4390127373715,70.69515217333051,186.06317482218716,77.10687990317753,95.86729765365504,54.296610423141175,2.232022213732238,,,,,,,
v2,T2,34,17,40661,110.91378263051786,231.9322474189891,133.18316089097658,67.12430423462047,170.1237102016629,70.22963439419442,186.08686901390882,77.11476910084794,95.91751765361875,54.22702053741864,2.2169871164330446,,,,,,,
v2,T3,34,17,40661,113.53295514789835,234.73527044473144,136.46026408782126,65.69065767650385,167.72622704000855,68.21806968630831,185.37128550941964,78.78776236895726,101.34670102703517,51.87560844709526,2.1270914587927603,,,,,,,
v2,T4,34,17,40661,110.4388522604413,236.95734002171136,136.16472142997478,63.51706913406365,164.47230545289193,70.2483901592735,190.3081615842066,77.70675966981267,102.14035872398426,46.96563933217283,2.565248076617647,,,,,,,
v3-full,T1,34,17,40661,122.15764789015407,270.6863796028754,153.75521337753747,65.8194403272602,169.45722371097918,73.9374044836747,211.99919286079154,70.16141446312383,96.42375613639996,80.95560686765464,4.017716116715132,,,,,,,
v3-full,T2,34,17,40661,121.9952425284147,270.16332086357625,153.43495853641605,65.90110630781741,170.40734256454866,73.95425145707048,212.27932125445,70.08666094840969,96.39353846672994,80.85877674994111,4.0382898620696555,,,,,,,
v3-full,T3,34,17,40661,120.03913705505994,270.08776462977784,151.22131365550473,66.32559858498556,169.87190690005957,74.53679300645544,220.41004543195982,75.3719259784292,99.20784706050603,74.72647991301196,4.382862472082168,,,,,,,
v3-full,T4,34,17,40661,117.36551936159009,273.46955955052795,149.68167612009887,63.49849224494852,172.8301871078815,71.5758368504203,224.3028815507882,70.12821615798126,99.130589910989,59.389085744029614,4.61583644991064,,,,,,,
v3-lite,T1,34,17,40661,110.99378021152276,231.46618296579237,133.46270264433318,67.2050060346637,170.41249973328087,70.49545047695995,186.47207329254354,76.81512520819487,96.01569993661612,54.33612429210885,2.2400397497791618,,,,,,,
v3-lite,T2,34,17,40661,111.17485846655961,232.17938746067182,133.3391272921455,67.09505944490323,170.69357640217675,70.41687744178662,187.4521762299916,76.8242756311237,96.06423487730801,54.266730101116735,2.224751989549013,,,,,,,
v3-lite,T3,34,17,40661,113.42101054895619,235.21578904187965,136.7353260074688,65.93078921372184,168.55355495865786,67.97929869904155,185.96650853875593,78.8673056455764,101.65128190905104,51.97164848222974,2.1832472127538627,,,,,,,
v3-lite,T4,34,17,40661,110.38610693558603,237.13348969582765,136.27886994719913,63.86041157076964,165.22842487920238,70.50768269902818,190.12366017258552,78.00077914101401,102.39361574889777,47.01694287743493,2.572915396579118,,,,,,,
v4-io,T1,34,17,40661,106.67280147164632,233.56252945335982,132.9164237041892,67.75056825509851,168.43427723866915,62.55071074689039,182.07522554569812,69.07051423040171,88.97640998267465,61.64593659283534,2.3859674211243327,,,,,,,
v4-io,T2,34,17,40661,106.46086507500385,232.4799376531899,132.679987371962,67.65040601854912,168.09021305070678,62.381009438593594,181.64280044267588,68.96561413189582,88.90392639561003,61.73850293681238,2.3842104626947878,,,,,,,
v4-io,T3,34,17,40661,110.02996334840353,236.02684371758346,135.61439898201706,68.6834678589835,171.50505412417144,60.57866891580714,189.13940930852516,71.35217788947276,92.53648645704789,58.186024072603345,2.5053497352182488,,,,,,,
v4-io,T4,34,17,40661,105.83784720842489,231.80213799547772,132.8297379891087,65.50527566977945,167.47209082957747,63.84923283974578,187.38314568289843,69.13009495766494,93.33946784047035,51.26326937027727,2.5533379646763255,102.63336074100665,256.9324074144989,141.2659848479643,66.14323345844771,178.9530610667181,61.57092076688957,205.89630418252534
