Variant,Percentile,Weighting,D_tag,median_3d,P95,RMSE,nested_CV_median,winners_curse_corrected_median,bootstrap_CI
V4 production,p50,uniform,fixed_0,71.87489868113639,175.9963096185349,110.3731093480212,,,
V5 baseline,p50,uniform,fixed_LOO_49.621,67.80925857328509,160.50864196755103,86.39989161399005,,,
V5 improved,p30,inverse_rms,LOO_recalibrated_from_p30_range_residuals,56.01127291158505,143.12004226914806,79.48190537495643,,65.57942255178733,"[54.3, 63.7]"
V4 improved,p30,inverse_rms,LOO_recalibrated_from_p30_range_residuals,54.918375844369336,154.78379958349888,79.58617506422262,,64.48652548457162,
Vicon improved,p30,inverse_rms,LOO_recalibrated_from_p30_range_residuals,56.327823937608464,147.9477158373447,81.78860924977711,,,
Nested CV selected (height),selected,selected,selected,,,,82.9248283137559,,
Nested CV selected (quadrant),selected,selected,selected,,,,88.04166953831984,,
Nested CV selected (spatial6),selected,selected,selected,,,,94.24971154923936,,
ROTO V5 raw/current best-fit,dynamic,uniform,D_LOO,101.48477739653228,214.3693133943896,126.22614768446928,,,
ROTO time-corrected SE3,dynamic,uniform,D_LOO,82.51641444727665,185.20662628073396,103.74573775790896,,,
ROTO rigid-body projection,dynamic,joint,per R3,280.6019582729091,,315.97351525095166,,,
