measurement_id,side,landmark_a,landmark_b,repeat_1_mm,repeat_2_mm,repeat_3_mm,instrument,instrument_resolution_mm,actual_measurement_date,operator,notes
acromion_to_lateral_epicondyle_L,L,acromion,lateral_humeral_epicondyle,,,,,,,,
acromion_to_lateral_epicondyle_R,R,acromion,lateral_humeral_epicondyle,,,,,,,,
lateral_epicondyle_to_wrist_styloid_midpoint_L,L,lateral_humeral_epicondyle,radial_ulnar_styloid_midpoint,,,,,,,,
lateral_epicondyle_to_wrist_styloid_midpoint_R,R,lateral_humeral_epicondyle,radial_ulnar_styloid_midpoint,,,,,,,,
greater_trochanter_to_lateral_knee_landmark_L,L,greater_trochanter,lateral_femoral_epicondyle,,,,,,,,
greater_trochanter_to_lateral_knee_landmark_R,R,greater_trochanter,lateral_femoral_epicondyle,,,,,,,,
lateral_knee_landmark_to_malleolar_midpoint_L,L,lateral_femoral_epicondyle,medial_lateral_malleolar_midpoint,,,,,,,,
lateral_knee_landmark_to_malleolar_midpoint_R,R,lateral_femoral_epicondyle,medial_lateral_malleolar_midpoint,,,,,,,,
biacromial_breadth,BILATERAL,left_acromion,right_acromion,,,,,,,,
ASIS_breadth,BILATERAL,left_ASIS,right_ASIS,,,,,,,,
C7_to_mid_PSIS,MIDLINE,C7,mid_PSIS,,,,,,,,
pelvis_anterior_posterior_depth,MIDLINE,mid_ASIS,mid_PSIS,,,,,,,,
