measurement_id,repeat_1_mm,repeat_2_mm,repeat_3_mm,categorical_value,instrument,instrument_resolution_mm,actual_measurement_date,operator,photo_references,notes
enclosure_outer_long_mm,,,,,,,,,,
enclosure_outer_short_mm,,,,,,,,,,
enclosure_outer_thickness_mm,,,,,,,,,,
U4_to_E_ANTENNA_END_SHORT_FACE_mm,,,,,,,,,,perpendicular distance
U4_to_E_NONANTENNA_END_SHORT_FACE_mm,,,,,,,,,,perpendicular distance
U4_to_E_POS_Y_LONG_SIDE_mm,,,,,,,,,,perpendicular distance
U4_to_E_NEG_Y_LONG_SIDE_mm,,,,,,,,,,perpendicular distance
PCB_top_plane_to_body_facing_face_mm,,,,,,,,,,perpendicular distance
PCB_mechanical_play_long_mm,,,,,,,,,,non-negative total free play
PCB_mechanical_play_short_mm,,,,,,,,,,non-negative total free play
PCB_mechanical_play_thickness_mm,,,,,,,,,,non-negative total free play
strap_width_mm,,,,,,,,,,
pcb_edge_toward_antenna_end,,,,SELECT,,,,,,B_POS_X/B_NEG_X/B_POS_Y/B_NEG_Y
pcb_x_edge_relation_to_enclosure_long_axis,,,,SELECT,,,,,,PARALLEL/PERPENDICULAR consistency observation
pcb_top_component_face_points,,,,SELECT,,,,,,AWAY_FROM_BODY/TOWARD_BODY
identical_PCB_enclosure_registration,,,,SELECT,,,,,,YES/NO
