timestamp,id,type,path,notes
2026-06-23T22:40:58+02:00,"CODEX_RANGEFAST_OFF","static","/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_rangefast_verify_20260623/static_CODEX_RANGEFAST_OFF_BSF66F_30s_20260623_223952","duration_s=30; targets=BSF66F; cir=off; rc=0"
2026-06-23T22:43:49+02:00,"CODEX_RANGEFAST_COMPACT","static","/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_rangefast_verify_20260623/static_CODEX_RANGEFAST_COMPACT_BSF66F_30s_20260623_224244","duration_s=30; targets=BSF66F; cir=compact; rc=0"
2026-06-23T22:45:18+02:00,"CODEX_RANGEFAST_FULL","static","/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_rangefast_verify_20260623/static_CODEX_RANGEFAST_FULL_BSF66F_30s_20260623_224413","duration_s=30; targets=BSF66F; cir=full; rc=0"
