scenario,gdop_bin,gdop_lo,gdop_hi,static_n,roto_n,static_p50_3d_mm,roto_p50_3d_mm,abs_gap_p50_3d_mm,static_p50_xz_mm,roto_p50_xz_mm,static_p50_y_mm,roto_p50_y_mm
self_cal_v4io_T4,0,1.1128556716552662,1.125411612304334,6005,0,139.8079782655381,nan,nan,56.94987729178017,nan,125.00886751724457,nan
self_cal_v4io_T4,1,1.125411612304334,1.1399962876318248,7202,0,84.79902137380039,nan,nan,51.54157188506264,nan,62.06594512245354,nan
self_cal_v4io_T4,2,1.1399962876318248,1.1544677057706023,6005,1632,95.8356602406029,80.14327501210666,15.69238522849625,39.75259843909376,50.36325349569489,73.42562620421381,50.77778001838851
self_cal_v4io_T4,3,1.1544677057706023,1.1643875302914788,2401,4547,70.86565826350663,84.11808258373655,13.25242432022992,60.641181772382865,52.61308042593047,26.96962975384963,48.67070756047952
self_cal_v4io_T4,4,1.1643875302914788,1.1727623998191408,0,6947,nan,91.9773905498461,nan,nan,63.16937984461868,nan,49.808971797170216
self_cal_v4io_T4,5,1.1727623998191408,1.179573263423988,0,6948,nan,107.8172207700307,nan,nan,65.10708237962055,nan,69.18266778216804
self_cal_v4io_T4,6,1.179573263423988,1.1864473486570675,0,6948,nan,107.96392807176287,nan,nan,66.95974339353893,nan,67.89601713999446
self_cal_v4io_T4,7,1.1864473486570675,1.1930633339168693,0,6948,nan,121.43761222935973,nan,nan,77.26412734213093,nan,72.08564180513315
self_cal_v4io_T4,8,1.1930633339168693,1.1967323434864057,3602,3346,89.24179666438556,117.85624631887761,28.61444965449205,55.32163536473021,75.58997463689879,59.81544163954811,71.75490150557789
self_cal_v4io_T4,9,1.1967323434864057,1.2012462793121808,3603,3345,57.18616838100818,115.11057887331742,57.92441049230924,34.978408996752314,76.48407294064313,39.149300377033796,68.45664697537995
vicon_truth_delaycal_T4,0,1.114104484459904,1.1278368765519142,6005,0,63.95881639625001,nan,nan,47.33998877081164,nan,29.108636207069765,nan
vicon_truth_delaycal_T4,1,1.1278368765519142,1.138761486418698,7202,0,78.40670334094008,nan,nan,53.01917696228401,nan,50.864683359949524,nan
vicon_truth_delaycal_T4,2,1.138761486418698,1.1582084039480056,6005,1632,100.50651009477271,125.79708114884329,25.290571054070583,54.7604995755275,65.63944096551346,68.56379431975103,95.72146248961417
vicon_truth_delaycal_T4,3,1.1582084039480056,1.1773049265709892,1201,5636,30.217249045978512,105.77232153352814,75.55507248754964,21.99866548264182,55.58046819790903,16.412458434973814,77.13625484376735
vicon_truth_delaycal_T4,4,1.1773049265709892,1.186862252811348,1200,5858,52.64409721098076,103.18809096613947,50.54399375515871,39.38030939564047,58.88843031487876,28.682529972326847,64.42465120437089
vicon_truth_delaycal_T4,5,1.186862252811348,1.1951254463898955,0,6948,nan,104.98638988603076,nan,nan,57.63073312697999,nan,69.52576240098904
vicon_truth_delaycal_T4,6,1.1951254463898955,1.2027047975207446,0,6948,nan,103.3909045030948,nan,nan,65.56199839502193,nan,62.551540794330435
vicon_truth_delaycal_T4,7,1.2027047975207446,1.210667704216458,0,6501,nan,100.91036033415467,nan,nan,65.64035743020244,nan,61.2259707066504
vicon_truth_delaycal_T4,8,1.210667704216458,1.2140237424809948,4803,2592,103.98963469590672,106.88085936491872,2.8912246690120043,50.173089832158794,66.0466391065217,84.36709575038981,66.60049347561454
vicon_truth_delaycal_T4,9,1.2140237424809948,1.223162415607636,2402,4546,75.1911328784087,100.72932235940934,25.538189481000643,57.14271316408775,66.24053468658549,39.798487330083276,59.89600598798904
